name,type,id,venue_names,date,time,currency,price_min,price_max
Legends In Concert,event,G5vZZ9sLCJdrm,The Avalon Theatre At Niagara Fallsview Casino Resort,10/01/2024,20:00:00,CAD,33.9,62.15
Legends In Concert,event,G5efZ9mn2WOnt,The Palms at Crown,11/01/2024,08:30:00,AUD,71.93,89.9
Legends In Concert,event,G5vZZ9sLCJNrY,The Avalon Theatre At Niagara Fallsview Casino Resort,12/01/2024,01:30:00,CAD,33.9,62.15
Legends In Concert,event,G5vZZ9sLCJSrw,The Avalon Theatre At Niagara Fallsview Casino Resort,11/01/2024,20:00:00,CAD,33.9,62.15
Legends In Concert,event,G5efZ9mnJL8UA,The Palms at Crown,12/01/2024,08:30:00,AUD,91.6,101.8
Legends In Concert,event,G5vZZ9sLCEKrU,The Avalon Theatre At Niagara Fallsview Casino Resort,13/01/2024,02:00:00,CAD,33.9,62.15
Legends In Concert,event,G5efZ9mnJL8UF,The Palms at Crown,13/01/2024,08:30:00,AUD,91.6,101.8
Legends In Concert,event,G5efZ9mnPu8gC,The Palms at Crown,14/01/2024,08:30:00,AUD,71.93,89.9
Legends In Concert,event,G5efZ9mnPu8gG,The Palms at Crown,14/01/2024,03:00:00,AUD,71.93,89.9
Legends In Concert,event,G5vZZ9sLCESrz,The Avalon Theatre At Niagara Fallsview Casino Resort,15/01/2024,00:00:00,CAD,33.9,62.15
Legends In Concert,event,G5vZZ9sLCIdrW,The Avalon Theatre At Niagara Fallsview Casino Resort,14/01/2024,20:00:00,CAD,33.9,62.15
Legends In Concert,event,G5vZZ9sLCINLv,The Avalon Theatre At Niagara Fallsview Casino Resort,15/01/2024,20:00:00,CAD,33.9,62.15
Legends In Concert,event,G5vZZ9sLCtdLk,The Avalon Theatre At Niagara Fallsview Casino Resort,16/01/2024,20:00:00,CAD,33.9,62.15
Legends In Concert,event,G5efZ9mnl6OM-,The Palms at Crown,17/01/2024,08:30:00,AUD,76.31,76.31
Legends In Concert,event,G5vZZ9sLCndL1,The Avalon Theatre At Niagara Fallsview Casino Resort,17/01/2024,20:00:00,CAD,33.9,62.15
Legends In Concert,event,G5vZZ9sLCtNLF,The Avalon Theatre At Niagara Fallsview Casino Resort,18/01/2024,01:30:00,CAD,33.9,62.15
Legends In Concert,event,G5efZ9mnPu8gp,The Palms at Crown,18/01/2024,08:30:00,AUD,71.93,89.9
