artist,date,city,country,showVenue,supportAct,revenue,tourName,ticketsSold,ticketsAvailable,source,soldOut
Taylor Swift,23 April 2009,Evansville,United States,Roberts Municipal Stadium,Gloriana Kellie Pickler,360617,Fearless Tour,7463,7463,TS Kaggle,TRUE
Taylor Swift,24 April 2009,Jonesboro,United States,Convocation Center,Gloriana Kellie Pickler,340328,Fearless Tour,7822,7822,TS Kaggle,TRUE
Taylor Swift,25 April 2009,St. Louis,United States,Scottrade Center,Gloriana Kellie Pickler,650420,Fearless Tour,13764,13764,TS Kaggle,TRUE
Taylor Swift,30 April 2009,North Charleston,United States,North Charleston Coliseum,Gloriana Kellie Pickler,398154,Fearless Tour,8751,8751,TS Kaggle,TRUE
Taylor Swift,01 May 2009,Jacksonville,United States,Jacksonville Veterans Memorial Arena,Gloriana Kellie Pickler,507012,Fearless Tour,11072,11072,TS Kaggle,TRUE
Taylor Swift,02 May 2009,Biloxi,United States,Mississippi Coast Coliseum,Gloriana Kellie Pickler,437313,Fearless Tour,9436,9436,TS Kaggle,TRUE
Taylor Swift,06 May 2009,London,England,Shepherd's Bush Empire,None,401328,Fearless Tour,6789,6789,TS Kaggle,TRUE
Taylor Swift,07 May 2009,London,England,Shepherd's Bush Empire,None,401328,Fearless Tour,6789,6789,TS Kaggle,TRUE
Taylor Swift,14 May 2009,Spokane,United States,Spokane Arena,Gloriana Kellie Pickler,482146,Fearless Tour,10798,10798,TS Kaggle,TRUE
Taylor Swift,15 May 2009,Seattle,United States,KeyArena,Gloriana Kellie Pickler,528637,Fearless Tour,12061,12061,TS Kaggle,TRUE
Taylor Swift,16 May 2009,Portland,United States,Rose Garden Arena,Gloriana Kellie Pickler,613284,Fearless Tour,13226,13226,TS Kaggle,TRUE
Taylor Swift,17 May 2009,Nampa,United States,Ford Arena,Gloriana Kellie Pickler,413622,Fearless Tour,8970,8970,TS Kaggle,TRUE
Taylor Swift,21 May 2009,Glendale,United States,Jobing.com Arena,Gloriana Kellie Pickler,647923,Fearless Tour,13052,13052,TS Kaggle,TRUE
Taylor Swift,22 May 2009,Los Angeles,United States,Staples Center,Gloriana Kellie Pickler,720940,Fearless Tour,13648,13648,TS Kaggle,TRUE
Taylor Swift,23 May 2009,Paradise,United States,Mandalay Bay Events Center,Gloriana Kellie Pickler,551051,Fearless Tour,8311,8311,TS Kaggle,TRUE
Taylor Swift,24 May 2009,San Diego,United States,Valley View Casino Center,Gloriana Kellie Pickler,502689,Fearless Tour,10174,10174,TS Kaggle,TRUE
Taylor Swift,26 May 2009,Salt Lake City,United States,EnergySolutions Arena,Gloriana Kellie Pickler,555207,Fearless Tour,13042,13042,TS Kaggle,TRUE
Taylor Swift,11 June 2009,Columbia,United States,Merriweather Post Pavilion,Gloriana Kellie Pickler,608438,Fearless Tour,17619,17619,TS Kaggle,TRUE
Taylor Swift,12 June 2009,Greensboro,United States,Greensboro Coliseum,Gloriana Kellie Pickler,690959,Fearless Tour,14641,14641,TS Kaggle,TRUE
Taylor Swift,09 June 2009,Edmonton,Canada,Commonwealth Stadium,None,2540906,Fearless Tour,33910,44500,TS Kaggle,FALSE
