Event_Name,Date,Artist_name,support_act,average_price,Tickets_sold,Tickets_Available,Revenue,Capacity,Venue_name,Venue_city,Venue_country
The Honeymoon Tour,2015-02-25,Ariana Grande,Rixton Cashmere Cat,54.53396496245978,5594.0,5594,305063.0,5594,Independence Events Center,Independence,United States
The Honeymoon Tour,2015-02-28,Ariana Grande,Rixton Cashmere Cat,46.57352799923158,10411.0,10411,484877.0,10411,BMO Harris Bradley Center,Milwaukee,United States
The Honeymoon Tour,2015-03-01,Ariana Grande,Rixton Cashmere Cat,52.951206529453515,11272.0,11272,596866.0,11272,Xcel Energy Center,Saint Paul,United States
The Honeymoon Tour,2015-03-03,Ariana Grande,Rixton Cashmere Cat,50.926463512429834,12470.0,12470,635053.0,12470,Allstate Arena,Rosemont,United States
The Honeymoon Tour,2015-03-05,Ariana Grande,Rixton Cashmere Cat,52.364061282783695,11553.0,11553,604962.0,11553,Quicken Loans Arena,Cleveland,United States
The Honeymoon Tour,2015-03-07,Ariana Grande,Rixton Cashmere Cat,45.48424681144433,14505.0,14505,659749.0,14505,Joe Louis Arena,Detroit,United States
The Honeymoon Tour,2015-03-08,Ariana Grande,Rixton Cashmere Cat,36.14729986828626,13666.0,13666,493989.0,13666,Air Canada Centre,Toronto,Canada
The Honeymoon Tour,2015-03-10,Ariana Grande,Rixton Cashmere Cat,52.514050803779604,8149.0,8149,427937.0,8149,Petersen Events Center,Pittsburgh,United States
The Honeymoon Tour,2015-03-12,Ariana Grande,Rixton Cashmere Cat,54.295032789172595,14334.0,14334,778265.0,14334,Wells Fargo Center,Philadelphia,United States
The Honeymoon Tour,2015-03-14,Ariana Grande,Rixton Cashmere Cat,44.385735674424936,7347.0,7347,326102.0,7347,Mohegan Sun Arena,Uncasville,United States
The Honeymoon Tour,2015-03-15,Ariana Grande,Rixton Cashmere Cat,50.02466866595724,10337.0,10337,517105.0,10337,DCU Center,Worcester,United States
The Honeymoon Tour,2015-03-17,Ariana Grande,Rixton Cashmere Cat,112.00149198060426,75068.0,75068,8407728.0,75068,NRG Stadium,Houston,United States
The Honeymoon Tour,2015-03-20,Ariana Grande,Rixton Cashmere Cat,5.1021037868162695,28520.0,28520,145512.0,28520,Madison Square Garden,New York City,United States
The Honeymoon Tour,2015-03-21,Ariana Grande,Rixton Cashmere Cat,5.1021037868162695,28520.0,28520,145512.0,28520,Madison Square Garden,New York City,United States
The Honeymoon Tour,2015-03-24,Ariana Grande,Rixton Cashmere Cat,55.05382375148312,9271.0,9271,510404.0,9271,Philips Arena,Atlanta,United States
The Honeymoon Tour,2015-03-26,Ariana Grande,Rixton Cashmere Cat,48.15883421530685,12661.0,12661,609739.0,12661,Amway Center,Orlando,United States
The Honeymoon Tour,2015-03-28,Ariana Grande,Rixton Cashmere Cat,48.623845815623625,13646.0,13646,663521.0,13646,American Airlines Arena,Miami,United States
The Honeymoon Tour,2015-03-31,Ariana Grande,Rixton Cashmere Cat,48.0736814206202,11319.0,11319,544146.0,11319,ATT Center,San Antonio,United States
The Honeymoon Tour,2015-04-01,Ariana Grande,Rixton Cashmere Cat,39.51554302203568,15248.0,15248,602533.0,15248,American Airlines Center,Dallas,United States
The Honeymoon Tour,2015-04-03,Ariana Grande,Rixton Cashmere Cat,48.42987612849045,9526.0,9526,461343.0,9526,Chesapeake Energy Arena,Oklahoma City,United States
The Honeymoon Tour,2015-04-06,Ariana Grande,Rixton Cashmere Cat,47.90782122905028,12530.0,12530,600285.0,12530,Talking Stick Resort Arena,Phoenix,United States
The Honeymoon Tour,2015-04-08,Ariana Grande,Rixton Cashmere Cat,46.029814735028005,11605.0,11605,534176.0,11605,The Forum,Inglewood,United States
The Honeymoon Tour,2015-04-10,Ariana Grande,Rixton Cashmere Cat,47.84761513157895,12160.0,12160,581827.0,12160,Honda Center,Anaheim,United States
The Honeymoon Tour,2015-04-12,Ariana Grande,Rixton Cashmere Cat,51.225053078556265,12717.0,12717,651429.0,12717,SAP Center,San Jose,United States
The Honeymoon Tour,2025-04-14,Ariana Grande,Rixton Cashmere Cat,43.62302541208791,11648.0,11648,508121.0,11648,KeyArena,Seattle,United States
The Honeymoon Tour,2015-04-16,Ariana Grande,Rixton Cashmere Cat,36.13133989401968,13210.0,13210,477295.0,13210,Rogers Arena,Vancouver,Canada
The Honeymoon Tour,Europe353637,Ariana Grande,Europe353637,,0.0,,0.0,,Europe353637,Europe353637,Europe353637
The Honeymoon Tour,2015-05-14,Ariana Grande,Rixton,,0.0,6293,0.0,6293,Zénith Paris,Paris,France
The Honeymoon Tour,2015-05-15,Ariana Grande,Rixton,,0.0,6293,0.0,6293,Zénith Paris,Paris,France
The Honeymoon Tour,2015-05-19,Ariana Grande,Rixton,,0.0,11900,0.0,11900,MaxSchmelingHalle,Berlin,Germany
The Honeymoon Tour,2015-05-21,Ariana Grande,Rixton,,0.0,16000,0.0,16000,Ericsson Globe,Stockholm,Sweden
The Honeymoon Tour,2015-05-22,Ariana Grande,Rixton,,0.0,9700,0.0,9700,Oslo Spektrum,Oslo,Norway
The Honeymoon Tour,2015-05-25,Ariana Grande,Rixton,,0.0,12700,0.0,12700,Mediolanum Forum,Milan,Italy
The Honeymoon Tour,2015-05-28,Ariana Grande,Rixton,56.451655991014235,32941.0,32941,1859574.0,32941,Ziggo Dome,Amsterdam,Netherlands
The Honeymoon Tour,2015-05-29,Ariana Grande,Rixton,56.451655991014235,32941.0,32941,1859574.0,32941,Ziggo Dome,Amsterdam,Netherlands
The Honeymoon Tour,June,Ariana Grande,Rixton,55.11653782241167,13841.0,13841,762868.0,13841,The O2 Arena,London,England
The Honeymoon Tour,2015-06-04,Ariana Grande,Rixton,52.12681682957926,11765.0,11765,613272.0,11765,Manchester Arena,Manchester,England
The Honeymoon Tour,2015-06-06,Ariana Grande,Rixton,,0.0,90000,0.0,90000,Wembley Stadium,London,England
The Honeymoon Tour,2015-06-08,Ariana Grande,Krishane Melissa Steel,51.5082954861433,10789.0,10792,555723.0,10792,SSE Hydro,Glasgow,Scotland
The Honeymoon Tour,2015-06-09,Ariana Grande,Krishane Melissa Steel,,0.0,15800,0.0,15800,Arena Birmingham,Birmingham,England
The Honeymoon Tour,2015-06-12,Ariana Grande,Alvar  Millas,38.8298883836296,14514.0,14514,563577.0,14514,Sportpaleis,Antwerp,Belgium
The Honeymoon Tour,2015-06-13,Ariana Grande,DJ Dubz,,0.0,20000,0.0,20000,Lanxess Arena,Cologne,Germany
The Honeymoon Tour,2015-06-16,Ariana Grande,Paula Rojo,63.83608195902049,14007.0,14014,894152.0,14014,Palau Sant Jordi,Barcelona,Spain
