event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,The Honeymoon Tour,2015-02-25,Ariana Grande,Rixton Cashmere Cat,54.53,5594.0,5594.0,305063.0,pop,5594.0,,Independence Events Center,Independence,Missouri,United States
,The Honeymoon Tour,2015-02-28,Ariana Grande,Rixton Cashmere Cat,46.57,10411.0,10411.0,484877.0,pop,10411.0,,BMO Harris Bradley Center,Milwaukee,Wisconsin,United States
,The Honeymoon Tour,2015-03-01,Ariana Grande,Rixton Cashmere Cat,52.95,11272.0,11272.0,596866.0,pop,11272.0,,Xcel Energy Center,Saint Paul,Minnesota,United States
,The Honeymoon Tour,2015-03-03,Ariana Grande,Rixton Cashmere Cat,50.93,12470.0,12470.0,635053.0,pop,12470.0,,Allstate Arena,Rosemont,Illinois,United States
,The Honeymoon Tour,2015-03-05,Ariana Grande,Rixton Cashmere Cat,52.36,11553.0,11553.0,604962.0,pop,11553.0,,Quicken Loans Arena,Cleveland,Ohio,United States
,The Honeymoon Tour,2015-03-07,Ariana Grande,Rixton Cashmere Cat,45.48,14505.0,14505.0,659749.0,pop,14505.0,,Joe Louis Arena,Detroit,Michigan,United States
,The Honeymoon Tour,2015-03-08,Ariana Grande,Rixton Cashmere Cat,36.15,13666.0,13666.0,493989.0,pop,13666.0,,Air Canada Centre,Toronto,Ontario,Canada
,The Honeymoon Tour,2015-03-10,Ariana Grande,Rixton Cashmere Cat,52.51,8149.0,8149.0,427937.0,pop,8149.0,,Petersen Events Center,Pittsburgh,Pennsylvania,United States
,The Honeymoon Tour,2015-03-12,Ariana Grande,Rixton Cashmere Cat,54.3,14334.0,14334.0,778265.0,pop,14334.0,,Wells Fargo Center,Philadelphia,Pennsylvania,United States
,The Honeymoon Tour,2015-03-14,Ariana Grande,Rixton Cashmere Cat,44.39,7347.0,7347.0,326102.0,pop,7347.0,,Mohegan Sun Arena,Uncasville,Connecticut,United States
,The Honeymoon Tour,2015-03-15,Ariana Grande,Rixton Cashmere Cat,50.02,10337.0,10337.0,517105.0,pop,10337.0,,DCU Center,Worcester,Massachusetts,United States
