Date,City,Country,Venue,Opening acts,Revenue,Tickets sold,Tickets available,Capacity
2019-03-18,Albany,United States,Times Union Center,"Normani, Social House",1268045,11432,11432,11432
2019-03-20,Boston,United States,TD Garden,"Normani, Social House",1670045,13125,13125,13125
2019-03-22,Buffalo,United States,KeyBank Center,"Normani, Social House",1470630,14459,14459,14459
2019-03-25,"Washington, D.C.",United States,Capital One Arena,"Normani, Social House",1832776,13598,13598,13598
2019-03-26,Philadelphia,United States,Wells Fargo Center,"Normani, Social House",1799863,14787,14787,14787
2019-03-28,Cleveland,United States,Quicken Loans Arena,"Normani, Social House",1554750,14763,14763,14763
2019-03-30,Uncasville,United States,Mohegan Sun Arena,"Normani, Social House",1112692,7097,7097,7097
2019-04-01,Montreal,Canada,Bell Centre,"Normani, Social House",1440460,14620,15643,15643
2019-04-03,Toronto,Canada,Scotiabank Arena,"Normani, Social House",1565703,14663,14663,14663
2019-04-05,Detroit,United States,Little Caesars Arena,"Normani, Social House",1508715,13698,13698,13698
2019-04-25,Edmonton,Canada,Rogers Place,"Normani, Social House",1493948,13947,13947,13947
2019-04-27,Vancouver,Canada,Rogers Arena,"Normani, Social House",1617978,14363,14363,14363
2019-04-30,Portland,United States,Moda Center,"Normani, Social House",1469277,13692,13692,13692
2019-05-02,San Jose,United States,SAP Center,"Normani, Social House",1730098,13605,13605,13605
2019-05-03,Sacramento,United States,Golden 1 Center,"Normani, Social House",1737905,13886,13886,13886
2019-05-06,Los Angeles,United States,Staples Center,"Normani, Social House",3277659,27916,27916,27916
2019-05-07,Los Angeles,United States,Staples Center,"Normani, Social House",3277659,27916,27916,27916
2019-05-10,Inglewood,United States,The Forum,"Normani, Social House",2149419,14417,14417,14417
2019-05-11,Las Vegas,United States,T-Mobile Arena,"Normani, Social House",1555349,15194,15194,15194
2019-05-14,Phoenix,United States,Talking Stick Resort Arena,"Normani, Social House",1492678,13343,13343,13343
2019-05-17,San Antonio,United States,AT&T Center,"Normani, Social House",1678465,14860,14860,14860
2019-05-19,Houston,United States,Toyota Center,"Normani, Social House",1602420,12483,12483,12483
2019-05-21,Dallas,United States,American Airlines Center,"Normani, Social House",1601901,14262,14262,14262
2019-05-23,Oklahoma City,United States,Chesapeake Energy Arena,"Normani, Social House",1347629,12668,12668,12668
2019-05-25,New Orleans,United States,Smoothie King Center,"Normani, Social House",1376994,12889,12889,12889
2019-05-31,Miami,United States,American Airlines Arena,"Normani, Social House",3146471,26704,26704,26704
2019-06-01,Miami,United States,American Airlines Arena,"Normani, Social House",3146471,26704,26704,26704
2019-06-04,Chicago,United States,United Center,"Normani, Social House",3468667,28941,28941,28941
2019-06-05,Chicago,United States,United Center,"Normani, Social House",3468667,28941,28941,28941
2019-06-07,Nashville,United States,Bridgestone Arena,"Normani, Social House",1437761,13835,13835,13835
2019-06-08,Atlanta,United States,State Farm Arena,"Normani, Social House",1220686,12317,12317,12317
2019-06-10,Charlotte,United States,Spectrum Center,"Normani, Social House",1550790,14972,14972,14972
2019-06-12,Pittsburgh,United States,PPG Paints Arena,Social House,1518932,14343,14343,14343
2019-06-14,Brooklyn,United States,Barclays Center,"Normani, Social House",4378453,28972,28972,28972
2019-06-15,Brooklyn,United States,Barclays Center,"Normani, Social House",4378453,28972,28972,28972
2019-06-18,New York City,United States,Madison Square Garden,"Normani, Social House",5492909,28576,28576,28576
2019-06-19,New York City,United States,Madison Square Garden,"Normani, Social House",5492909,28576,28576,28576
2019-06-21,"Washington, D.C.",United States,Capital One Arena,"Normani, Social House",1782835,13897,13897,13897
2019-06-22,Boston,United States,TD Garden,"Normani, Social House",1628077,13242,13242,13242
2019-06-24,Philadelphia,United States,Wells Fargo Center,"Normani, Social House",1807505,14968,14968,14968
