event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,Sweetener Tour,2019-03-18,Ariana Grande,"Normani, Social House",110.92066130160951,11432,11432,1268045,pop,11432,,Times Union Center,Albany,New York,United States
,Sweetener Tour,2019-03-20,Ariana Grande,"Normani, Social House",127.24152380952381,13125,13125,1670045,pop,13125,,TD Garden,Boston,Massachusetts,United States
,Sweetener Tour,2019-03-22,Ariana Grande,"Normani, Social House",101.71035341309911,14459,14459,1470630,pop,14459,,KeyBank Center,Buffalo,New York,United States
,Sweetener Tour,2019-03-25,Ariana Grande,"Normani, Social House",134.7827621709075,13598,13598,1832776,pop,13598,,Capital One Arena,"Washington, D.C.",District of Columbia,United States
,Sweetener Tour,2019-03-26,Ariana Grande,"Normani, Social House",121.71928044904308,14787,14787,1799863,pop,14787,,Wells Fargo Center,Philadelphia,Pennsylvania,United States
,Sweetener Tour,2019-03-28,Ariana Grande,"Normani, Social House",105.31396057711846,14763,14763,1554750,pop,14763,,Quicken Loans Arena,Cleveland,Ohio,United States
,Sweetener Tour,2019-03-30,Ariana Grande,"Normani, Social House",156.78342961814852,7097,7097,1112692,pop,7097,,Mohegan Sun Arena,Uncasville,Connecticut,United States
,Sweetener Tour,2019-04-01,Ariana Grande,"Normani, Social House",98.52667578659371,14620,15643,1440460,pop,15643,,Bell Centre,Montreal,Quebec,Canada
,Sweetener Tour,2019-04-03,Ariana Grande,"Normani, Social House",106.77917206574371,14663,14663,1565703,pop,14663,,Scotiabank Arena,Toronto,Ontario,Canada
,Sweetener Tour,2019-04-05,Ariana Grande,"Normani, Social House",110.14126149802891,13698,13698,1508715,pop,13698,,Little Caesars Arena,Detroit,Michigan,United States
,Sweetener Tour,2019-04-25,Ariana Grande,"Normani, Social House",107.11608231160822,13947,13947,1493948,pop,13947,,Rogers Place,Edmonton,Alberta,Canada
,Sweetener Tour,2019-04-27,Ariana Grande,"Normani, Social House",112.64902875443849,14363,14363,1617978,pop,14363,,Rogers Arena,Vancouver,British Columbia,Canada
,Sweetener Tour,2019-04-30,Ariana Grande,"Normani, Social House",107.30915863277826,13692,13692,1469277,pop,13692,,Moda Center,Portland,Oregon,United States
,Sweetener Tour,2019-05-02,Ariana Grande,"Normani, Social House",127.16633590591694,13605,13605,1730098,pop,13605,,SAP Center,San Jose,California,United States
,Sweetener Tour,2019-05-03,Ariana Grande,"Normani, Social House",125.15519227999424,13886,13886,1737905,pop,13886,,Golden 1 Center,Sacramento,California,United States
,Sweetener Tour,2019-05-06,Ariana Grande,"Normani, Social House",117.41148445336007,27916,27916,3277659,pop,27916,,Staples Center,Los Angeles,California,United States
,Sweetener Tour,2019-05-07,Ariana Grande,"Normani, Social House",117.41148445336007,27916,27916,3277659,pop,27916,,Staples Center,Los Angeles,California,United States
,Sweetener Tour,2019-05-10,Ariana Grande,"Normani, Social House",149.08920024970521,14417,14417,2149419,pop,14417,,The Forum,Inglewood,California,United States
,Sweetener Tour,2019-05-11,Ariana Grande,"Normani, Social House",102.36599973673819,15194,15194,1555349,pop,15194,,T-Mobile Arena,Las Vegas,Nevada,United States
,Sweetener Tour,2019-05-14,Ariana Grande,"Normani, Social House",111.86974443528442,13343,13343,1492678,pop,13343,,Talking Stick Resort Arena,Phoenix,Arizona,United States
,Sweetener Tour,2019-05-17,Ariana Grande,"Normani, Social House",112.95188425302827,14860,14860,1678465,pop,14860,,AT&T Center,San Antonio,Texas,United States
,Sweetener Tour,2019-05-19,Ariana Grande,"Normani, Social House",128.36818072578708,12483,12483,1602420,pop,12483,,Toyota Center,Houston,Texas,United States
,Sweetener Tour,2019-05-21,Ariana Grande,"Normani, Social House",112.31952040387043,14262,14262,1601901,pop,14262,,American Airlines Center,Dallas,Texas,United States
,Sweetener Tour,2019-05-23,Ariana Grande,"Normani, Social House",106.38056520366277,12668,12668,1347629,pop,12668,,Chesapeake Energy Arena,Oklahoma City,Oklahoma,United States
,Sweetener Tour,2019-05-25,Ariana Grande,"Normani, Social House",106.8348203894794,12889,12889,1376994,pop,12889,,Smoothie King Center,New Orleans,Louisiana,United States
,Sweetener Tour,2019-05-31,Ariana Grande,"Normani, Social House",117.82770371479928,26704,26704,3146471,pop,26704,,American Airlines Arena,Miami,Florida,United States
