Date (2017),City,Country,Venue,Opening acts,Attendance,Revenue
North America[32][33],North America[32][33],North America[32][33],North America[32][33],North America[32][33],North America[32][33],North America[32][33]
February 3,Phoenix,United States,Talking Stick Resort Arena,Victoria Monét Little Mix,"11,489 / 12,739","$737,148"
February 4,Las Vegas,United States,MGM Grand Garden Arena,Victoria Monét Little Mix,"9,437 / 10,787","$845,275"
February 7,Omaha,United States,CenturyLink Center Omaha,Victoria Monét Little Mix,"9,672 / 13,444","$424,500"
February 9,Tulsa,United States,BOK Center,Victoria Monét Little Mix,"7,343 / 7,995","$384,832"
February 14,Nashville,United States,Bridgestone Arena,Victoria Monét Little Mix,"11,472 / 11,472","$614,544"
February 17,Uncasville,United States,Mohegan Sun Arena,Victoria Monét Little Mix,"6,301 / 6,301","$696,265"
February 19,Manchester,United States,SNHU Arena,Victoria Monét Bia[a],"7,447 / 8,698","$491,876"
February 21,Buffalo,United States,KeyBank Center,Victoria Monét Bia[a],"8,646 / 13,693","$577,237"
February 23,New York City,United States,Madison Square Garden,Victoria Monét Little Mix,"26,635 / 26,635","$2,923,027"
February 24,New York City,United States,Madison Square Garden,Victoria Monét Little Mix,"26,635 / 26,635","$2,923,027"
February 26,Cleveland,United States,Quicken Loans Arena,Victoria Monét Little Mix,"8,685 / 14,011","$569,214"
February 27,"Washington, D.C.",United States,Verizon Center,Victoria Monét Little Mix,"10,073 / 13,578","$961,756"
March 1,Philadelphia,United States,Wells Fargo Center,Victoria Monét Little Mix,"11,657 / 14,079","$909,258"
March 3,Boston,United States,TD Garden,Victoria Monét Little Mix,"12,349 / 12,944","$1,105,421"
March 5,Toronto,Canada,Scotiabank Arena,Victoria Monét Little Mix,"14,503 / 14,503","$1,036,610"
March 6,Montreal,Canada,Bell Centre,Victoria Monét Little Mix,"13,287 / 13,287","$842,563"
March 9,Columbus,United States,Nationwide Arena,Victoria Monét Little Mix,"10,069 / 14,414","$611,976"
March 11,Indianapolis,United States,Bankers Life Fieldhouse,Victoria Monét Bia[b],"10,952 / 13,020","$635,956"
March 12,Auburn Hills,United States,The Palace of Auburn Hills,Victoria Monét Little Mix,"12,043 / 12,437","$829,626"
March 14,Chicago,United States,United Center,Victoria Monét Little Mix,"12,342 / 13,584","$989,255"
March 16,Saint Paul,United States,Xcel Energy Center,Victoria Monét Little Mix,"8,373 / 14,736","$549,262"
March 18,Kansas City,United States,Sprint Center,Victoria Monét Little Mix,"10,591 / 13,382","$650,414"
March 21,Salt Lake City,United States,Vivint Smart Home Arena,Victoria Monét Little Mix,"10,291 / 20,840","$584,595"
March 23,Seattle,United States,KeyArena,Victoria Monét Little Mix,"11,540 / 11,783","$802,916"
March 24,Vancouver,Canada,Rogers Arena,Victoria Monét Little Mix,"13,213 / 13,213","$951,207"
March 26,Sacramento,United States,Golden 1 Center,Victoria Monét Little Mix,"12,376 / 12,776","$908,963"
March 27,San Jose,United States,SAP Center,Victoria Monét Little Mix,"12,113 / 12,642","$1,092,023"
March 30,Anaheim,United States,Honda Center,Victoria Monét Little Mix,"11,547 / 11,547","$1,042,336"
March 31,Inglewood,United States,The Forum,Victoria Monét Little Mix,"12,054 / 12,874","$1,047,815"
April 3,Denver,United States,Pepsi Center,Victoria Monét Little Mix,"10,278 / 13,172","$676,163"
April 6,San Antonio,United States,AT&T Center,Victoria Monét Little Mix,"11,051 / 12,960","$720,344"
April 8,Houston,United States,Toyota Center,Victoria Monét Little Mix,"10,324 / 11,548","$901,670"
April 9,Dallas,United States,American Airlines Center,Victoria Monét Little Mix,"12,460 / 13,204","$957,931"
April 11,New Orleans,United States,Smoothie King Center,Victoria Monét Little Mix,"7,574 / 12,580","$507,455"
April 12,Atlanta,United States,Philips Arena,Victoria Monét Little Mix,"10,987 / 11,285","$780,827"
April 14,Miami,United States,American Airlines Arena,Victoria Monét Little Mix,"12,019 / 12,673","$964,439"
April 15,Orlando,United States,Amway Center,Victoria Monét Little Mix,"12,226 / 12,574","$946,615"
Europe[36][37],Europe[36][37],Europe[36][37],Europe[36][37],Europe[36][37],Europe[36][37],Europe[36][37]
