Date,City,Country,Venue,Opening acts,Revenue,Tickets sold,Tickets available,Capacity
2017-02-03,Phoenix,United States,Talking Stick Resort Arena,Victoria Monét Little Mix,"$737,148",11489,12739,12739
2017-02-04,Las Vegas,United States,MGM Grand Garden Arena,Victoria Monét Little Mix,"$845,275",9437,10787,10787
2017-02-07,Omaha,United States,CenturyLink Center Omaha,Victoria Monét Little Mix,"$424,500",9672,13444,13444
2017-02-09,Tulsa,United States,BOK Center,Victoria Monét Little Mix,"$384,832",7343,7995,7995
2017-02-14,Nashville,United States,Bridgestone Arena,Victoria Monét Little Mix,"$614,544",11472,11472,11472
2017-02-17,Uncasville,United States,Mohegan Sun Arena,Victoria Monét Little Mix,"$696,265",6301,6301,6301
2017-02-19,Manchester,United States,SNHU Arena,Victoria Monét Bia,"$491,876",7447,8698,8698
2017-02-21,Buffalo,United States,KeyBank Center,Victoria Monét Bia,"$577,237",8646,13693,13693
2017-02-23,New York City,United States,Madison Square Garden,Victoria Monét Little Mix,"$2,923,027",26635,26635,26635
2017-02-24,New York City,United States,Madison Square Garden,Victoria Monét Little Mix,"$2,923,027",26635,26635,26635
2017-02-26,Cleveland,United States,Quicken Loans Arena,Victoria Monét Little Mix,"$569,214",8685,14011,14011
2017-02-27,"Washington, D.C.",United States,Verizon Center,Victoria Monét Little Mix,"$961,756",10073,13578,13578
2017-03-01,Philadelphia,United States,Wells Fargo Center,Victoria Monét Little Mix,"$909,258",11657,14079,14079
2017-03-03,Boston,United States,TD Garden,Victoria Monét Little Mix,"$1,105,421",12349,12944,12944
2017-03-05,Toronto,Canada,Scotiabank Arena,Victoria Monét Little Mix,"$1,036,610",14503,14503,14503
2017-03-06,Montreal,Canada,Bell Centre,Victoria Monét Little Mix,"$842,563",13287,13287,13287
2017-03-09,Columbus,United States,Nationwide Arena,Victoria Monét Little Mix,"$611,976",10069,14414,14414
2017-03-11,Indianapolis,United States,Bankers Life Fieldhouse,Victoria Monét Bia,"$635,956",10952,13020,13020
2017-03-12,Auburn Hills,United States,The Palace of Auburn Hills,Victoria Monét Little Mix,"$829,626",12043,12437,12437
2017-03-14,Chicago,United States,United Center,Victoria Monét Little Mix,"$989,255",12342,13584,13584
2017-03-16,Saint Paul,United States,Xcel Energy Center,Victoria Monét Little Mix,"$549,262",8373,14736,14736
2017-03-18,Kansas City,United States,Sprint Center,Victoria Monét Little Mix,"$650,414",10591,13382,13382
2017-03-21,Salt Lake City,United States,Vivint Smart Home Arena,Victoria Monét Little Mix,"$584,595",10291,20840,20840
2017-03-23,Seattle,United States,KeyArena,Victoria Monét Little Mix,"$802,916",11540,11783,11783
2017-03-24,Vancouver,Canada,Rogers Arena,Victoria Monét Little Mix,"$951,207",13213,13213,13213
2017-03-26,Sacramento,United States,Golden 1 Center,Victoria Monét Little Mix,"$908,963",12376,12776,12776
2017-03-27,San Jose,United States,SAP Center,Victoria Monét Little Mix,"$1,092,023",12113,12642,12642
2017-03-30,Anaheim,United States,Honda Center,Victoria Monét Little Mix,"$1,042,336",11547,11547,11547
2017-03-31,Inglewood,United States,The Forum,Victoria Monét Little Mix,"$1,047,815",12054,12874,12874
2017-04-03,Denver,United States,Pepsi Center,Victoria Monét Little Mix,"$676,163",10278,13172,13172
2017-04-06,San Antonio,United States,AT&T Center,Victoria Monét Little Mix,"$720,344",11051,12960,12960
2017-04-08,Houston,United States,Toyota Center,Victoria Monét Little Mix,"$901,670",10324,11548,11548
2017-04-09,Dallas,United States,American Airlines Center,Victoria Monét Little Mix,"$957,931",12460,13204,13204
2017-04-11,New Orleans,United States,Smoothie King Center,Victoria Monét Little Mix,"$507,455",7574,12580,12580
