event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,Dangerous Tour,2017-02-03,Ariana Grande,Victoria Monét Little Mix,64.16119766733397,11489,12739,"$737,148",pop,12739,,Talking Stick Resort Arena,Phoenix,Arizona,United States
,Dangerous Tour,2017-02-04,Ariana Grande,Victoria Monét Little Mix,89.57030836070786,9437,10787,"$845,275",pop,10787,,MGM Grand Garden Arena,Las Vegas,Nevada,United States
,Dangerous Tour,2017-02-07,Ariana Grande,Victoria Monét Little Mix,43.88957816377171,9672,13444,"$424,500",pop,13444,,CenturyLink Center Omaha,Omaha,Nebraska,United States
,Dangerous Tour,2017-02-09,Ariana Grande,Victoria Monét Little Mix,52.40800762631077,7343,7995,"$384,832",pop,7995,,BOK Center,Tulsa,Oklahoma,United States
,Dangerous Tour,2017-02-14,Ariana Grande,Victoria Monét Little Mix,53.56903765690377,11472,11472,"$614,544",pop,11472,,Bridgestone Arena,Nashville,Tennessee,United States
,Dangerous Tour,2017-02-17,Ariana Grande,Victoria Monét Little Mix,110.5007141723536,6301,6301,"$696,265",pop,6301,,Mohegan Sun Arena,Uncasville,Connecticut,United States
,Dangerous Tour,2017-02-19,Ariana Grande,Victoria Monét Bia,66.05022156573116,7447,8698,"$491,876",pop,8698,,SNHU Arena,Manchester,England,United States
,Dangerous Tour,2017-02-21,Ariana Grande,Victoria Monét Bia,66.76347443904696,8646,13693,"$577,237",pop,13693,,KeyBank Center,Buffalo,New York,United States
,Dangerous Tour,2017-02-23,Ariana Grande,Victoria Monét Little Mix,109.74383330204618,26635,26635,"$2,923,027",pop,26635,,Madison Square Garden,New York City,New York,United States
,Dangerous Tour,2017-02-24,Ariana Grande,Victoria Monét Little Mix,109.74383330204618,26635,26635,"$2,923,027",pop,26635,,Madison Square Garden,New York City,New York,United States
,Dangerous Tour,2017-02-26,Ariana Grande,Victoria Monét Little Mix,65.53989637305699,8685,14011,"$569,214",pop,14011,,Quicken Loans Arena,Cleveland,Ohio,United States
,Dangerous Tour,2017-02-27,Ariana Grande,Victoria Monét Little Mix,95.47860617492306,10073,13578,"$961,756",pop,13578,,Verizon Center,"Washington, D.C.",District of Columbia,United States
,Dangerous Tour,2017-03-01,Ariana Grande,Victoria Monét Little Mix,78.0010294243802,11657,14079,"$909,258",pop,14079,,Wells Fargo Center,Philadelphia,Pennsylvania,United States
,Dangerous Tour,2017-03-03,Ariana Grande,Victoria Monét Little Mix,89.51502145922747,12349,12944,"$1,105,421",pop,12944,,TD Garden,Boston,Massachusetts,United States
,Dangerous Tour,2017-03-05,Ariana Grande,Victoria Monét Little Mix,71.47555678135558,14503,14503,"$1,036,610",pop,14503,,Scotiabank Arena,Toronto,Ontario,Canada
,Dangerous Tour,2017-03-06,Ariana Grande,Victoria Monét Little Mix,63.41258372845638,13287,13287,"$842,563",pop,13287,,Bell Centre,Montreal,Quebec,Canada
,Dangerous Tour,2017-03-09,Ariana Grande,Victoria Monét Little Mix,60.77823021154037,10069,14414,"$611,976",pop,14414,,Nationwide Arena,Columbus,Ohio,United States
,Dangerous Tour,2017-03-11,Ariana Grande,Victoria Monét Bia,58.067567567567565,10952,13020,"$635,956",pop,13020,,Bankers Life Fieldhouse,Indianapolis,Indiana,United States
,Dangerous Tour,2017-03-12,Ariana Grande,Victoria Monét Little Mix,68.88864900772232,12043,12437,"$829,626",pop,12437,,The Palace of Auburn Hills,Auburn Hills,Michigan,United States
,Dangerous Tour,2017-03-14,Ariana Grande,Victoria Monét Little Mix,80.15354075514503,12342,13584,"$989,255",pop,13584,,United Center,Chicago,Illinois,United States
,Dangerous Tour,2017-03-16,Ariana Grande,Victoria Monét Little Mix,65.59918786575899,8373,14736,"$549,262",pop,14736,,Xcel Energy Center,Saint Paul,Minnesota,United States
,Dangerous Tour,2017-03-18,Ariana Grande,Victoria Monét Little Mix,61.41195354546313,10591,13382,"$650,414",pop,13382,,Sprint Center,Kansas City,Missouri,United States
,Dangerous Tour,2017-03-21,Ariana Grande,Victoria Monét Little Mix,56.80643280536391,10291,20840,"$584,595",pop,20840,,Vivint Smart Home Arena,Salt Lake City,Utah,United States
,Dangerous Tour,2017-03-23,Ariana Grande,Victoria Monét Little Mix,69.57677642980936,11540,11783,"$802,916",pop,11783,,KeyArena,Seattle,Washington,United States
,Dangerous Tour,2017-03-24,Ariana Grande,Victoria Monét Little Mix,71.99023688791341,13213,13213,"$951,207",pop,13213,,Rogers Arena,Vancouver,British Columbia,Canada
