date,country,venue,support_act,revenue,tickets_sold,tickets_available,capacity,event_id,event_name,artist_name,average_price,genre,venue_id,venue_city,venue_state
2019/03/18,United States,Times Union Center,"Normani, Social House",1268045,11432,11432,11432,,Sweetener Tour,Ariana Grande,110.92,Pop,,Albany,New York
2019/03/20,United States,TD Garden,"Normani, Social House",1670045,13125,13125,13125,,Sweetener Tour,Ariana Grande,127.24,Pop,,Boston,Massachusetts
2019/03/22,United States,KeyBank Center,"Normani, Social House",1470630,14459,14459,14459,,Sweetener Tour,Ariana Grande,101.71,Pop,,Buffalo,New York
2019/03/25,United States,Capital One Arena,"Normani, Social House",1832776,13598,13598,13598,,Sweetener Tour,Ariana Grande,134.78,Pop,,Washington D.C.,Washington D.C.
2019/03/26,United States,Wells Fargo Center,"Normani, Social House",1799863,14787,14787,14787,,Sweetener Tour,Ariana Grande,121.72,Pop,,Philadelphia,Pennsylvania
2019/03/28,United States,Quicken Loans Arena,"Normani, Social House",1554750,14763,14763,14763,,Sweetener Tour,Ariana Grande,105.31,Pop,,Cleveland,Ohio
2019/03/30,United States,Mohegan Sun Arena,"Normani, Social House",1112692,7097,7097,7097,,Sweetener Tour,Ariana Grande,156.78,Pop,,Uncasville,Connecticut
2019/04/01,Canada,Bell Centre,"Normani, Social House",1440460,14620,15643,15643,,Sweetener Tour,Ariana Grande,98.53,Pop,,Montreal,Qubec
2019/04/03,Canada,Scotiabank Arena,"Normani, Social House",1565703,14663,14663,14663,,Sweetener Tour,Ariana Grande,106.78,Pop,,Toronto,Ontario
2019/04/05,United States,Little Caesars Arena,"Normani, Social House",1508715,13698,13698,13698,,Sweetener Tour,Ariana Grande,110.14,Pop,,Detroit,Michigan
2019/04/25,Canada,Rogers Place,"Normani, Social House",1493948,13947,13947,13947,,Sweetener Tour,Ariana Grande,107.12,Pop,,Edmonton,Alberta
2019/04/27,Canada,Rogers Arena,"Normani, Social House",1617978,14363,14363,14363,,Sweetener Tour,Ariana Grande,112.65,Pop,,Vancouver,Washington D.C.
2019/04/30,United States,Moda Center,"Normani, Social House",1469277,13692,13692,13692,,Sweetener Tour,Ariana Grande,107.31,Pop,,Portland,Oregon
2019/05/02,United States,SAP Center,"Normani, Social House",1730098,13605,13605,13605,,Sweetener Tour,Ariana Grande,127.17,Pop,,San Jose,California
