event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,A Head Full of Dreams Tour,2016-03-31,Coldplay,Lianne La Havas Hana,68.19777683915565,97069.0,97069,6619890.0,"permanent wave, pop",97069,,Estadio Ciudad de La Plata,La Plata,Buenos Aires Province,Argentina
,A Head Full of Dreams Tour,2016-04-01,Coldplay,Lianne La Havas Hana,68.19777683915565,97069.0,97069,6619890.0,"permanent wave, pop",97069,,Estadio Ciudad de La Plata,La Plata,Buenos Aires Province,Argentina
,A Head Full of Dreams Tour,2016-04-03,Coldplay,Lianne La Havas María Colores,74.67682234688338,60787.0,60787,4539380.0,"permanent wave, pop",60787,,Estadio Nacional de Chile,Santiago,Santiago Metropolitan Region,Chile
,A Head Full of Dreams Tour,2016-04-05,Coldplay,Lianne La Havas Gala Brie,110.4485361390668,43720.0,43720,4828810.0,"permanent wave, pop",43720,,Estadio Nacional del Perú,Lima,Lima,Peru
,A Head Full of Dreams Tour,2016-04-07,Coldplay,Lianne La Havas Tiê,87.90842514442798,46563.0,46563,4093280.0,"permanent wave, pop",46563,,Allianz Parque,São Paulo,São Paulo,Brazil
,A Head Full of Dreams Tour,2016-04-10,Coldplay,Lianne La Havas Tiê,77.85533526621865,59669.0,59669,4645550.0,"permanent wave, pop",59669,,Estádio do Maracanã,Rio de Janeiro,Rio de Janeiro,Brazil
,A Head Full of Dreams Tour,2016-04-13,Coldplay,Lianne La Havas Elsa y Elmar,115.8357501933488,41376.0,41376,4792820.0,"permanent wave, pop",41376,,Estadio El Campín,Bogotá,Bogotá,Colombia
,A Head Full of Dreams Tour,2016-04-15,Coldplay,Lianne La Havas Ximena Sariñana,57.53975572769376,195192.0,195192,11231300.0,"permanent wave, pop",195192,,Foro Sol,Mexico City,Mexico City,Mexico
,A Head Full of Dreams Tour,2016-04-16,Coldplay,Lianne La Havas Ximena Sariñana,57.53975572769376,195192.0,195192,11231300.0,"permanent wave, pop",195192,,Foro Sol,Mexico City,Mexico City,Mexico
,A Head Full of Dreams Tour,2016-04-17,Coldplay,Lianne La Havas Ximena Sariñana,57.53975572769376,195192.0,195192,11231300.0,"permanent wave, pop",195192,,Foro Sol,Mexico City,Mexico City,Mexico
,A Head Full of Dreams Tour,2016-05-24,Coldplay,Lianne La Havas Alessia Cara,62.862076690437966,53566.0,53566,3367270.0,"permanent wave, pop",53566,,Stade CharlesEhrmann,Nice,,France
,A Head Full of Dreams Tour,2016-05-26,Coldplay,Lianne La Havas Alessia Cara,87.48914714050746,111261.0,111261,9734130.0,"permanent wave, pop",111261,,Estadi Olímpic Lluís Companys,Barcelona,Catalonia,Spain
