Event_Name,Date,Artist_name,support_act,average_price,Tickets_sold,Tickets_Available,Revenue,Capacity,Venue_name,Venue_city,Venue_country
Head of Dreams tour,2016-03-31,ColdPlay,Lianne La Havas Hana,68.19777683915565,97069.0,97069,6619890.0,97069,Estadio Ciudad de La Plata,La Plata,Argentina
Head of Dreams tour,2016-04-01,ColdPlay,Lianne La Havas Hana,68.19777683915565,97069.0,97069,6619890.0,97069,Estadio Ciudad de La Plata,La Plata,Argentina
Head of Dreams tour,2016-04-03,ColdPlay,Lianne La Havas María Colores,74.67682234688338,60787.0,60787,4539380.0,60787,Estadio Nacional de Chile,Santiago,Chile
Head of Dreams tour,2016-04-05,ColdPlay,Lianne La Havas Gala Brie,110.44853613906679,43720.0,43720,4828810.0,43720,Estadio Nacional del Perú,Lima,Peru
Head of Dreams tour,2016-04-07,ColdPlay,Lianne La Havas Tiê,87.90842514442798,46563.0,46563,4093280.0,46563,Allianz Parque,São Paulo,Brazil
Head of Dreams tour,2016-04-10,ColdPlay,Lianne La Havas Tiê,77.85533526621865,59669.0,59669,4645550.0,59669,Estádio do Maracanã,Rio de Janeiro,Brazil
Head of Dreams tour,2016-04-13,ColdPlay,Lianne La Havas Elsa y Elmar,115.8357501933488,41376.0,41376,4792820.0,41376,Estadio El Campín,Bogotá,Colombia
Head of Dreams tour,2016-04-15,ColdPlay,Lianne La Havas Ximena Sariñana,57.53975572769376,195192.0,195192,11231300.0,195192,Foro Sol,Mexico City,Mexico
Head of Dreams tour,2016-04-16,ColdPlay,Lianne La Havas Ximena Sariñana,57.53975572769376,195192.0,195192,11231300.0,195192,Foro Sol,Mexico City,Mexico
Head of Dreams tour,2016-04-17,ColdPlay,Lianne La Havas Ximena Sariñana,57.53975572769376,195192.0,195192,11231300.0,195192,Foro Sol,Mexico City,Mexico
Head of Dreams tour,2016-05-24,ColdPlay,Lianne La Havas Alessia Cara,62.862076690437966,53566.0,53566,3367270.0,53566,Stade CharlesEhrmann,Nice,France
Head of Dreams tour,2016-05-26,ColdPlay,Lianne La Havas Alessia Cara,87.48914714050746,111261.0,111261,9734130.0,111261,Estadi Olímpic Lluís Companys,Barcelona,Spain
Head of Dreams tour,2016-05-27,ColdPlay,Lianne La Havas Alessia Cara,87.48914714050746,111261.0,111261,9734130.0,111261,Estadi Olímpic Lluís Companys,Barcelona,Spain
Head of Dreams tour,2016-05-29,ColdPlay,,,0.0,nan,0.0,nan,Powderham Castle,Exeter,England
Head of Dreams tour,2016-06-01,ColdPlay,Lianne La Havas Alessia Cara,84.47754686818776,55048.0,55048,4650320.0,55048,VeltinsArena,Gelsenkirchen,Germany
Head of Dreams tour,2016-06-04,ColdPlay,Lianne La Havas Alessia Cara,97.50758046249955,109492.0,109492,10676300.0,109492,Etihad Stadium,Manchester,England
Head of Dreams tour,2016-06-05,ColdPlay,Lianne La Havas Alessia Cara,97.50758046249955,109492.0,109492,10676300.0,109492,Etihad Stadium,Manchester,England
Head of Dreams tour,2016-06-07,ColdPlay,Lianne La Havas Alessia Cara,93.70811523719243,48526.0,48526,4547280.0,48526,Hampden Park,Glasgow,Scotland
