D a t e   ( 2 0 1 6 ),C i t y,C o u n t r y,V e n u e,O p e n i n g   a c t s,A t t e n d a n c e,R e v e n u e
31 March,La Plata,Argentina,Estadio Ciudad de La Plata,Lianne La Havas Hana,"97,069 / 97,069","$6,619,890"
1 April,La Plata,Argentina,Estadio Ciudad de La Plata,Lianne La Havas Hana,"97,069 / 97,069","$6,619,890"
3 April,Santiago,Chile,Estadio Nacional de Chile,Lianne La Havas María Colores,"60,787 / 60,787","$4,539,380"
5 April,Lima,Peru,Estadio Nacional del Perú,Lianne La Havas Gala Brie,"43,720 / 43,720","$4,828,810"
7 April,São Paulo,Brazil,Allianz Parque,Lianne La Havas Tiê,"46,563 / 46,563","$4,093,280"
10 April,Rio de Janeiro,Brazil,Estádio do Maracanã,Lianne La Havas Tiê,"59,669 / 59,669","$4,645,550"
13 April,Bogotá,Colombia,Estadio El Campín,Lianne La Havas Elsa y Elmar,"41,376 / 41,376","$4,792,820"
15 April,Mexico City,Mexico,Foro Sol,Lianne La Havas Ximena Sariñana,"195,192 / 195,192","$11,231,300"
16 April,Mexico City,Mexico,Foro Sol,Lianne La Havas Ximena Sariñana,"195,192 / 195,192","$11,231,300"
17 April,Mexico City,Mexico,Foro Sol,Lianne La Havas Ximena Sariñana,"195,192 / 195,192","$11,231,300"
24 May,Nice,France,Stade Charles-Ehrmann,Lianne La Havas Alessia Cara,"53,566 / 53,566","$3,367,270"
26 May,Barcelona,Spain,Estadi Olímpic Lluís Companys,Lianne La Havas Alessia Cara,"111,261 / 111,261","$9,734,130"
27 May,Barcelona,Spain,Estadi Olímpic Lluís Companys,Lianne La Havas Alessia Cara,"111,261 / 111,261","$9,734,130"
29 May,Exeter,England,Powderham Castle,—,—,—
1 June,Gelsenkirchen,Germany,Veltins-Arena,Lianne La Havas Alessia Cara,"55,048 / 55,048","$4,650,320"
4 June,Manchester,England,Etihad Stadium,Lianne La Havas Alessia Cara,"109,492 / 109,492","$10,676,300"
5 June,Manchester,England,Etihad Stadium,Lianne La Havas Alessia Cara,"109,492 / 109,492","$10,676,300"
7 June,Glasgow,Scotland,Hampden Park,Lianne La Havas Alessia Cara,"48,526 / 48,526","$4,547,280"
11 June,Zürich,Switzerland,Letzigrund,Foxes Lea Lu,"89,254 / 89,254","$11,808,300"
12 June,Zürich,Switzerland,Letzigrund,Lianne La Havas Alessia Cara,"89,254 / 89,254","$11,808,300"
15 June,London,England,Wembley Stadium,Lianne La Havas Alessia Cara,"303,985 / 303,985","$28,810,200"
16 June,London,England,Wembley Stadium,Lianne La Havas Alessia Cara,"303,985 / 303,985","$28,810,200"
18 June,London,England,Wembley Stadium,Lianne La Havas Reef,"303,985 / 303,985","$28,810,200"
19 June,London,England,Wembley Stadium,Lianne La Havas Reef,"303,985 / 303,985","$28,810,200"
23 June,Amsterdam,Netherlands,Amsterdam Arena,Lianne La Havas Alessia Cara,"104,511 / 104,511","$8,759,000"
24 June,Amsterdam,Netherlands,Amsterdam Arena,Lianne La Havas Alessia Cara,"104,511 / 104,511","$8,759,000"
26 June,Pilton,England,Worthy Farm,—,—,—
28 June,London,England,Kensington Palace,—,—,—
29 June,Berlin,Germany,Olympiastadion,Lianne La Havas Alessia Cara,"68,047 / 68,047","$5,540,960"
1 July,Hamburg,Germany,Volksparkstadion,Lianne La Havas Alessia Cara,"43,860 / 43,860","$3,808,980"
3 July,Stockholm,Sweden,Friends Arena,Birdy Alessia Cara,"53,575 / 53,575","$3,970,140"
5 July,Copenhagen,Denmark,Telia Parken,Lianne La Havas Alessia Cara,"96,511 / 96,511","$9,182,590"
6 July,Copenhagen,Denmark,Telia Parken,Lianne La Havas Alessia Cara,"96,511 / 96,511","$9,182,590"
16 July,East Rutherford,United States,MetLife Stadium,Alessia Cara Foxes,"100,763 / 100,763","$10,749,394"
17 July,East Rutherford,United States,MetLife Stadium,Alessia Cara Foxes,"100,763 / 100,763","$10,749,394"
20 July,Indianapolis,United States,Bankers Life Fieldhouse,Alessia Cara Foxes,"12,667 / 12,667","$1,460,006"
21 July,St. Louis,United States,Scottrade Center,Alessia Cara Foxes,"13,960 / 13,960","$1,547,633"
23 July,Chicago,United States,Soldier Field,—[j],"95,323 / 95,323","$10,215,572"
24 July,Chicago,United States,Soldier Field,Alessia Cara Foxes,"95,323 / 95,323","$10,215,572"
27 July,Louisville,United States,KFC Yum! Center,Alessia Cara Foxes,"13,755 / 13,755","$1,520,726"
28 July,Columbus,United States,Nationwide Arena,Alessia Cara Foxes,"15,530 / 15,530","$1,933,346"
30 July,Foxborough,United States,Gillette Stadium,Alessia Cara Foxes,"54,952 / 54,952","$6,530,260"
1 August,Buffalo,United States,First Niagara Center,Alessia Cara Foxes,"15,100 / 15,100","$1,878,324"
