Date (2016,City,Country,Venue,Opening acts,Tickets sold,Tickets Available,Revenue,Capacity
31/03/2016,La Plata,Argentina,Estadio Ciudad de La Plata,Lianne La Havas Hana,"97,069","97,069","$6,619,890","97,069"
01/04/2016,La Plata,Argentina,Estadio Ciudad de La Plata,Lianne La Havas Hana,"97,069","97,069","$6,619,890","97,069"
03/04/2016,Santiago,Chile,Estadio Nacional de Chile,Lianne La Havas María Colores,"60,787","60,787","$4,539,380","60,787"
05/04/2016,Lima,Peru,Estadio Nacional del Perú,Lianne La Havas Gala Brie,"43,720","43,720","$4,828,810","43,720"
07/04/2016,São Paulo,Brazil,Allianz Parque,Lianne La Havas Tiê,"46,563","46,563","$4,093,280","46,563"
10/04/2016,Rio de Janeiro,Brazil,Estádio do Maracanã,Lianne La Havas Tiê,"59,669","59,669","$4,645,550","59,669"
13/04/2016,Bogotá,Colombia,Estadio El Campín,Lianne La Havas Elsa y Elmar,"41,376","41,376","$4,792,820","41,376"
15/04/2016,Mexico City,Mexico,Foro Sol,Lianne La Havas Ximena Sariñana,"195,192","195,192","$11,231,300","195,192"
16/04/2016,Mexico City,Mexico,Foro Sol,Lianne La Havas Ximena Sariñana,"195,192","195,192","$11,231,300","195,192"
17/04/2016,Mexico City,Mexico,Foro Sol,Lianne La Havas Ximena Sariñana,"195,192","195,192","$11,231,300","195,192"
24/05/2016,Nice,France,Stade Charles-Ehrmann,Lianne La Havas Alessia Cara,"53,566","53,566","$3,367,270","53,566"
26/05/2016,Barcelona,Spain,Estadi Olímpic Lluís Companys,Lianne La Havas Alessia Cara,"111,261","111,261","$9,734,130","111,261"
27/05/2016,Barcelona,Spain,Estadi Olímpic Lluís Companys,Lianne La Havas Alessia Cara,"111,261","111,261","$9,734,130","111,261"
29/05/2016,Exeter,England,Powderham Castle,—,—,,—,
01/06/2016,Gelsenkirchen,Germany,Veltins-Arena,Lianne La Havas Alessia Cara,"55,048","55,048","$4,650,320","55,048"
04/06/2016,Manchester,England,Etihad Stadium,Lianne La Havas Alessia Cara,"109,492","109,492","$10,676,300","109,492"
05/06/2016,Manchester,England,Etihad Stadium,Lianne La Havas Alessia Cara,"109,492","109,492","$10,676,300","109,492"
07/06/2016,Glasgow,Scotland,Hampden Park,Lianne La Havas Alessia Cara,"48,526","48,526","$4,547,280","48,526"
11/06/2016,Zürich,Switzerland,Letzigrund,Foxes Lea Lu,"89,254","89,254","$11,808,300","89,254"
12/06/2016,Zürich,Switzerland,Letzigrund,Lianne La Havas Alessia Cara,"89,254","89,254","$11,808,300","89,254"
15/06/2016,London,England,Wembley Stadium,Lianne La Havas Alessia Cara,"303,985","303,985","$28,810,200","303,985"
16/06/2016,London,England,Wembley Stadium,Lianne La Havas Alessia Cara,"303,985","303,985","$28,810,200","303,985"
18/06/2016,London,England,Wembley Stadium,Lianne La Havas Reef,"303,985","303,985","$28,810,200","303,985"
19/06/2016,London,England,Wembley Stadium,Lianne La Havas Reef,"303,985","303,985","$28,810,200","303,985"
23/06/2016,Amsterdam,Netherlands,Amsterdam Arena,Lianne La Havas Alessia Cara,"104,511","104,511","$8,759,000","104,511"
24/06/2016,Amsterdam,Netherlands,Amsterdam Arena,Lianne La Havas Alessia Cara,"104,511","104,511","$8,759,000","104,511"
26/06/2016,Pilton,England,Worthy Farm,—,—,,—,
28/06/2016,London,England,Kensington Palace,—,—,,—,
29/06/2016,Berlin,Germany,Olympiastadion,Lianne La Havas Alessia Cara,"68,047","68,047","$5,540,960","68,047"
01/07/2016,Hamburg,Germany,Volksparkstadion,Lianne La Havas Alessia Cara,"43,860","43,860","$3,808,980","43,860"
03/07/2016,Stockholm,Sweden,Friends Arena,Birdy Alessia Cara,"53,575","53,575","$3,970,140","53,575"
05/07/2016,Copenhagen,Denmark,Telia Parken,Lianne La Havas Alessia Cara,"96,511","96,511","$9,182,590","96,511"
06/07/2016,Copenhagen,Denmark,Telia Parken,Lianne La Havas Alessia Cara,"96,511","96,511","$9,182,590","96,511"
16/07/2016,East Rutherford,United States,MetLife Stadium,Alessia Cara Foxes,"100,763","100,763","$10,749,394","100,763"
17/07/2016,East Rutherford,United States,MetLife Stadium,Alessia Cara Foxes,"100,763","100,763","$10,749,394","100,763"
