Date (2011),City,Country,Venue,Opening acts,Tickets sold,Tickets Available,Revenue,Capacity
03/12/2011,Glasgow,Scotland,SEC Centre,Emeli Sandé,"9,243","9,654","$779,077","9,654"
04/12/2011,Manchester,England,Manchester Evening News Arena,Marina,"18,103","18,305","$1,534,300","18,305"
09/12/2011,London,England,The O2 Arena,Emeli Sandé,"16,632","16,800","$1,437,086","16,800"
14/12/2011,Paris,France,Bercy Arena,Emeli Sandé,"16,500","17,000","$1,170,338","17,000"
15/12/2011,Cologne,Germany,Lanxess Arena,Emeli Sandé,"16,139","16,139","$1,187,492","16,139"
17/12/2011,Rotterdam,Netherlands,Sportpaleis van Ahoy,Emeli Sandé,"7,799","7,799","$446,087","7,799"
18/12/2011,Antwerp,Belgium,Sportpaleis,Emeli Sandé,"18,340","18,340","$1,516,405","18,340"
20/12/2011,Frankfurt,Germany,Festhalle,Emeli Sandé,"15,148","15,148","$1,179,503","15,148"
21/12/2011,Berlin,Germany,O2 World,Emeli Sandé,"14,623","14,623","$1,146,062","14,623"
31/12/2011,Abu Dhabi,United Arab Emirates,Volvo Ocean Race,—,—,,—,
