event_name,date,artist_name,average_price,tickets_sold,tickets_available,revenue,capacity,venue_name,venue_city,venue_country
Rush of Blood tour,2002-08-06,Coldplay,8.461538461538462,650,650,5500,650,Paradise Rock Club,Boston,United States
Rush of Blood tour,2002-08-07,Coldplay,9.101234567901235,810,810,7372,810,Theatre of Living Arts,Philadelphia,United States
Rush of Blood tour,2002-08-10,Coldplay,10.5,1102,1102,11571,1102,9:30 Club,"Washington, D.C.",United States
Rush of Blood tour,2002-08-14,Coldplay,11.44182389937107,1272,1272,14554,1272,First Avenue,Minneapolis,United States
Rush of Blood tour,2002-08-16,Coldplay,35.0,625,625,21875,625,Fox Theatre,Boulder,United States
Rush of Blood tour,2002-09-04,Coldplay,27.50017500875044,2857,2857,78568,2857,Paramount Theatre,Seattle,United States
Rush of Blood tour,2002-09-06,Coldplay,29.275862068965516,8700,8700,254700,8700,Hearst Greek Theatre,Berkeley,United States
Rush of Blood tour,2002-09-09,Coldplay,26.75005649717514,4425,4798,118369,4798,SDSU Open Air Theatre,San Diego,United States
Rush of Blood tour,2002-09-10,Coldplay,27.33626588465298,6138,6138,167790,6138,Greek Theatre,Los Angeles,United States
Rush of Blood tour,2002-09-16,Coldplay,28.5,3860,4400,110010,4400,Pier Six Pavilion,Baltimore,United States
Rush of Blood tour,2002-09-17,Coldplay,28.44656414249562,5137,5137,146130,5137,FleetBoston Pavilion,Boston,United States
Rush of Blood tour,2002-09-19,Coldplay,28.899248447881494,9181,14029,265324,14029,Tommy Hilfiger at Jones Beach Theater,Wantagh,United States
Rush of Blood tour,2002-09-21,Coldplay,26.674311169773965,6061,6061,161673,6061,Air Canada Centre,Toronto,Canada
Rush of Blood tour,2002-09-24,Coldplay,30.0,5456,8000,163680,8000,UIC Pavilion,Chicago,United States
Rush of Blood tour,2002-10-11,Coldplay,28.407392686804453,15096,15160,428838,15160,Manchester Evening News Arena,Manchester,England
Rush of Blood tour,2002-11-05,Coldplay,29.460624679979517,9765,9765,287683,9765,Ahoy Rotterdam,Rotterdam,Netherlands
Rush of Blood tour,2003-01-24,Coldplay,30.48507718696398,2915,2915,88864,2915,BJCC Concert Hall,Birmingham,England
Rush of Blood tour,2003-01-21,Coldplay,32.48571428571429,2800,2800,90960,2800,Hard Rock Live,Orlando,United States
Rush of Blood tour,2003-01-22,Coldplay,32.749957961997644,5947,5947,194764,5947,UM Convocation Center,Coral Gables,United States
Rush of Blood tour,2003-01-25,Coldplay,28.73793103448276,2900,2900,83340,2900,Grady Cole Center,Charlotte,United States
Rush of Blood tour,2003-01-27,Coldplay,35.0,2534,2534,88690,2534,Saenger Theatre,New Orleans,United States
Rush of Blood tour,2003-01-28,Coldplay,30.746722097857372,3127,3127,96145,3127,Verizon Wireless Theater,Houston,United States
Rush of Blood tour,2003-01-29,Coldplay,30.0,4731,6290,141930,6290,Frank Erwin Center,Austin,United States
Rush of Blood tour,2003-01-31,Coldplay,35.0,5952,6333,208320,6333,NextStage Performance Theater,Grand Prarie,United States
Rush of Blood tour,2003-02-01,Coldplay,32.50022094564737,2263,2263,73548,2263,Oklahoma City Music Hall,Oklahoma City,United States
Rush of Blood tour,2003-02-03,Coldplay,29.27974127974128,4329,5024,126752,5024,Savvis Center,St Louis,United States
Rush of Blood tour,2003-02-04,Coldplay,30.383631713554987,3128,3153,95040,3153,Memorial Hall,Kansas City,United States
Rush of Blood tour,2003-02-06,Coldplay,30.0,3600,3600,108000,3600,Fillmore Auditorium,Denver,United States
Rush of Blood tour,2003-02-09,Coldplay,29.274210416230915,4781,4781,139960,4781,Dodge Theatre,Phoenix,United States
Rush of Blood tour,2003-02-24,Coldplay,22.045699614890886,7790,8578,171736,8578,Corel Centre,Ottawa,Canada
Rush of Blood tour,2003-02-25,Coldplay,28.32357433808554,11784,12414,333765,12414,Bell Centre,Montreal,Canada
Rush of Blood tour,2003-02-27,Coldplay,32.64225118973722,4833,4833,157760,4833,Oakdale Theatre,Wallingford,United States
Rush of Blood tour,2003-02-28,Coldplay,28.855542624381727,6874,6874,198353,6874,Tweeter Center,Camden,United States
