event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,Viva la vida Tour,2008-07-14,ColdPlay,,82.69882000997174,30085,30085,2487994,"permanent wave, pop",30085,,The Forum,Inglewood,California,United States
,Viva la vida Tour,2008-07-15,ColdPlay,,82.69882000997174,30085,30085,2487994,"permanent wave, pop",30085,,The Forum,Inglewood,California,United States
,Viva la vida Tour,2008-07-18,ColdPlay,,79.59862969004894,15325,15838,1219849,"permanent wave, pop",15838,,HP Pavilion,San Jose,California,United States
,Viva la vida Tour,2008-07-19,ColdPlay,,89.83681889315692,14058,14058,1262926,"permanent wave, pop",14058,,MGM Grand Garden Arena,Paradise,Nevada,United States
,Viva la vida Tour,2008-07-22,ColdPlay,,81.35475431829616,29815,31056,2425592,"permanent wave, pop",31056,,United Center,Chicago,Illinois,United States
,Viva la vida Tour,2008-07-23,ColdPlay,,81.35475431829616,29815,31056,2425592,"permanent wave, pop",31056,,United Center,Chicago,Illinois,United States
,Viva la vida Tour,2008-07-25,ColdPlay,,83.38051141116023,16738,16738,1395623,"permanent wave, pop",16738,,Wachovia Center,Philadelphia,Pennsylvania,United States
,Viva la vida Tour,2008-07-29,ColdPlay,,82.00173822353554,17259,17259,1415268,"permanent wave, pop",17259,,Bell Centre,Montreal,Quebec,Canada
,Viva la vida Tour,2008-07-30,ColdPlay,,87.13713577916715,33908,33908,2954646,"permanent wave, pop",33908,,Air Canada Centre,Toronto,Ontario,Canada
,Viva la vida Tour,2008-07-31,ColdPlay,,87.13713577916715,33908,33908,2954646,"permanent wave, pop",33908,,Air Canada Centre,Toronto,Ontario,Canada
,Viva la vida Tour,2008-08-02,ColdPlay,,78.95178330288347,12589,12589,993924,"permanent wave, pop",12589,,XL Center,Hartford,Connecticut,United States
,Viva la vida Tour,2008-08-03,ColdPlay,,85.96941624365482,15760,15760,1354878,"permanent wave, pop",15760,,Verizon Center,"Washington, D.C.",District of Columbia,United States
,Viva la vida Tour,2008-08-04,ColdPlay,,85.11021114572516,14445,14445,1229417,"permanent wave, pop",14445,,TD Banknorth Garden,Boston,Massachusetts,United States
