Date (2008),City,Country,Venue,Opening acts,Attendance,Revenue
14 July,Inglewood,United States,The Forum,Shearwater,"30,085 / 30,085","$2,487,994"
15 July,Inglewood,United States,The Forum,Shearwater,"30,085 / 30,085","$2,487,994"
18 July[b],San Jose,United States,HP Pavilion,Jon Hopkins,"15,325 / 15,838","$1,219,849"
19 July,Paradise,United States,MGM Grand Garden Arena,Jon Hopkins,"14,058 / 14,058","$1,262,926"
22 July,Chicago,United States,United Center,Jon Hopkins,"29,815 / 31,056","$2,425,592"
23 July[c],Chicago,United States,United Center,Jon Hopkins,"29,815 / 31,056","$2,425,592"
25 July[d],Philadelphia,United States,Wachovia Center,Jon Hopkins,"16,738 / 16,738","$1,395,623"
27 July[e],Pemberton,Canada,Mount Currie,—,—,—
29 July[f],Montreal,Canada,Bell Centre,Jon Hopkins,"17,259 / 17,259","$1,415,268"
30 July[g],Toronto,Canada,Air Canada Centre,Shearwater,"33,908 / 33,908","$2,954,646"
31 July[g],Toronto,Canada,Air Canada Centre,Shearwater,"33,908 / 33,908","$2,954,646"
2 August[h],Hartford,United States,XL Center,Jon Hopkins,"12,589 / 12,589","$993,924"
3 August[i],"Washington, D.C.",United States,Verizon Center,Jon Hopkins,"15,760 / 15,760","$1,354,878"
4 August[j],Boston,United States,TD Banknorth Garden,Jon Hopkins,"14,445 / 14,445","$1,229,417"
9 August[k],Osaka,Japan,Maishima Sports Island,—,—,—
10 August[k],Chiba,Japan,Chiba Marine Stadium,—,—,—
1 September,Strasbourg,France,Zénith de Strasbourg,High Wire Albert Hammond Jr.,"11,074 / 11,074","$673,108"
2 September,Mannheim,Germany,SAP Arena,High Wire Albert Hammond Jr.,"12,441 / 12,441","$906,935"
4 September,Lyon,France,Halle Tony Garnier,High Wire Albert Hammond Jr.,"16,648 / 16,648","$1,038,147"
6 September,Barcelona,Spain,Palau Sant Jordi,High Wire Albert Hammond Jr.,"17,828 / 17,960","$1,221,409"
7 September,Madrid,Spain,Palacio de Deportes,High Wire Albert Hammond Jr.,"15,499 / 15,548","$1,058,986"
9 September,Paris,France,Palais Omnisports de Paris-Bercy,High Wire Albert Hammond Jr.,"32,800 / 32,800","$2,298,435"
10 September,Paris,France,Palais Omnisports de Paris-Bercy,High Wire Albert Hammond Jr.,"32,800 / 32,800","$2,298,435"
12 September,Cologne,Germany,Kölnarena,High Wire Albert Hammond Jr.,"16,105 / 16,105","$1,180,183"
14 September,Hamburg,Germany,Color Line Arena,High Wire Albert Hammond Jr.,"12,558 / 12,558","$918,045"
15 September,Berlin,Germany,O2 World,High Wire Albert Hammond Jr.,"14,362 / 14,362","$1,034,744"
17 September,Stockholm,Sweden,Stockholm Globe Arena,High Wire Albert Hammond Jr.,"28,043 / 28,510","$1,873,058"
18 September,Stockholm,Sweden,Stockholm Globe Arena,High Wire Albert Hammond Jr.,"28,043 / 28,510","$1,873,058"
19 September,Oslo,Norway,Oslo Spektrum,High Wire Albert Hammond Jr.,"8,064 / 8,213","$671,173"
22 September,Prague,Czech Republic,O2 Arena,High Wire Albert Hammond Jr.,"14,889 / 15,000","$905,311"
23 September,Budapest,Hungary,Budapest Sports Arena,High Wire Albert Hammond Jr.,"11,159 / 11,466","$780,851"
24 September,Vienna,Austria,Wiener Stadthalle,High Wire Albert Hammond Jr.,"13,340 / 13,340","$960,526"
26 September[l],Munich,Germany,Olympiahalle,High Wire Albert Hammond Jr.,"11,805 / 11,805","$910,652"
28 September,Zürich,Switzerland,Hallenstadion,High Wire Albert Hammond Jr.,Un­known,Un­known
