Dates Europe[2][28],City Europe[2][28],Country Europe[2][28],Venue Europe[2][28],Opening act(s) Europe[2][28],Attendance Europe[2][28],Revenue Europe[2][28]
16 March 2017,Turin,Italy,Pala Alpitour,Anne-Marie Ryan McMullan,"23,256 / 23,256","$1,219,480"
17 March 2017,Turin,Italy,Pala Alpitour,Anne-Marie Ryan McMullan,"23,256 / 23,256","$1,219,480"
19 March 2017,Zürich,Switzerland,Hallenstadion,Anne-Marie Ryan McMullan,"14,444 / 14,444","$1,148,585"
20 March 2017,Munich,Germany,Olympiahalle,Anne-Marie Ryan McMullan,"12,076 / 12,108","$919,768"
22 March 2017,Mannheim,Germany,SAP Arena,Anne-Marie Ryan McMullan,"10,843 / 10,848","$740,662"
23 March 2017,Cologne,Germany,Lanxess Arena,Anne-Marie Ryan McMullan,"16,223 / 16,319","$1,116,989"
26 March 2017,Hamburg,Germany,Barclaycard Arena,Anne-Marie Ryan McMullan,"12,256 / 13,227","$822,229"
27 March 2017,Berlin,Germany,Mercedes-Benz Arena,Anne-Marie Ryan McMullan,"14,104 / 14,104","$990,085"
28 March 2017[a],London,England,Royal Albert Hall,Busted,"5,167 / 5,167","$379,534"
30 March 2017,Stockholm,Sweden,Ericsson Globe,Anne-Marie Ryan McMullan,"14,024 / 14,260","$1,003,630"
1 April 2017,Herning,Denmark,Jyske Bank Boxen,Anne-Marie Ryan McMullan,"14,996 / 14,996","$1,268,365"
3 April 2017,Amsterdam,Netherlands,Ziggo Dome,Anne-Marie Ryan McMullan,"33,255 / 33,255","$2,122,188"
4 April 2017,Amsterdam,Netherlands,Ziggo Dome,Anne-Marie Ryan McMullan,"33,255 / 33,255","$2,122,188"
5 April 2017,Antwerp,Belgium,Sportpaleis,Anne-Marie Ryan McMullan,"21,151 / 21,151","$1,327,990"
6 April 2017,Paris,France,AccorHotels Arena,Anne-Marie Ryan McMullan,"15,988 / 15,988","$802,830"
8 April 2017,Madrid,Spain,Wizink Center,Anne-Marie Ryan McMullan,"15,748 / 16,000","$1,009,283"
9 April 2017,Barcelona,Spain,Palau Sant Jordi,Anne-Marie Ryan McMullan,"17,476 / 17,476","$963,754"
12 April 2017,Dublin,Ireland,3Arena,Anne-Marie Ryan McMullan,"25,478 / 25,538","$1,200,840"
13 April 2017,Dublin,Ireland,3Arena,Anne-Marie Ryan McMullan,"25,478 / 25,538","$1,200,840"
16 April 2017,Glasgow,Scotland,SSE Hydro,Anne-Marie Ryan McMullan,"25,220 / 25,228","$1,991,969"
17 April 2017,Glasgow,Scotland,SSE Hydro,Anne-Marie Ryan McMullan,"25,220 / 25,228","$1,991,969"
19 April 2017,Newcastle,England,Metro Radio Arena,Anne-Marie Ryan McMullan,"21,558 / 22,286","$1,636,406"
20 April 2017,Newcastle,England,Metro Radio Arena,Anne-Marie Ryan McMullan,"21,558 / 22,286","$1,636,406"
22 April 2017,Manchester,England,Manchester Arena,Anne-Marie Ryan McMullan,"31,333 / 31,378","$2,567,282"
23 April 2017,Manchester,England,Manchester Arena,Anne-Marie Ryan McMullan,"31,333 / 31,378","$2,567,282"
25 April 2017,Nottingham,England,Motorpoint Arena,Anne-Marie Ryan McMullan,"18,790 / 18,800","$1,568,523"
26 April 2017,Nottingham,England,Motorpoint Arena,Anne-Marie Ryan McMullan,"18,790 / 18,800","$1,568,523"
28 April 2017,Birmingham,England,Barclaycard Arena,Anne-Marie Ryan McMullan,"30,994 / 31,262","$2,550,013"
29 April 2017,Birmingham,England,Barclaycard Arena,Anne-Marie Ryan McMullan,"30,994 / 31,262","$2,550,013"
1 May 2017,London,England,The O2 Arena,Anne-Marie Ryan McMullan,"55,707 / 56,400","$6,992,411"
2 May 2017,London,England,The O2 Arena,Anne-Marie Ryan McMullan,"55,707 / 56,400","$6,992,411"
3 May 2017,London,England,The O2 Arena,Anne-Marie Ryan McMullan,"55,707 / 56,400","$6,992,411"
Latin America[29][30][31],Latin America[29][30][31],Latin America[29][30][31],Latin America[29][30][31],Latin America[29][30][31],Latin America[29][30][31],Latin America[29][30][31]
13 May 2017,Lima,Perú,Estadio Nacional,Antonio Lulic,"19,745 / 19,745","$1,297,277"
15 May 2017,Santiago,Chile,Movistar Arena,Intimate Stranger Antonio Lulic,"26,984 / 26,984","$2,106,079"
16 May 2017,Santiago,Chile,Movistar Arena,Intimate Stranger Antonio Lulic,"26,984 / 26,984","$2,106,079"
20 May 2017,La Plata,Argentina,Estadio Ciudad de La Plata,Benjamin Amadeo Antonio Lulic,"33,584 / 33,584","$2,394,891"
23 May 2017,Curitiba,Brazil,Pedreira Paulo Leminski,Antonio Lulic,"17,400 / 17,400","$1,407,552"
25 May 2017,Rio de Janeiro,Brazil,Jeunesse Arena,Antonio Lulic,"12,087 / 12,087","$1,024,384"
28 May 2017,São Paulo,Brazil,Allianz Parque,Antonio Lulic,"37,075 / 37,075","$3,468,481"
