event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,genre,capacity,venue_name,venue_city,venue_state,venue_country
Divide Tour,2017-03-16,Ed Sheeran,Anne-Marie Ryan McMullan,52.43722050223598,23256,23256,"pop, singer-songwriter pop, uk pop",23256,Pala Alpitour,Turin,Piedmont,Italy
Divide Tour,2017-03-17,Ed Sheeran,Anne-Marie Ryan McMullan,52.43722050223598,23256,23256,"pop, singer-songwriter pop, uk pop",23256,Pala Alpitour,Turin,Piedmont,Italy
Divide Tour,2017-03-19,Ed Sheeran,Anne-Marie Ryan McMullan,79.51986984214899,14444,14444,"pop, singer-songwriter pop, uk pop",14444,Hallenstadion,Zürich,Zürich,Switzerland
Divide Tour,2017-03-20,Ed Sheeran,Anne-Marie Ryan McMullan,76.16495528320635,12076,12108,"pop, singer-songwriter pop, uk pop",12108,Olympiahalle,Munich,Bavaria,Germany
Divide Tour,2017-03-22,Ed Sheeran,Anne-Marie Ryan McMullan,68.30784838144424,10843,10848,"pop, singer-songwriter pop, uk pop",10848,SAP Arena,Mannheim,Baden-Württemberg,Germany
Divide Tour,2017-03-23,Ed Sheeran,Anne-Marie Ryan McMullan,68.85218516920422,16223,16319,"pop, singer-songwriter pop, uk pop",16319,Lanxess Arena,Cologne,North Rhine-Westphalia,Germany
Divide Tour,2017-03-26,Ed Sheeran,Anne-Marie Ryan McMullan,67.08787532637076,12256,13227,"pop, singer-songwriter pop, uk pop",13227,Barclaycard Arena,Hamburg,Hamburg,Germany
Divide Tour,2017-03-27,Ed Sheeran,Anne-Marie Ryan McMullan,70.1988797504254,14104,14104,"pop, singer-songwriter pop, uk pop",14104,Mercedes-Benz Arena,Berlin,Berlin,Germany
Divide Tour,2017-03-28,Ed Sheeran,Busted,73.45345461583123,5167,5167,"pop, singer-songwriter pop, uk pop",5167,Royal Albert Hall,London,England,England
Divide Tour,2017-03-30,Ed Sheeran,Anne-Marie Ryan McMullan,71.56517398745008,14024,14260,"pop, singer-songwriter pop, uk pop",14260,Ericsson Globe,Stockholm,Stockholm County,Sweden
Divide Tour,2017-04-01,Ed Sheeran,Anne-Marie Ryan McMullan,84.5802213923713,14996,14996,"pop, singer-songwriter pop, uk pop",14996,Jyske Bank Boxen,Herning,Central Denmark Region,Denmark
Divide Tour,2017-04-03,Ed Sheeran,Anne-Marie Ryan McMullan,63.81560667568787,33255,33255,"pop, singer-songwriter pop, uk pop",33255,Ziggo Dome,Amsterdam,North Holland,Netherlands
Divide Tour,2017-04-04,Ed Sheeran,Anne-Marie Ryan McMullan,63.81560667568787,33255,33255,"pop, singer-songwriter pop, uk pop",33255,Ziggo Dome,Amsterdam,North Holland,Netherlands
Divide Tour,2017-04-05,Ed Sheeran,Anne-Marie Ryan McMullan,62.786156682899154,21151,21151,"pop, singer-songwriter pop, uk pop",21151,Sportpaleis,Antwerp,Flanders,Belgium
Divide Tour,2017-04-06,Ed Sheeran,Anne-Marie Ryan McMullan,50.214535901926446,15988,15988,"pop, singer-songwriter pop, uk pop",15988,AccorHotels Arena,Paris,Île-de-France,France
Divide Tour,2017-04-08,Ed Sheeran,Anne-Marie Ryan McMullan,64.08959867919735,15748,16000,"pop, singer-songwriter pop, uk pop",16000,Wizink Center,Madrid,Community of Madrid,Spain
Divide Tour,2017-04-09,Ed Sheeran,Anne-Marie Ryan McMullan,55.14728770885786,17476,17476,"pop, singer-songwriter pop, uk pop",17476,Palau Sant Jordi,Barcelona,Catalonia,Spain
Divide Tour,2017-04-12,Ed Sheeran,Anne-Marie Ryan McMullan,47.132427977078265,25478,25538,"pop, singer-songwriter pop, uk pop",25538,3Arena,Dublin,Leinster,Ireland
Divide Tour,2017-04-13,Ed Sheeran,Anne-Marie Ryan McMullan,47.132427977078265,25478,25538,"pop, singer-songwriter pop, uk pop",25538,3Arena,Dublin,Leinster,Ireland
Divide Tour,2017-04-16,Ed Sheeran,Anne-Marie Ryan McMullan,78.98370340999207,25220,25228,"pop, singer-songwriter pop, uk pop",25228,SSE Hydro,Glasgow,Scotland,Scotland
Divide Tour,2017-04-17,Ed Sheeran,Anne-Marie Ryan McMullan,78.98370340999207,25220,25228,"pop, singer-songwriter pop, uk pop",25228,SSE Hydro,Glasgow,Scotland,Scotland
Divide Tour,2017-04-19,Ed Sheeran,Anne-Marie Ryan McMullan,75.90713424250858,21558,22286,"pop, singer-songwriter pop, uk pop",22286,Metro Radio Arena,Newcastle,England,England
Divide Tour,2017-04-20,Ed Sheeran,Anne-Marie Ryan McMullan,75.90713424250858,21558,22286,"pop, singer-songwriter pop, uk pop",22286,Metro Radio Arena,Newcastle,England,England
Divide Tour,2017-04-22,Ed Sheeran,Anne-Marie Ryan McMullan,81.93540356812306,31333,31378,"pop, singer-songwriter pop, uk pop",31378,Manchester Arena,Manchester,England,England
Divide Tour,2017-04-23,Ed Sheeran,Anne-Marie Ryan McMullan,81.93540356812306,31333,31378,"pop, singer-songwriter pop, uk pop",31378,Manchester Arena,Manchester,England,England
Divide Tour,2017-04-25,Ed Sheeran,Anne-Marie Ryan McMullan,83.47647684938798,18790,18800,"pop, singer-songwriter pop, uk pop",18800,Motorpoint Arena,Nottingham,England,England
Divide Tour,2017-04-26,Ed Sheeran,Anne-Marie Ryan McMullan,83.47647684938798,18790,18800,"pop, singer-songwriter pop, uk pop",18800,Motorpoint Arena,Nottingham,England,England
Divide Tour,2017-04-28,Ed Sheeran,Anne-Marie Ryan McMullan,82.27440794992579,30994,31262,"pop, singer-songwriter pop, uk pop",31262,Barclaycard Arena,Birmingham,England,England
Divide Tour,2017-04-29,Ed Sheeran,Anne-Marie Ryan McMullan,82.27440794992579,30994,31262,"pop, singer-songwriter pop, uk pop",31262,Barclaycard Arena,Birmingham,England,England
Divide Tour,2017-05-01,Ed Sheeran,Anne-Marie Ryan McMullan,125.52122713483045,55707,56400,"pop, singer-songwriter pop, uk pop",56400,The O2 Arena,London,England,England
Divide Tour,2017-05-02,Ed Sheeran,Anne-Marie Ryan McMullan,125.52122713483045,55707,56400,"pop, singer-songwriter pop, uk pop",56400,The O2 Arena,London,England,England
Divide Tour,2017-05-03,Ed Sheeran,Anne-Marie Ryan McMullan,125.52122713483045,55707,56400,"pop, singer-songwriter pop, uk pop",56400,The O2 Arena,London,England,England
Divide Tour,2017-05-13,Ed Sheeran,Antonio Lulic,65.70154469485946,19745,19745,"pop, singer-songwriter pop, uk pop",19745,Estadio Nacional,Lima,Lima,Perú
Divide Tour,2017-05-15,Ed Sheeran,Intimate Stranger Antonio Lulic,78.04917729024608,26984,26984,"pop, singer-songwriter pop, uk pop",26984,Movistar Arena,Santiago,Santiago Metropolitan Region,Chile
Divide Tour,2017-05-16,Ed Sheeran,Intimate Stranger Antonio Lulic,78.04917729024608,26984,26984,"pop, singer-songwriter pop, uk pop",26984,Movistar Arena,Santiago,Santiago Metropolitan Region,Chile
Divide Tour,2017-05-20,Ed Sheeran,Benjamin Amadeo Antonio Lulic,71.31047522629824,33584,33584,"pop, singer-songwriter pop, uk pop",33584,Estadio Ciudad de La Plata,La Plata,Buenos Aires Province,Argentina
Divide Tour,2017-05-23,Ed Sheeran,Antonio Lulic,80.89379310344827,17400,17400,"pop, singer-songwriter pop, uk pop",17400,Pedreira Paulo Leminski,Curitiba,Paraná,Brazil
Divide Tour,2017-05-25,Ed Sheeran,Antonio Lulic,84.75088938528998,12087,12087,"pop, singer-songwriter pop, uk pop",12087,Jeunesse Arena,Rio de Janeiro,Rio de Janeiro,Brazil
Divide Tour,2017-05-28,Ed Sheeran,Antonio Lulic,93.55309507754552,37075,37075,"pop, singer-songwriter pop, uk pop",37075,Allianz Parque,São Paulo,São Paulo,Brazil
Divide Tour,2017-05-30,Ed Sheeran,Antonio Lulic,75.50159089302129,14143,14143,"pop, singer-songwriter pop, uk pop",14143,Esplanada do Minerão,Belo Horizonte,Minas Gerais,Brazil
Divide Tour,2017-06-02,Ed Sheeran,Sebastián Yatra Antonio Lulic,74.83249935848089,15588,15588,"pop, singer-songwriter pop, uk pop",15588,Simón Bolívar Park,Bogotá,Bogotá,Colombia
Divide Tour,2017-06-04,Ed Sheeran,Yebba,71.16583898720012,14297,14297,"pop, singer-songwriter pop, uk pop",14297,Coliseo de Puerto Rico,San Juan,San Juan,Puerto Rico
Divide Tour,2017-06-06,Ed Sheeran,Antonio Lulic,71.82999312872194,17464,17464,"pop, singer-songwriter pop, uk pop",17464,Coca-Cola Amphitheater,Alajuela,Alajuela,Costa Rica
Divide Tour,2017-06-10,Ed Sheeran,Antonio Lulic,60.71530215793662,21363,21500,"pop, singer-songwriter pop, uk pop",21500,Palacio de los Deportes,Mexico City,Mexico City,México
Divide Tour,2017-06-12,Ed Sheeran,Antonio Lulic,79.78616298811545,11780,12000,"pop, singer-songwriter pop, uk pop",12000,Arena VFG,Guadalajara,Jalisco,México
Divide Tour,2017-06-14,Ed Sheeran,Antonio Lulic,112.47565162110617,7865,7865,"pop, singer-songwriter pop, uk pop",7865,Auditorio Citibanamex,Monterrey,Nuevo León,México
Divide Tour,2017-06-22,Ed Sheeran,Fuse ODG,91.18738969998395,18699,18841,"pop, singer-songwriter pop, uk pop",18841,The O2 Arena,London,England,England
Divide Tour,2017-06-29,Ed Sheeran,James Blunt,90.96644746674637,13382,13382,"pop, singer-songwriter pop, uk pop",13382,Sprint Center,Kansas City,Missouri,United States
Divide Tour,2017-06-30,Ed Sheeran,James Blunt,80.66833644859813,13375,13375,"pop, singer-songwriter pop, uk pop",13375,Wells Fargo Arena,Des Moines,Iowa,United States
Divide Tour,2017-07-01,Ed Sheeran,James Blunt,92.05134556165484,14938,14938,"pop, singer-songwriter pop, uk pop",14938,Xcel Energy Center,Saint Paul,Minnesota,United States
Divide Tour,2017-07-07,Ed Sheeran,James Blunt,83.52867348276314,30516,30516,"pop, singer-songwriter pop, uk pop",30516,Air Canada Centre,Toronto,Ontario,Canada
Divide Tour,2017-07-08,Ed Sheeran,James Blunt,83.52867348276314,30516,30516,"pop, singer-songwriter pop, uk pop",30516,Air Canada Centre,Toronto,Ontario,Canada
Divide Tour,2017-07-09,Ed Sheeran,James Blunt,81.58650821391122,14305,14305,"pop, singer-songwriter pop, uk pop",14305,KeyBank Center,Buffalo,New York,United States
Divide Tour,2017-07-11,Ed Sheeran,James Blunt,90.94322660950142,28922,28922,"pop, singer-songwriter pop, uk pop",28922,Wells Fargo Center,Philadelphia,Pennsylvania,United States
Divide Tour,2017-07-12,Ed Sheeran,James Blunt,90.94322660950142,28922,28922,"pop, singer-songwriter pop, uk pop",28922,Wells Fargo Center,Philadelphia,Pennsylvania,United States
Divide Tour,2017-07-14,Ed Sheeran,James Blunt,72.49042789010547,14887,14887,"pop, singer-songwriter pop, uk pop",14887,Mohegan Sun Arena,Uncasville,Connecticut,United States
Divide Tour,2017-07-15,Ed Sheeran,James Blunt,72.49042789010547,14887,14887,"pop, singer-songwriter pop, uk pop",14887,Mohegan Sun Arena,Uncasville,Connecticut,United States
Divide Tour,2017-07-18,Ed Sheeran,James Blunt,83.3403864521343,13611,13611,"pop, singer-songwriter pop, uk pop",13611,Videotron Centre,Quebec City,Quebec,Canada
Divide Tour,2017-07-19,Ed Sheeran,James Blunt,81.73126310272536,15264,15264,"pop, singer-songwriter pop, uk pop",15264,Bell Centre,Montreal,Quebec,Canada
Divide Tour,2017-07-22,Ed Sheeran,James Blunt,82.50384193194292,11843,11843,"pop, singer-songwriter pop, uk pop",11843,Bell MTS Place,Winnipeg,Manitoba,Canada
Divide Tour,2017-07-23,Ed Sheeran,James Blunt,81.30393325387367,12585,12585,"pop, singer-songwriter pop, uk pop",12585,SaskTel Centre,Saskatoon,Saskatchewan,Canada
Divide Tour,2017-07-25,Ed Sheeran,James Blunt,82.46337370494673,27412,27412,"pop, singer-songwriter pop, uk pop",27412,Rogers Place,Edmonton,Alberta,Canada
Divide Tour,2017-07-26,Ed Sheeran,James Blunt,82.46337370494673,27412,27412,"pop, singer-songwriter pop, uk pop",27412,Rogers Place,Edmonton,Alberta,Canada
Divide Tour,2017-07-28,Ed Sheeran,James Blunt,82.87029140014215,14070,14070,"pop, singer-songwriter pop, uk pop",14070,Rogers Arena,Vancouver,British Columbia,Canada
Divide Tour,2017-07-29,Ed Sheeran,James Blunt,80.6141365544068,19538,19538,"pop, singer-songwriter pop, uk pop",19538,Tacoma Dome,Tacoma,Washington,United States
