D a t e   ( 2 0 2 2 ),C i t y,C o u n t r y,V e n u e,O p e n i n g   a c t s,A t t e n d a n c e,R e v e n u e
23 April,Dublin,Ireland,Croke Park,Maisie Peters Denise Chaila,"140,487 / 151,045","$12,417,796"
24 April,Dublin,Ireland,Croke Park,Maisie Peters Denise Chaila,"140,487 / 151,045","$12,417,796"
28 April,Cork,Ireland,Páirc Uí Chaoimh,Maisie Peters Denise Chaila,"68,697 / 78,645","$5,846,380"
29 April,Cork,Ireland,Páirc Uí Chaoimh,Maisie Peters Denise Chaila,"68,697 / 78,645","$5,846,380"
5 May,Limerick,Ireland,Thomond Park,Maisie Peters Denise Chaila,"61,780 / 63,234","$5,199,401"
6 May,Limerick,Ireland,Thomond Park,Maisie Peters Denise Chaila,"61,780 / 63,234","$5,199,401"
12 May,Belfast,Northern Ireland,Boucher Road Playing Fields,Maisie Peters Denise Chaila,"73,519 / 80,604","$6,335,895"
13 May,Belfast,Northern Ireland,Boucher Road Playing Fields,Maisie Peters Denise Chaila,"73,519 / 80,604","$6,335,895"
26 May,Cardiff,Wales,Principality Stadium,Maisie Peters Dylan,"185,490 / 236,082","$14,955,621"
27 May,Cardiff,Wales,Principality Stadium,Maisie Peters Dylan,"185,490 / 236,082","$14,955,621"
28 May,Cardiff,Wales,Principality Stadium,Maisie Peters Dylan,"185,490 / 236,082","$14,955,621"
3 June,Sunderland,England,Stadium of Light,Maisie Peters Dylan,"106,641 / 114,311","$8,892,176"
4 June,Sunderland,England,Stadium of Light,Maisie Peters Dylan,"106,641 / 114,311","$8,892,176"
9 June,Manchester,England,Etihad Stadium,Maisie Peters Dylan,"218,639 / 218,639","$18,049,095"
10 June,Manchester,England,Etihad Stadium,Maisie Peters Dylan,"218,639 / 218,639","$18,049,095"
11 June,Manchester,England,Etihad Stadium,Maisie Peters Dylan,"218,639 / 218,639","$18,049,095"
12 June,Manchester,England,Etihad Stadium,Maisie Peters Dylan,"218,639 / 218,639","$18,049,095"
16 June,Glasgow,Scotland,Hampden Park,Maisie Peters Dylan,"93,344 / 109,713","$7,486,863"
17 June,Glasgow,Scotland,Hampden Park,Maisie Peters Dylan,"93,344 / 109,713","$7,486,863"
24 June,London,England,Wembley Stadium,Maisie Peters Dylan,"420,269 / 460,165","$37,325,883"
25 June,London,England,Wembley Stadium,Maisie Peters Dylan,"420,269 / 460,165","$37,325,883"
29 June,London,England,Wembley Stadium,Maisie Peters Dylan,"420,269 / 460,165","$37,325,883"
30 June,London,England,Wembley Stadium,Maisie Peters Dylan,"420,269 / 460,165","$37,325,883"
1 July,London,England,Wembley Stadium,Maisie Peters Dylan,"420,269 / 460,165","$37,325,883"
7 July,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters Cat Burns,"182,476 / 193,055","$13,726,449"
8 July,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters Cat Burns,"182,476 / 193,055","$13,726,449"
9 July,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters Cat Burns,"182,476 / 193,055","$13,726,449"
14 July,Amsterdam,Netherlands,Johan Cruyff Arena,Maisie Peters Cat Burns,"134,119 / 134,119","$8,638,213"
15 July,Amsterdam,Netherlands,Johan Cruyff Arena,Maisie Peters Cat Burns,"134,119 / 134,119","$8,638,213"
22 July,Brussels,Belgium,King Baudouin Stadium,Maisie Peters Cat Burns Dylan,"104,473 / 127,999","$8,273,105"
23 July,Brussels,Belgium,King Baudouin Stadium,Maisie Peters Cat Burns Dylan,"104,473 / 127,999","$8,273,105"
29 July,Saint-Denis,France,Stade de France,Maisie Peters Cat Burns,"166,764 / 166,764","$10,767,404"
30 July,Saint-Denis,France,Stade de France,Maisie Peters Cat Burns,"166,764 / 166,764","$10,767,404"
3 August,Copenhagen,Denmark,Øresundsparken,Maisie Peters Cat Burns,"156,818 / 158,819","$14,192,005"
4 August,Copenhagen,Denmark,Øresundsparken,Maisie Peters Cat Burns,"156,818 / 158,819","$14,192,005"
5 August,Copenhagen,Denmark,Øresundsparken,Maisie Peters Cat Burns,"156,818 / 158,819","$14,192,005"
6 August,Copenhagen,Denmark,Øresundsparken,Maisie Peters Dylan,"156,818 / 158,819","$14,192,005"
10 August,Gothenburg,Sweden,Ullevi,Maisie Peters Cat Burns,"120,283 / 129,350","$9,513,270"
11 August,Gothenburg,Sweden,Ullevi,Maisie Peters Cat Burns,"120,283 / 129,350","$9,513,270"
20 August,Helsinki,Finland,Helsinki Olympic Stadium,Maisie Peters Cat Burns,"46,667 / 46,667","$4,229,589"
25 August,Warsaw,Poland,PGE Narodowy,Maisie Peters Cat Burns,"146,340 / 146,340","$9,056,295"
26 August,Warsaw,Poland,PGE Narodowy,Maisie Peters Cat Burns,"146,340 / 146,340","$9,056,295"
1 September,Vienna,Austria,Ernst-Happel-Stadion,Maisie Peters Cat Burns,"124,800 / 130,598","$9,412,514"
2 September,Vienna,Austria,Ernst-Happel-Stadion,Maisie Peters Cat Burns,"124,800 / 130,598","$9,412,514"
10 September,Munich,Germany,Olympiastadion,Griff Cat Burns,"200,184 / 215,031","$15,689,903"
11 September,Munich,Germany,Olympiastadion,Griff Cat Burns,"200,184 / 215,031","$15,689,903"
12 September,Munich,Germany,Olympiastadion,Griff Cat Burns,"200,184 / 215,031","$15,689,903"
16 September,Zürich,Switzerland,Letzigrund,Griff Cat Burns,"95,840 / 96,739","$12,200,837"
17 September,Zürich,Switzerland,Letzigrund,Griff Cat Burns,"95,840 / 96,739","$12,200,837"
23 September,Frankfurt,Germany,Deutsche Bank Park,Griff Cat Burns,"182,856 / 184,201","$13,452,253"
24 September,Frankfurt,Germany,Deutsche Bank Park,Griff Cat Burns,"182,856 / 184,201","$13,452,253"
25 September,Frankfurt,Germany,Deutsche Bank Park,Griff Cat Burns,"182,856 / 184,201","$13,452,253"
