event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,Maths Tour,2022-04-23,Ed Sheeran,Maisie Peters Denise Chaila,88.39106821271719,140487,151045,"$12,417,796","pop, singer-songwriter pop, uk pop",151045,,Croke Park,Dublin,Leinster,Ireland
,Maths Tour,2022-04-24,Ed Sheeran,Maisie Peters Denise Chaila,88.39106821271719,140487,151045,"$12,417,796","pop, singer-songwriter pop, uk pop",151045,,Croke Park,Dublin,Leinster,Ireland
,Maths Tour,2022-04-28,Ed Sheeran,Maisie Peters Denise Chaila,85.10386188625414,68697,78645,"$5,846,380","pop, singer-songwriter pop, uk pop",78645,,Páirc Uí Chaoimh,Cork,Munster,Ireland
,Maths Tour,2022-04-29,Ed Sheeran,Maisie Peters Denise Chaila,85.10386188625414,68697,78645,"$5,846,380","pop, singer-songwriter pop, uk pop",78645,,Páirc Uí Chaoimh,Cork,Munster,Ireland
,Maths Tour,2022-05-05,Ed Sheeran,Maisie Peters Denise Chaila,84.15993849142117,61780,63234,"$5,199,401","pop, singer-songwriter pop, uk pop",63234,,Thomond Park,Limerick,County Limerick,Ireland
,Maths Tour,2022-05-06,Ed Sheeran,Maisie Peters Denise Chaila,84.15993849142117,61780,63234,"$5,199,401","pop, singer-songwriter pop, uk pop",63234,,Thomond Park,Limerick,County Limerick,Ireland
,Maths Tour,2022-05-12,Ed Sheeran,Maisie Peters Denise Chaila,86.18037514111998,73519,80604,"$6,335,895","pop, singer-songwriter pop, uk pop",80604,,Boucher Road Playing Fields,Belfast,Northern Ireland,Northern Ireland
,Maths Tour,2022-05-13,Ed Sheeran,Maisie Peters Denise Chaila,86.18037514111998,73519,80604,"$6,335,895","pop, singer-songwriter pop, uk pop",80604,,Boucher Road Playing Fields,Belfast,Northern Ireland,Northern Ireland
,Maths Tour,2022-05-26,Ed Sheeran,Maisie Peters Dylan,80.62764030405951,185490,236082,"$14,955,621","pop, singer-songwriter pop, uk pop",236082,,Principality Stadium,Cardiff,Wales,Wales
,Maths Tour,2022-05-27,Ed Sheeran,Maisie Peters Dylan,80.62764030405951,185490,236082,"$14,955,621","pop, singer-songwriter pop, uk pop",236082,,Principality Stadium,Cardiff,Wales,Wales
