Date Leg 1 – Europe[6][7],City Leg 1 – Europe[6][7],Country Leg 1 – Europe[6][7],Venue Leg 1 – Europe[6][7],Opening act(s) Leg 1 – Europe[6][7],Attendance Leg 1 – Europe[6][7],Revenue Leg 1 – Europe[6][7]
23 March 2023,Manchester,England,AO Arena,Cian Ducrot,"14,752 / 14,885","$1,589,755"
24 March 2023,London,England,The O2 Arena,Cian Ducrot,"36,013 / 36,456","$3,861,670"
25 March 2023,London,England,The O2 Arena,Cian Ducrot,"36,013 / 36,456","$3,861,670"
27 March 2023,London,England,Eventim Apollo,—,"2,742 / 2,742","$293,778"
28 March 2023,Glasgow,Scotland,OVO Hydro,—,"12,356 / 14,049","$1,332,593"
30 March 2023,Dublin,Ireland,3Arena,—,"12,912 / 12,991","$1,396,685"
2 April 2023,Paris,France,Accor Arena,Cian Ducrot,"16,076 / 16,106","$1,706,182"
Leg 2 – North America[8],Leg 2 – North America[8],Leg 2 – North America[8],Leg 2 – North America[8],Leg 2 – North America[8],Leg 2 – North America[8],Leg 2 – North America[8]
10 April 2023[a],Brooklyn,United States,Kings Theatre,Ed Sheeran,"2,946 / 3,055","$319,806"
Leg 3 – Europe[9][10][11][12],Leg 3 – Europe[9][10][11][12],Leg 3 – Europe[9][10][11][12],Leg 3 – Europe[9][10][11][12],Leg 3 – Europe[9][10][11][12],Leg 3 – Europe[9][10][11][12],Leg 3 – Europe[9][10][11][12]
15 April 2023[b],Madrid,Spain,Círculo de Bellas Artes,—,—,—
16 April 2023,Milan,Italy,Che Tempo Che Fa[b],—,—,—
16 April 2023,Milan,Italy,Fabrique,—,—,—
17 April 2023,Berlin,Germany,Admiralspalast,—,"1,591 / 1,595","$174,632"
Leg 4 – North America[13][14],Leg 4 – North America[13][14],Leg 4 – North America[13][14],Leg 4 – North America[13][14],Leg 4 – North America[13][14],Leg 4 – North America[13][14],Leg 4 – North America[13][14]
5 May 2023[b],New York City,United States,Wooster Street,—,—,—
6 May 2023[b],Dallas,United States,Commerce Street,—,—,—
7 May 2023[b],West Hollywood,United States,Melrose Avenue,—,—,—
19 May 2023,Clearwater,United States,Ruth Eckerd Hall,Ben Kweller,"2,101 / 2,101","$237,413"
26 May 2023,Atlanta,United States,Tabernacle,Ben Kweller,—,—
2 June 2023,Philadelphia,United States,The Met Philadelphia,Ben Kweller,—,—
16 June 2023,Toronto,Canada,History,Ben Kweller,—,—
29 June 2023,Boston,United States,Wang Theatre,Ben Kweller,—,—
14 July 2023,Royal Oak,United States,Royal Oak Music Theatre,Sam Barber,—,—
21 July 2023,Nashville,United States,Ryman Auditorium,Ben Kweller,"2,233 / 2,233","$243,530"
28 July 2023,Chicago,United States,Chicago Theatre,Ben Kweller,"3,553 / 3,553","$334,566"
11 August 2023,Minneapolis,United States,State Theatre,Ben Kweller,—,—
14 August 2023,Amagansett,United States,Stephen Talkhouse[c],Ben Kweller,—,—
18 August 2023,Denver,United States,Paramount Theatre,Ben Kweller,—,—
25 August 2023,Seattle,United States,Paramount Theatre,Brandy Clark,"2,761 / 2,761","$290,841"
1 September 2023,Vancouver,Canada,Queen Elizabeth Theatre,Ben Kweller,—,—
15 September 2023,Oakland,United States,Fox Oakland Theatre,Ben Kweller,—,—
22 September 2023,Los Angeles,United States,Shrine Auditorium,Ben Kweller,—,—
Total,Total,Total,Total,Total,—,—
