Date Europe,City Europe,Country Europe,Venue Europe,Attendance Europe,Revenue Europe
15 August 2014[a],Hasselt,Belgium,Kiewit,—,—
16 August 2014[b],Chelmsford,England,Hylands Park,—,—
17 August 2014[c],Weston-under-Lizard,England,Weston Park,—,—
North America[8][9],North America[8][9],North America[8][9],North America[8][9],North America[8][9],North America[8][9]
21 August 2014,Seattle,United States,WaMu Theater,"7,200 / 7,200","$404,362"
23 August 2014,Vancouver,Canada,Ambleside Park,"10,768 / 10,768","$567,979"
26 August 2014,San Jose,United States,SAP Center,"7,485 / 7,485","$423,475"
27 August 2014,Los Angeles,United States,Staples Center,"13,220 / 13,220","$600,422"
29 August 2014,Las Vegas,United States,The Chelsea,"6,000 / 6,000","$237,415"
30 August 2014,Las Vegas,United States,The Chelsea,"6,000 / 6,000","$237,415"
31 August 2014,Glendale,United States,Jobing.com Arena,"8,918 / 8,918","$329,272"
3 September 2014,Kansas City,United States,Sprint Center,"5,514 / 5,514","$285,408"
4 September 2014,Cleveland,United States,Wolstein Center,"5,139 / 5,139","$272,367"
6 September 2014,Columbia,United States,Merriweather Post Pavilion,"11,563 / 11,563","$507,170"
8 September 2014,Philadelphia,United States,Wells Fargo Center,"10,723 / 10,723","$523,115"
9 September 2014,Mansfield,United States,Xfinity Center,"10,808 / 10,808","$545,623"
11 September 2014,Charlotte,United States,Time Warner Cable Arena,"6,533 / 6,533","$314,548"
12 September 2014,Duluth,United States,Arena at Gwinnett Center,"9,276 / 9,276","$475,402"
13 September 2014,Nashville,United States,Bridgestone Arena,"10,231 / 10,231","$569,296"
15 September 2014,Minneapolis,United States,Target Center,"8,434 / 8,434","$428,111"
16 September 2014,Rosemont,United States,Allstate Arena,"10,532 / 10,532","$532,328"
17 September 2014,Auburn Hills,United States,The Palace of Auburn Hills,"6,419 / 6,419","$340,873"
18 September 2014,Toronto,Canada,Air Canada Centre,"14,156 / 14,156","$774,975"
20 September 2014[d],Las Vegas,United States,MGM Grand Garden Arena,—,—
Europe[10][11],Europe[10][11],Europe[10][11],Europe[10][11],Europe[10][11],Europe[10][11]
29 September 2014[e],London,England,The Roundhouse,—,—
3 October 2014,Dublin,Ireland,3Arena,"51,332 / 51,332","$2,763,200"
4 October 2014,Dublin,Ireland,3Arena,"51,332 / 51,332","$2,763,200"
5 October 2014,Dublin,Ireland,3Arena,"51,332 / 51,332","$2,763,200"
6 October 2014,Dublin,Ireland,3Arena,"51,332 / 51,332","$2,763,200"
8 October 2014,Belfast,Northern Ireland,Odyssey Arena,"20,330 / 20,648","$1,072,258"
9 October 2014,Belfast,Northern Ireland,Odyssey Arena,"20,330 / 20,648","$1,072,258"
11 October 2014,Leeds,England,First Direct Arena,"12,808 / 12,810","$671,052"
12 October 2014,London,England,The O2 Arena,"68,748 / 70,368","$4,049,785"
13 October 2014,London,England,The O2 Arena,"68,748 / 70,368","$4,049,785"
14 October 2014,London,England,The O2 Arena,"68,748 / 70,368","$4,049,785"
15 October 2014,London,England,The O2 Arena,"68,748 / 70,368","$4,049,785"
18 October 2014,Birmingham,England,National Indoor Arena,"13,520 / 13,812","$720,042"
19 October 2014,Birmingham,England,LG Arena,"29,329 / 29,926","$1,566,933"
20 October 2014,Birmingham,England,LG Arena,"29,329 / 29,926","$1,566,933"
22 October 2014,Nottingham,England,Capital FM Arena,—,—
23 October 2014,Nottingham,England,Capital FM Arena,—,—
25 October 2014,Newcastle,England,Metro Radio Arena,"10,817 / 11,153","$570,467"
27 October 2014,Manchester,England,Phones 4u Arena,"32,303 / 32,610","$1,703,744"
28 October 2014,Manchester,England,Phones 4u Arena,"32,303 / 32,610","$1,703,744"
30 October 2014,Glasgow,Scotland,SSE Hydro,"25,408 / 25,408","$1,340,085"
31 October 2014,Glasgow,Scotland,SSE Hydro,"25,408 / 25,408","$1,340,085"
3 November 2014,Amsterdam,Netherlands,Ziggo Dome,"16,114 / 16,300","$699,760"
4 November 2014,Brussels,Belgium,Forest National,"8,274 / 8,400","$301,572"
5 November 2014,Düsseldorf,Germany,ISS Dome,"11,820 / 12,164","$415,868"
6 November 2014,Hamburg,Germany,O2 World Hamburg,"11,843 / 11,843","$416,677"
11 November 2014,Copenhagen,Denmark,Forum Copenhagen,—,—
12 November 2014,Stockholm,Sweden,Ericsson Globe,"13,994 / 13,994","$606,446"
14 November 2014,Berlin,Germany,Max-Schmeling-Halle,"8,969 / 8,969","$316,025"
15 November 2014,Stuttgart,Germany,Porsche-Arena,"6,283 / 6,283","$228,751"
17 November 2014,Munich,Germany,Olympiahalle,"12,084 / 12,084","$482,649"
18 November 2014,Frankfurt,Germany,Festhalle Frankfurt,"11,739 / 11,742","$413,018"
19 November 2014,Zürich,Switzerland,Maag Halle,—,—
20 November 2014,Milan,Italy,Alcatraz,—,—
22 November 2014,Villeurbanne,France,Le Transbordeur,—,—
24 November 2014,Barcelona,Spain,Palau Sant Jordi,—,—
25 November 2014,Madrid,Spain,Barclaycard Center,—,—
27 November 2014,Paris,France,Bataclan Theatre,—,—
