D a t e,C i t y,C o u n t r y,V e n u e
North America,North America,North America,North America
15 September 2006,Sacramento,United States,ARCO Arena
16 September 2006,San Jose,United States,HP Pavilion at San Jose
19 September 2006,West Valley City,United States,E-Center
20 September 2006,Boise,United States,Taco Bell Arena
22 September 2006,Seattle,United States,KeyArena
23 September 2006,Seattle,United States,KeyArena
24 September 2006,Portland,United States,Rose Garden
27 September 2006,Vancouver,Canada,General Motors Place
29 September 2006,Calgary,Canada,Pengrowth Saddledome
30 September 2006,Edmonton,Canada,Rexall Place
6 October 2006,Pittsburgh,United States,Mellon Arena
7 October 2006,Atlantic City,United States,Boardwalk Hall
1 November 2006,Uniondale,United States,Nassau Veterans Memorial Coliseum
2 November 2006,Uniondale,United States,Nassau Veterans Memorial Coliseum
4 November 2006,Toronto,Canada,Air Canada Centre
5 November 2006,Hamilton,Canada,Copps Coliseum
6 November 2006,London,Canada,John Labatt Centre
10 November 2006,Ottawa,Canada,Scotiabank Place
11 November 2006,Montreal,Canada,Bell Centre
Europe,Europe,Europe,Europe
17 November 2006[A],Basel,Switzerland,Messe Basel
18 November 2006[A],Basel,Switzerland,Messe Basel
Oceania,Oceania,Oceania,Oceania
26 November 2006,Brisbane,Australia,Brisbane Entertainment Centre
28 November 2006,Sydney,Australia,Sydney Entertainment Centre
29 November 2006,Sydney,Australia,Sydney Entertainment Centre
1 December 2006,Sydney,Australia,Sydney Entertainment Centre
3 December 2006,Melbourne,Australia,Rod Laver Arena
6 December 2006,Wellington,New Zealand,Westpac Stadium
8 December 2006,Melbourne,Australia,Rod Laver Arena
9 December 2006,Adelaide,Australia,Adelaide Entertainment Centre
11 December 2006,Perth,Australia,Burswood Dome
North America,North America,North America,North America
23 February 2007,El Paso,United States,Don Haskins Center
24 February 2007,Albuquerque,United States,Tingley Coliseum
21 March 2007,Hartford,United States,Hartford Civic Center
22 March 2007,Providence,United States,Dunkin' Donuts Center
25 March 2007,New York City,United States,Madison Square Garden
28 April 2007,San Juan,Puerto Rico,José Miguel Agrelot Coliseum
29 April 2007[B],Tobago,West Indies,Plymouth Recreational Grounds
4 May 2007,Greenville,United States,BI-LO Center
5 May 2007,Birmingham,United States,Birmingham–Jefferson Convention Complex
Europe,Europe,Europe,Europe
20 May 2007,Vitoria-Gasteiz,Spain,Plaza de Toros de Vitoria-Gasteiz
24 May 2007,Sheffield,England,Hallam FM Arena
26 May 2007,Plymouth,England,Home Park
29 May 2007,Versailles,France,Château de Versailles
1 June 2007,Belfast,Northern Ireland,Odyssey Arena
3 June 2007,Carlisle,England,Brunton Park
8 June 2007,Baden-Baden,Germany,Rennplatz
9 June 2007,Aschaffenburg,Germany,Castle Lowenstein
16 June 2007,Kyiv,Ukraine,Maidan Nezalezhnosti
20 June 2007,Malmö,Sweden,Malmö Stadion
22 June 2007,Fredrikstad,Norway,Fredrikstad Stadion
23 June 2007,Valencia,Spain,Plaza de Toros
24 June 2007,Odense,Denmark,Fionia Park
26 June 2007,Kristiansand,Norway,Start Stadium
1 July 2007[C],London,England,Wembley Stadium
3 July 2007[D][S],Madrid,Spain,Polideportivo Villalba
6 July 2007,St. Petersburg,Russia,Palace Square
7 July 2007[E],Werchter,Belgium,Werchter Park
9 July 2007[F],Cork,Ireland,The Docklands
10 July 2007[G],Lucca,Italy,Piazza Napoleone
14 July 2007,Glasgow,Scotland,Scottish Exhibition & Conference Centre
15 July 2007,Inverness,Scotland,Tulloch Caledonian Stadium
8 September 2007,Vevey,Switzerland,Place du Marche
11 September 2007,Paris,France,Zénith de Paris
14 September 2007,Riga,Latvia,Arena Riga
15 September 2007,Tallinn,Estonia,Saku Suurhall Arena
18 September 2007,Moscow,Russia,Red Square
23 September 2007,Baku,Azerbaijan,Tofiq Bahramov Stadium
Africa,Africa,Africa,Africa
13 January 2008,Cape Town,South Africa,Newlands Cricket Ground
16 January 2008,Durban,South Africa,ABSA Stadium
18 January 2008,Johannesburg,South Africa,Coca-Cola Dome
19 January 2008,Johannesburg,South Africa,Coca-Cola Dome
