D a t e,C i t y,C o u n t r y,V e n u e,T i c k e t s   S o l d / A v a i l a b l e,B o x   O f f i c e,U n n a m e d :   6
North America,North America,North America,North America,North America,North America,North America
8 November 2013,Bridgeport,United States,Webster Bank Arena,—,—,
9 November 2013,Providence,United States,Dunkin' Donuts Center,—,—,
12 November 2013,Boston,United States,TD Garden,—,—,
14 November 2013,"Washington, D.C.",United States,Verizon Center,"14,401 / 16,610 (87%)","$1,418,759",
16 November 2013,Atlanta,United States,Philips Arena,"14,846 / 14,846 (100%)","$1,163,425",
18 November 2013,Erie,United States,Erie Insurance Arena,—,—,
22 November 2013,Saint Paul,United States,Xcel Energy Center,—,—,
23 November 2013,Lincoln,United States,Pinnacle Bank Arena,—,—,
24 November 2013,St. Louis,United States,Chaifetz Arena,—,—,
27 November 2013,Philadelphia,United States,Wells Fargo Center,—,—,
29 November 2013,Detroit,United States,Joe Louis Arena,—,—,
30 November 2013,Rosemont,United States,Allstate Arena,—,—,
3 December 2013,New York City,United States,Madison Square Garden,"36,196 / 36,196 (100%)","$3,852,856",
4 December 2013,New York City,United States,Madison Square Garden,"36,196 / 36,196 (100%)","$3,852,856",
Europe,Europe,Europe,Europe,Europe,Europe,Europe
6 December 2013,Moscow,Russia,Crocus City Hall,—,—,
7 December 2013,Kazan,Russia,TatNeft Arena,—,—,
9 December 2013,Paris,France,L'Olympia,—,—,
10 December 2013,Paris,France,L'Olympia,—,—,
11 December 2013,Paris,France,L'Olympia,—,—,
13 December 2013,Stockholm,Sweden,Friends Arena,—,—,
14 December 2013,Oslo,Norway,Oslo Spektrum,—,—,
16 December 2013,Brussels,Belgium,Brussels Expo,—,—,
18 December 2013,Prague,Czech Republic,O2 Arena,—,—,
19 December 2013,Kaunas,Lithuania,Žalgiris Arena,—,—,
North America,North America,North America,North America,North America,North America,North America
1 February 2014,Youngstown,United States,Covelli Centre,—,—,
3 February 2014,London,Canada,Budweiser Gardens,"9,166 / 9,166 (100%)","$1,126,850",
5 February 2014,Montreal,Canada,Bell Centre,"14,381 / 14,381 (100%)","$1,316,800",
6 February 2014,Toronto,Canada,Air Canada Centre,"18,857 / 18,857 (100%)","$1,611,910",
8 February 2014,Hamilton,Canada,Copps Coliseum,—,—,
12 February 2014,Oshawa,Canada,General Motors Centre,"6,301 / 6,301 (100%)","$795,682",
13 February 2014,Ottawa,Canada,Canadian Tire Centre,—,—,
South America,South America,South America,South America,South America,South America,South America
15 February 2014,Quito,Ecuador,Arena Paseo San Francisco,—,—,
19 February 2014,Rio de Janeiro,Brazil,HSBC Arena,"9,929 / 9,929 (100%)","$915,087",
21 February 2014,Goiânia,Brazil,Goiânia Arena,"10,658 / 12,315 (86%)","$703,874",
22 February 2014,Salvador,Brazil,Itaipava Arena Fonte Nova,"34,503 / 41,000 (84%)","$2,305,150",
26 February 2014,Fortaleza,Brazil,Castelão,"18,979 / 22,000 (86%)","$1,120,340",
Central America,Central America,Central America,Central America,Central America,Central America,Central America
28 February 2014,La Romana,Dominican Republic,Altos de Chavón,"5,080 / 5,080 (100%)","$867,658",
TOTAL,TOTAL,TOTAL,TOTAL,"174,440 / 187,824 (93%)","$15,586,481",
