D a t e,C i t y,C o u n t r y,V e n u e,T i c k e t s   S o l d   /   A v a i l a b l e,R e v e n u e
North America,North America,North America,North America,North America,North America
8 March 2004[A],Kamloops,Canada,Sport Mart Place,,
16 April 2004,Reading,United States,Sovereign Center,"8,675 / 8,675","$755,690"
17 April 2004,Amherst,United States,William D. Mullins Memorial Center,"7,613 / 9,266","$518,331"
23 April 2004,Manchester,United States,Verizon Wireless Arena,"10,966 / 10,966","$905,237"
24 April 2004,Portland,United States,Cumberland County Civic Center,"8,341 / 8,341","$665,825"
27 April 2004,Bridgeport,United States,Arena at Harbor Yard,"18,508 / 18,508","$1,692,749"
28 April 2004,Bridgeport,United States,Arena at Harbor Yard,"18,508 / 18,508","$1,692,749"
Europe,Europe,Europe,Europe,Europe,Europe
26 May 2004[A],Palermo,Italy,Velodromo Paolo Borsellino,,
28 May 2004[A],Bayonne,France,Arene de Bayonne,,
30 May 2004[A],Nicosia,Cyprus,Davila Moat,,
1 June 2004[A],Karlstad,Sweden,Löfbergs Lila Arena,,
3 June 2004[A],Stavanger,Norway,Gamle Stavanger Stadion,,
5 June 2004[A],Langesund,Norway,Krogshavn,,
6 June 2004[A],Aalborg,Denmark,Kongress Kultur Center,,
8 June 2004[A],Genova,Italy,Piazza Del Mare,,
9 June 2004[A],Reggio Calabria,Italy,Stadio Oreste Granillo,,
11 June 2004,Bristol,England,Ashton Gate Stadium,"21,840 / 21,840","$1,944,569"
16 June 2004,Suffolk,England,Portman Road,"22,746 / 22,746","$2,207,065"
18 June 2004,Aberdeen,Scotland,Pittodrie Stadium,,
20 June 2004,Kent,England,The Hop Farm Country Park,,
28 June 2004[B],Birmingham,England,National Exhibition Centre,,
29 June 2004[B],Birmingham,England,National Exhibition Centre,,
1 July 2004[B],London,England,Wembley Arena,,
3 July 2004[B],London,England,Wembley Arena,,
4 July 2004[B],London,England,Royal Albert Hall,,
North America,North America,North America,North America,North America,North America
13 July 2004[C],New York City,United States,Radio City Music Hall,"28,984 / 28,984","$5,290,740"
14 July 2004[C],New York City,United States,Radio City Music Hall,"28,984 / 28,984","$5,290,740"
15 July 2004[C],New York City,United States,Radio City Music Hall,"28,984 / 28,984","$5,290,740"
17 July 2004[C],New York City,United States,Radio City Music Hall,"28,984 / 28,984","$5,290,740"
18 July 2004[C],New York City,United States,Radio City Music Hall,"28,984 / 28,984","$5,290,740"
Europe,Europe,Europe,Europe,Europe,Europe
10 September 2004,Gibraltar,Gibraltar,Victoria Stadium,,
Asia,Asia,Asia,Asia,Asia,Asia
14 September 2004,Hong Kong,Hong Kong,Hong Kong Convention and Exhibition Centre,"7,713 / 7,926","$954,943"
17 September 2004,Seoul,South Korea,Seoul Olympics Main Stadium,,
19 September 2004,Shanghai,China,Grand Stage,"11,194 / 14,000","$1,220,495"
21 September 2004,Shanghai,China,Grand Stage,"11,194 / 14,000","$1,220,495"
23 September 2004,Taipei,Taiwan,Chung Shan Football Stadium,"9,570 / 10,000","$697,518"
