Date North America[31][32][33],City North America[31][32][33],Country North America[31][32][33],Venue North America[31][32][33],Attendance North America[31][32][33],Revenue North America[31][32][33]
8 September 2018,Allentown,United States,PPL Center,"8,983 / 8,983","$1,492,859"
11 September 2018,Philadelphia,United States,Wells Fargo Center,"29,531 / 29,531","$4,273,021"
12 September 2018,Philadelphia,United States,Wells Fargo Center,"29,531 / 29,531","$4,273,021"
15 September 2018,Buffalo,United States,KeyBank Center,"15,581 / 15,641","$2,033,001"
16 September 2018,University Park,United States,Bryce Jordan Center,"12,421 / 12,421","$1,662,468"
19 September 2018,Hartford,United States,XL Center,"12,311 / 12,311","$1,430,695"
21 September 2018,"Washington, D.C.",United States,Capital One Arena,"30,315 / 30,315","$4,464,426"
22 September 2018,"Washington, D.C.",United States,Capital One Arena,"30,315 / 30,315","$4,464,426"
25 September 2018,Toronto,Canada,Scotiabank Arena,"31,886 / 31,886","$3,590,343"
26 September 2018,Toronto,Canada,Scotiabank Arena,"31,886 / 31,886","$3,590,343"
28 September 2018,Ottawa,Canada,Canadian Tire Centre,"14,160 / 14,160","$1,330,020"
29 September 2018,Quebec City,Canada,Videotron Centre,"14,553 / 14,553","$1,473,260"
4 October 2018,Montreal,Canada,Bell Centre,"16,466 / 16,466","$1,681,260"
6 October 2018,Boston,United States,TD Garden,"13,946 / 14,168","$1,953,520"
9 October 2018,Uniondale,United States,Nassau Coliseum,"11,984 / 11,984","$1,648,995"
10 October 2018,Pittsburgh,United States,PPG Paints Arena,"14,452 / 14,452","$1,998,879"
12 October 2018,Detroit,United States,Little Caesars Arena,"30,218 / 30,218","$4,037,241"
13 October 2018,Detroit,United States,Little Caesars Arena,"30,218 / 30,218","$4,037,241"
15 October 2018,Grand Rapids,United States,Van Andel Arena,"12,689 / 12,689","$1,698,338"
18 October 2018,New York City,United States,Madison Square Garden,"29,435 / 29,435","$4,846,015"
19 October 2018,New York City,United States,Madison Square Garden,"29,435 / 29,435","$4,846,015"
23 October 2018,Louisville,United States,KFC Yum! Center,"17,412 / 17,412","$1,990,938"
24 October 2018,Nashville,United States,Bridgestone Arena,"14,447 / 14,513","$2,179,947"
26 October 2018,Chicago,United States,United Center,"31,066 / 31,066","$4,431,187"
27 October 2018,Chicago,United States,United Center,"31,066 / 31,066","$4,431,187"
30 October 2018,St. Louis,United States,Enterprise Center,"15,495 / 15,495","$1,867,478"
2 November 2018,Columbus,United States,Schottenstein Center,"14,399 / 14,399","$1,708,401"
3 November 2018,Cleveland,United States,Quicken Loans Arena,"16,252 / 16,252","$1,923,705"
6 November 2018,Boston,United States,TD Garden,"14,073 / 14,073","$2,047,084"
8 November 2018,New York City,United States,Madison Square Garden,"29,514 / 29,514","$5,178,733"
9 November 2018,New York City,United States,Madison Square Garden,"29,514 / 29,514","$5,178,733"
23 November 2018,Sunrise,United States,BB&T Center,"14,182 / 14,182","$2,055,879"
24 November 2018,Miami,United States,American Airlines Arena,"13,996 / 13,996","$2,119,362"
30 November 2018,Atlanta,United States,State Farm Arena,"24,920 / 24,920","$3,310,272"
1 December 2018,Atlanta,United States,State Farm Arena,"24,920 / 24,920","$3,310,272"
4 December 2018,Birmingham,United States,Legacy Arena,"13,774 / 13,774","$1,466,013"
6 December 2018,New Orleans,United States,Smoothie King Center,"14,573 / 14,573","$1,807,489"
8 December 2018,Houston,United States,Toyota Center,"25,794 / 25,794","$3,958,024"
9 December 2018,Houston,United States,Toyota Center,"25,794 / 25,794","$3,958,024"
12 December 2018,San Antonio,United States,AT&T Center,"15,037 / 15,037","$1,707,532"
14 December 2018,Dallas,United States,American Airlines Center,"28,928 / 28,928","$4,297,806"
15 December 2018,Dallas,United States,American Airlines Center,"28,928 / 28,928","$4,297,806"
11 January 2019,Boise,United States,Taco Bell Arena,"9,063 / 9,063","$1,189,869"
12 January 2019,Portland,United States,Moda Center,"14,584 / 14,584","$1,843,608"
15 January 2019,Fresno,United States,Save Mart Center,"12,271 / 12,271","$1,677,265"
16 January 2019,Sacramento,United States,Golden 1 Center,"14,241 / 14,241","$1,860,305"
18 January 2019,Oakland,United States,Oracle Arena,"14,749 / 14,749","$2,017,373"
19 January 2019,San Jose,United States,SAP Center,"13,835 / 13,835","$1,992,673"
22 January 2019,Los Angeles,United States,Staples Center,"57,213 / 57,213[a]","$8,513,984[a]"
23 January 2019,Los Angeles,United States,Staples Center,"57,213 / 57,213[a]","$8,513,984[a]"
25 January 2019,Los Angeles,United States,Staples Center,"57,213 / 57,213[a]","$8,513,984[a]"
26 January 2019,Glendale,United States,Gila River Arena,"13,899 / 13,899","$1,864,926"
29 January 2019,San Diego,United States,Pechanga Arena,"11,517 / 11,555","$1,361,249"
30 January 2019,Los Angeles,United States,Staples Center,[a],[a]
1 February 2019,Inglewood,United States,The Forum,"29,408 / 29,408","$3,973,836"
2 February 2019,Inglewood,United States,The Forum,"29,408 / 29,408","$3,973,836"
6 February 2019,Denver,United States,Pepsi Center,"27,711 / 27,711","$4,208,205"
7 February 2019,Denver,United States,Pepsi Center,"27,711 / 27,711","$4,208,205"
9 February 2019,Tulsa,United States,BOK Center,"13,363 / 13,363","$1,629,219"
12 February 2019,Omaha,United States,CHI Health Center Omaha,"14,738 / 14,738","$1,811,131"
13 February 2019,Kansas City,United States,Sprint Center,"14,292 / 14,292","$1,974,229"
15 February 2019,Rosemont,United States,Allstate Arena,"28,400 / 28,400","$3,942,660"
16 February 2019,Rosemont,United States,Allstate Arena,"28,400 / 28,400","$3,942,660"
21 February 2019,Minneapolis,United States,Target Center,"29,949 / 29,949","$4,205,786"
22 February 2019,Minneapolis,United States,Target Center,"29,949 / 29,949","$4,205,786"
27 February 2019,Cincinnati,United States,U.S. Bank Arena,"13,456 / 13,456","$1,678,397"
1 March 2019,Albany,United States,Times Union Center,"12,617 / 12,617","$1,629,499"
2 March 2019,Newark,United States,Prudential Center,"13,949 / 13,949","$2,141,546"
5 March 2019,New York City,United States,Madison Square Garden,"29,821 / 29,821","$5,249,700"
6 March 2019,New York City,United States,Madison Square Garden,"29,821 / 29,821","$5,249,700"
8 March 2019,Brooklyn,United States,Barclays Center,"30,108 / 30,108","$4,295,346"
9 March 2019,Brooklyn,United States,Barclays Center,"30,108 / 30,108","$4,295,346"
12 March 2019,Raleigh,United States,PNC Arena,"14,885 / 14,885","$2,050,728"
13 March 2019,Columbia,United States,Colonial Life Arena,"13,331 / 13,331","$1,833,220"
15 March 2019,Jacksonville,United States,VyStar Veterans Memorial Arena,"12,370 / 12,370","$1,779,255"
16 March 2019,Sunrise,United States,BB&T Center,"14,517 / 14,517","$2,109,042"
18 March 2019[b],Orlando,United States,Amway Center,"13,446 / 13,446","$1,833,937"
Europe,Europe,Europe,Europe,Europe,Europe
1 May 2019,Vienna,Austria,Wiener Stadthalle,"20,565 / 20,565","$2,706,734"
2 May 2019,Vienna,Austria,Wiener Stadthalle,"20,565 / 20,565","$2,706,734"
4 May 2019,Kraków,Poland,Tauron Arena Kraków,"13,972 / 13,972","$1,164,007"
7 May 2019,Prague,Czech Republic,O2 Arena,"13,722 / 13,722","$1,500,712"
9 May 2019,Bremen,Germany,ÖVB Arena,"8,656 / 8,656","$973,112"
11 May 2019,Stuttgart,Germany,Hanns-Martin-Schleyer-Halle,"9,841 / 9,841","$1,444,671"
12 May 2019,Oberhausen,Germany,König Pilsener Arena,"10,139 / 10,139","$1,204,533"
18 May 2019,Copenhagen,Denmark,Royal Arena,"13,186 / 13,186","$2,041,790"
19 May 2019,Gothenburg,Sweden,Scandinavium,"9,701 / 9,701","$1,157,857"
22 May 2019,Hanover,Germany,TUI Arena,"9,808 / 9,920","$1,101,335"
23 May 2019,Antwerp,Belgium,Sportpaleis,"16,348 / 16,348","$1,588,629"
26 May 2019,Munich,Germany,Olympiahalle,"11,108 / 11,108","$1,227,321"
29 May 2019,Verona,Italy,Verona Arena,"11,932 / 11,932","$1,122,434"
1 June 2019,Wiesbaden,Germany,Bowling Green,"10,280 / 10,280","$1,159,911"
4 June 2019,Bergen,Norway,Koengen,"22,500 / 22,500","$2,201,784"
6 June 2019,Copenhagen,Denmark,Royal Arena,"13,279 / 13,279","$2,076,110"
8 June 2019,Amsterdam,Netherlands,Ziggo Dome,"12,551 / 12,551","$1,022,623"
9 June 2019,Hove,England,First Central County Ground,"18,210 / 18,210","$1,935,090"
12 June 2019,Dublin,Ireland,3Arena,"16,848 / 16,848","$3,048,861"
13 June 2019,Dublin,Ireland,3Arena,"16,848 / 16,848","$3,048,861"
15 June 2019,Cardiff,Wales,Cardiff City Stadium,"30,558 / 30,558","$2,863,159"
17 June 2019[c],Amsterdam,Netherlands,Ziggo Dome,"12,764 / 12,764","$1,025,363"
18 June 2019,Lille,France,Stade Pierre-Mauroy,"26,517 / 26,517","$2,630,997"
20 June 2019,Paris,France,AccorHotels Arena,"12,653 / 13,081","$2,192,829"
22 June 2019,Bordeaux,France,Arkéa Arena,"8,044 / 8,044","$1,371,623"
23 June 2019[d],Nîmes,France,Arena of Nîmes,"14,000 / 14,000","$1,485,776"
26 June 2019,Madrid,Spain,WiZink Center,"11,490 / 11,490","$1,129,930"
29 June 2019[e],Montreux,Switzerland,Stadium Saussaz,"14,723 / 14,723","$3,108,660"
3 July 2019,Graz,Austria,Messe Congress Graz,"9,675 / 9,675","$1,318,618"
5 July 2019,Munich,Germany,Olympiahalle,"11,532 / 11,532","$1,277,077"
7 July 2019[f],Lucca,Italy,Mura Storiche,"19,737 / 19,737","$2,266,040"
North America,North America,North America,North America,North America,North America
4 September 2019,Salt Lake City,United States,Vivint Smart Home Arena,"13,521 / 13,521","$1,802,270"
6 September 2019,Las Vegas,United States,T-Mobile Arena,"31,274 / 31,274","$4,596,868"
7 September 2019,Las Vegas,United States,T-Mobile Arena,"31,274 / 31,274","$4,596,868"
10 September 2019,Anaheim,United States,Honda Center,"27,870 / 27,870","$3,776,139"
11 September 2019,Anaheim,United States,Honda Center,"27,870 / 27,870","$3,776,139"
13 September 2019,San Francisco,United States,Chase Center,"28,380 / 28,380","$4,374,647"
15 September 2019,San Francisco,United States,Chase Center,"28,380 / 28,380","$4,374,647"
17 September 2019,Tacoma,United States,Tacoma Dome,"38,728 / 38,728","$5,833,950"
18 September 2019,Tacoma,United States,Tacoma Dome,"38,728 / 38,728","$5,833,950"
21 September 2019,Vancouver,Canada,Rogers Arena,"45,425 / 45,425","$5,329,012"
22 September 2019,Vancouver,Canada,Rogers Arena,"45,425 / 45,425","$5,329,012"
24 September 2019,Vancouver,Canada,Rogers Arena,"45,425 / 45,425","$5,329,012"
27 September 2019,Edmonton,Canada,Rogers Place,"30,806 / 30,806","$3,216,169"
28 September 2019,Edmonton,Canada,Rogers Place,"30,806 / 30,806","$3,216,169"
1 October 2019,Saskatoon,Canada,SaskTel Centre,"26,380 / 26,380","$2,615,473"
2 October 2019,Saskatoon,Canada,SaskTel Centre,"26,380 / 26,380","$2,615,473"
4 October 2019,Winnipeg,Canada,Bell MTS Place,"25,283 / 25,283","$2,725,778"
5 October 2019,Winnipeg,Canada,Bell MTS Place,"25,283 / 25,283","$2,725,778"
19 October 2019[g],Milwaukee,United States,Fiserv Forum,"13,012 / 13,012","$1,718,769"
23 October 2019,Toronto,Canada,Scotiabank Arena,"32,202 / 32,202","$3,767,643"
24 October 2019[h],Toronto,Canada,Scotiabank Arena,"32,202 / 32,202","$3,767,643"
28 October 2019,Nashville,United States,Bridgestone Arena,"14,624 / 14,624","$2,320,071"
30 October 2019,Memphis,United States,FedExForum,"14,435 / 14,435","$1,825,808"
1 November 2019,Atlanta,United States,State Farm Arena,"23,708 / 23,708","$3,897,797"
2 November 2019,Atlanta,United States,State Farm Arena,"23,708 / 23,708","$3,897,797"
4 November 2019[i],Tampa,United States,Amalie Arena,"14,961 / 14,961","$2,190,160"
6 November 2019,Charlotte,United States,Spectrum Center,"15,834 / 15,834","$2,163,283"
8 November 2019,Philadelphia,United States,Wells Fargo Center,"31,230 / 31,230","$4,608,305"
9 November 2019,Philadelphia,United States,Wells Fargo Center,"31,230 / 31,230","$4,608,305"
11 November 2019,Cleveland,United States,Rocket Mortgage FieldHouse,"16,621 / 16,621","$2,168,485"
13 November 2019,Pittsburgh,United States,PPG Paints Arena,"15,011 / 15,011","$2,182,135"
15 November 2019,Boston,United States,TD Garden,"14,112 / 14,112","$2,046,734"
16 November 2019,Uniondale,United States,Nassau Coliseum,"12,125 / 12,125","$1,722,978"
Oceania[43],Oceania[43],Oceania[43],Oceania[43],Oceania[43],Oceania[43]
30 November 2019,Perth,Australia,Perth Oval,"44,079 / 45,415","$5,965,750"
1 December 2019,Perth,Australia,Perth Oval,"44,079 / 45,415","$5,965,750"
4 December 2019,Adelaide,Australia,Adelaide Botanic Park,"32,523 / 32,966","$3,603,260"
5 December 2019,Adelaide,Australia,Adelaide Botanic Park,"32,523 / 32,966","$3,603,260"
7 December 2019[j],Geelong,Australia,Mt Duneed Estate,"20,849 / 20,849","$2,160,861"
10 December 2019,Melbourne,Australia,Rod Laver Arena,"51,556 / 52,838","$7,994,560"
11 December 2019,Melbourne,Australia,Rod Laver Arena,"51,556 / 52,838","$7,994,560"
14 December 2019,Melbourne,Australia,Rod Laver Arena,"51,556 / 52,838","$7,994,560"
15 December 2019,Melbourne,Australia,Rod Laver Arena,"51,556 / 52,838","$7,994,560"
18 December 2019,Brisbane,Australia,Brisbane Entertainment Centre,"21,425 / 23,210","$2,979,870"
19 December 2019,Brisbane,Australia,Brisbane Entertainment Centre,"21,425 / 23,210","$2,979,870"
21 December 2019,Sydney,Australia,First State Super Theatre,"16,337 / 16,407","$2,752,960"
23 December 2019,Sydney,Australia,First State Super Theatre,"16,337 / 16,407","$2,752,960"
