Date North America[4],City North America[4],Country North America[4],Venue North America[4],Attendance North America[4],Revenue North America[4]
12 March 2014,Beaumont,United States,Ford Arena,"8,218 / 8,218","$764,418"
13 March 2014,Dallas,United States,American Airlines Center,"14,516 / 14,516","$1,387,432"
15 March 2014,Birmingham,United States,BJCC Arena,—,—
16 March 2014,Pensacola,United States,Pensacola Bay Center,"8,137 / 8,629","$791,152"
19 March 2014,Tupelo,United States,BancorpSouth Arena,—,—
21 March 2014,New Orleans,United States,Smoothie King Center,"15,138 / 16,251","$1,217,726"
22 March 2014,Bossier City,United States,CenturyLink Center,"12,992 / 12,992","$1,105,872"
11 June 2014,Charleston,United States,Charleston Civic Center,—,—
12 June 2014,Virginia Beach,United States,Farm Bureau Live,—,—
14 June 2014,Charlotte,United States,PNC Music Pavilion,—,—
15 June 2014[a],Manchester,United States,Great Stage Park,—,—
Europe,Europe,Europe,Europe,Europe,Europe
21 June 2014,Leigh,England,Leigh Sports Village Stadium,"16,445 / 16,578","$1,747,084"
22 June 2014,St. Gallen,Switzerland,Kybunpark,—,—
24 June 2014,Nottingham,England,Capital FM Arena Nottingham,—,—
28 June 2014,Buckinghamshire,England,Stoke Park Country Club,—,—
29 June 2014,Colchester,England,Colchester Community Stadium,"16,517 / 16,539","$1,805,166"
2 July 2014,Newcastle,England,Metro Radio Arena,—,—
4 July 2014[b],Calella,Spain,Jardín Botánico del Cap Roig,—,—
5 July 2014,Aalborg,Denmark,Skovdalen Atletikstadion,—,—
6 July 2014,Halle,Germany,Gerry Weber Stadion,"6,921 / 7,087","$801,155"
10 July 2014,Fulda,Germany,Fulda Domplatz,"6,175 / 7,000","$622,401"
11 July 2014,Dresden,Germany,Theaterplatz vor der Semperoper,—,—
12 July 2014,Kiel,Germany,Sparkassen-Arena,—,—
15 July 2014[c],Carcassonne,France,Théâtre Jean-Deschamps,—,—
16 July 2014[d],Lyon,France,Theatre Romain Fourviere,—,—
18 July 2014[e],Carhaix,France,La Prairie de Kerampuilh,—,—
19 July 2014,Mainz,Germany,Nordmole Zollhafen,"9,148 / 9,315","$987,924"
20 July 2014,Mönchengladbach,Germany,Warsteiner HockeyPark,"7,189 / 7,980","$801,872"
22 July 2014[f],Regensburg,Germany,Schloss Thurn und Taxis,—,—
23 July 2014[g],Lörrach,Germany,Marktplatz Lörrach,—,—
24 July 2014[h],Nyon,Switzerland,Nyon Festival Grounds,—,—
26 July 2014[i],Monte Carlo,Monaco,Salle des Etoiles,—,—
North America[5],North America[5],North America[5],North America[5],North America[5],North America[5]
13 September 2014,Vancouver,Canada,Rogers Arena,—,—
14 September 2014,Vancouver,Canada,Rogers Arena,—,—
17 September 2014,Spokane,United States,Spokane Veterans Memorial Arena,—,—
19 September 2014,West Valley City,United States,Maverik Center,"10,052 / 10,052","$707,188"
20 September 2014,Denver,United States,Pepsi Center,"14,570 / 14,570","$1,104,800"
25 September 2014,Portland,United States,Moda Center,"12,098 / 13,782","$1,192,072"
27 September 2014,Seattle,United States,KeyArena,—,—
1 October 2014,Sacramento,United States,Sleep Train Arena,—,—
2 October 2014,San Jose,United States,SAP Center,"14,519 / 14,896","$1,299,635"
4 October 2014,Los Angeles,United States,Staples Center,"32,182 / 32,182","$3,363,049"
5 October 2014,Los Angeles,United States,Staples Center,"32,182 / 32,182","$3,363,049"
Europe,Europe,Europe,Europe,Europe,Europe
1 November 2014,Madrid,Spain,Palacio de Deportes de la Comunidad,—,—
2 November 2014,Bilbao,Spain,Bizkaia Arena,—,—
5 November 2014,Kraków,Poland,Kraków Arena,—,—
6 November 2014,Minsk,Belarus,Minsk-Arena,—,—
9 November 2014,Saint Petersburg,Russia,Ice Palace Saint Petersburg,—,—
10 November 2014,Helsinki,Finland,Hartwall Areena,—,—
12 November 2014,Copenhagen,Denmark,Forum Copenhagen,—,—
14 November 2014,Gothenburg,Sweden,Scandinavium,—,—
15 November 2014,Oslo,Norway,Oslo Spektrum,—,—
16 November 2014,Stavanger,Norway,Sørmarka Arena,—,—
19 November 2014,Paris,France,Palais Omnisports Paris Bercy,—,—
20 November 2014,Montpellier,France,Park&Suites Arena,—,—
22 November 2014,Lille,France,Zénith de Lille,—,—
24 November 2014,Hanover,Germany,TUI Arena,"6,808 / 8,028","$629,937"
27 November 2014,Munich,Germany,Olympiahalle,"9,341 / 9,716","$887,076"
29 November 2014,Nuremberg,Germany,Nuremberg Arena,"5,578 / 5,837","$569,028"
30 November 2014,Stuttgart,Germany,Hanns-Martin-Schleyer-Halle,"7,648 / 8,043","$736,806"
3 December 2014,Zürich,Switzerland,Hallenstadion,"8,587 / 10,500","$971,668"
4 December 2014,Milan,Italy,Mediolanum Forum,"9,064 / 9,064","$785,800"
6 December 2014,Barcelona,Spain,Palau Sant Jordi,—,—
9 December 2014,Dublin,Ireland,3Arena,—,—
North America[6],North America[6],North America[6],North America[6],North America[6],North America[6]
31 December 2014,Brooklyn,United States,Barclays Center,"16,470 / 16,470","$3,097,229"
Total,Total,Total,Total,"116,865 / 117,782","$10,841,354"
