event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,Follow the Yellow Brick Road Tour,2014-03-12,Elton John,,93.01752251155999,8218.0,8218.0,764418.0,"glam rock, mellow gold, piano rock, rock",8218.0,,Ford Arena,Beaumont,,United States
,Follow the Yellow Brick Road Tour,2014-03-13,Elton John,,95.57949848443097,14516.0,14516.0,1387432.0,"glam rock, mellow gold, piano rock, rock",14516.0,,American Airlines Center,Dallas,Texas,United States
,Follow the Yellow Brick Road Tour,2014-03-15,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,BJCC Arena,Birmingham,England,United States
,Follow the Yellow Brick Road Tour,2014-03-16,Elton John,,97.22895416000983,8137.0,8629.0,791152.0,"glam rock, mellow gold, piano rock, rock",8629.0,,Pensacola Bay Center,Pensacola,,United States
,Follow the Yellow Brick Road Tour,2014-03-19,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,BancorpSouth Arena,Tupelo,,United States
,Follow the Yellow Brick Road Tour,2014-03-21,Elton John,,80.44166996961289,15138.0,16251.0,1217726.0,"glam rock, mellow gold, piano rock, rock",16251.0,,Smoothie King Center,New Orleans,Louisiana,United States
,Follow the Yellow Brick Road Tour,2014-03-22,Elton John,,85.11945812807882,12992.0,12992.0,1105872.0,"glam rock, mellow gold, piano rock, rock",12992.0,,CenturyLink Center,Bossier City,,United States
,Follow the Yellow Brick Road Tour,2014-06-11,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Charleston Civic Center,Charleston,,United States
,Follow the Yellow Brick Road Tour,2014-06-12,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Farm Bureau Live,Virginia Beach,,United States
,Follow the Yellow Brick Road Tour,2014-06-14,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,PNC Music Pavilion,Charlotte,North Carolina,United States
,Follow the Yellow Brick Road Tour,,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Great Stage Park,Manchester,England,United States
,Follow the Yellow Brick Road Tour,2014-06-21,Elton John,,106.23800547278807,16445.0,16578.0,1747084.0,"glam rock, mellow gold, piano rock, rock",16578.0,,Leigh Sports Village Stadium,Leigh,,England
,Follow the Yellow Brick Road Tour,2014-06-22,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Kybunpark,St. Gallen,,Switzerland
,Follow the Yellow Brick Road Tour,2014-06-24,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Capital FM Arena Nottingham,Nottingham,England,England
,Follow the Yellow Brick Road Tour,2014-06-28,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Stoke Park Country Club,Buckinghamshire,,England
,Follow the Yellow Brick Road Tour,2014-06-29,Elton John,,109.2913967427499,16517.0,16539.0,1805166.0,"glam rock, mellow gold, piano rock, rock",16539.0,,Colchester Community Stadium,Colchester,,England
,Follow the Yellow Brick Road Tour,2014-07-02,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Metro Radio Arena,Newcastle,England,England
,Follow the Yellow Brick Road Tour,,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Jardín Botánico del Cap Roig,Calella,,Spain
,Follow the Yellow Brick Road Tour,2014-07-05,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Skovdalen Atletikstadion,Aalborg,,Denmark
,Follow the Yellow Brick Road Tour,2014-07-06,Elton John,,115.757116023696,6921.0,7087.0,801155.0,"glam rock, mellow gold, piano rock, rock",7087.0,,Gerry Weber Stadion,Halle,,Germany
,Follow the Yellow Brick Road Tour,2014-07-10,Elton John,,100.79368421052632,6175.0,7000.0,622401.0,"glam rock, mellow gold, piano rock, rock",7000.0,,Fulda Domplatz,Fulda,,Germany
,Follow the Yellow Brick Road Tour,2014-07-11,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Theaterplatz vor der Semperoper,Dresden,,Germany
,Follow the Yellow Brick Road Tour,2014-07-12,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Sparkassen-Arena,Kiel,,Germany
,Follow the Yellow Brick Road Tour,,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Théâtre Jean-Deschamps,Carcassonne,,France
,Follow the Yellow Brick Road Tour,,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Theatre Romain Fourviere,Lyon,Auvergne-Rhône-Alpes,France
