event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
Peach Tree Tour,2004-11-04,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,The Tabernacle,Atlanta,Georgia,United States
Peach Tree Tour,2004-11-05,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,The Tabernacle,Atlanta,Georgia,United States
Peach Tree Tour,2004-12-07,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Metro Radio Arena,Newcastle,England,England
Peach Tree Tour,2004-12-09,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Hallam FM Arena,Sheffield,South Yorkshire,England
Peach Tree Tour,2004-12-13,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Hammersmith Apollo,London,England,England
Peach Tree Tour,2004-12-16,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Hammersmith Apollo,London,England,England
Peach Tree Tour,2004-12-17,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Hammersmith Apollo,London,England,England
Peach Tree Tour,2004-12-18,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Hammersmith Apollo,London,England,England
Peach Tree Tour,2005-03-18,Elton John,,,15979.0,15979.0,1170085.0,"glam rock, mellow gold, piano rock, rock",15979.0,Office Depot Center,Sunrise,Florida,United States
Peach Tree Tour,2005-03-19,Elton John,,,13702.0,13702.0,795050.0,"glam rock, mellow gold, piano rock, rock",13702.0,TD Waterhouse Centre,Orlando,Florida,United States
Peach Tree Tour,2005-03-23,Elton John,,,14027.0,19420.0,1060150.0,"glam rock, mellow gold, piano rock, rock",19420.0,Ford Center,Oklahoma City,Oklahoma,United States
Peach Tree Tour,2005-03-24,Elton John,,,17595.0,17595.0,1112330.0,"glam rock, mellow gold, piano rock, rock",17595.0,American Airlines Center,Dallas,Texas,United States
Peach Tree Tour,2005-03-26,Elton John,,,15926.0,15926.0,1060150.0,"glam rock, mellow gold, piano rock, rock",15926.0,Toyota Center,Houston,Texas,United States
Peach Tree Tour,2005-04-22,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Bradley Center,Milwaukee,Wisconsin,United States
Peach Tree Tour,2005-04-23,Elton John,,,15434.0,15434.0,1338300.0,"glam rock, mellow gold, piano rock, rock",15434.0,Allstate Arena,Rosemont,Illinois,United States
