D a t e,C i t y,C o u n t r y,V e n u e
Oceania[5][15][16],Oceania[5][15][16],Oceania[5][15][16],Oceania[5][15][16]
10 November 2012,Perth,Australia,Perth Arena
12 November 2012,Perth,Australia,Perth Arena
14 November 2012,Canberra,Australia,Canberra Stadium
15 November 2012,Sydney,Australia,Sydney Entertainment Centre
16 November 2012[S],Sydney,Australia,Sydney Entertainment Centre
18 November 2012,Melbourne,Australia,Rod Laver Arena
20 November 2012,Launceston,Australia,Launceston Silverdome
Asia[17],Asia[17],Asia[17],Asia[17]
23 November 2012,Shanghai,China,Mercedes-Benz Arena
25 November 2012,Beijing,China,MasterCard Center
27 November 2012,Seoul,South Korea,Olympic Gymnastics Arena
29 November 2012,Kuala Lumpur,Malaysia,Genting Arena of Stars
1 December 2012,Macau,Macau,CotaiArena
4 December 2012,Hong Kong,Hong Kong,Hong Kong Convention and Exhibition Centre
6 December 2012,Guangzhou,China,Guangzhou International Sports Arena
8 December 2012,Quezon City,Philippines,Smart Araneta Coliseum
10 December 2012[S],Taipei,Taiwan,Nangang Exhibition Hall
13 December 2012,Bangkok,Thailand,IMPACT Arena
15 December 2012,Singapore,Singapore,Singapore Indoor Stadium
South America[18][19],South America[18][19],South America[18][19],South America[18][19]
26 February 2013,Fortaleza,Brazil,Estádio Governador Plácido Castelo
27 February 2013,São Paulo,Brazil,Jockey Club de São Paulo
28 February 2013[A],Viña del Mar,Chile,Quinta Vergara Amphitheater
2 March 2013,Buenos Aires,Argentina,Estadio José Amalfitani
4 March 2013,Montevideo,Uruguay,Estadio Gran Parque Central
5 March 2013,Porto Alegre,Brazil,Estádio do São José
6 March 2013[S],Asunción,Paraguay,Yacht y Golf Club Paraguayo
8 March 2013,Brasília,Brazil,Centro de Convenções Internacional
9 March 2013,Belo Horizonte,Brazil,Mineirão Stadium
10 March 2013[S],Recife,Brazil,Chevrolet Hall
North America[20],North America[20],North America[20],North America[20]
16 March 2013,Memphis,United States,FedExForum
20 March 2013,Macon,United States,Macon Centreplex
22 March 2013,Montgomery,United States,Garrett Coliseum
23 March 2013,Chattanooga,United States,McKenzie Arena
28 March 2013,Houston,United States,Toyota Center
29 March 2013,Baton Rouge,United States,Baton Rouge River Center
30 March 2013,Biloxi,United States,Mississippi Coast Coliseum
3 April 2013,Dayton,United States,Nutter Center
5 April 2013,Nashville,United States,Bridgestone Arena
6 April 2013,Winston-Salem,United States,Lawrence Joel Veterans Memorial Coliseum
Europe[21][22],Europe[21][22],Europe[21][22],Europe[21][22]
17 June 2013[B],Murten,Switzerland,Pantschau Murtensee
18 June 2013,Vienna,Austria,Wiener Stadthalle
19 June 2013,Salzburg,Austria,Salzburgarena
21 June 2013,Caen,France,Zénith de Caen
22 June 2013,Skive Fjord,Denmark,Rosenlund Parken
23 June 2013[C],Cork,Ireland,The Docklands
29 June 2013,Tallinn,Estonia,Tallinn Song Festival Grounds
3 July 2013[D],St. Malô du Bois,France,Poupet Open Air Theatre
4 September 2013,Leeds,England,Leeds Arena
5 September 2013,Berlin,Germany,Waldbühne
7 September 2013,Magdeburg,Germany,Domplatz
8 September 2013[E],Isle of Wight,England,Robin Hill Country Park
12 September 2013[F],London,England,The Roundhouse
