event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,Rocket Man Tour,2012-11-10,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Perth Arena,Perth,Western Australia,Australia
,Rocket Man Tour,2012-11-12,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Perth Arena,Perth,Western Australia,Australia
,Rocket Man Tour,2012-11-14,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Canberra Stadium,Canberra,Australian Capital Territory,Australia
,Rocket Man Tour,2012-11-15,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Sydney Entertainment Centre,Sydney,New South Wales,Australia
,Rocket Man Tour,2012-11-16,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Sydney Entertainment Centre,Sydney,New South Wales,Australia
,Rocket Man Tour,2012-11-18,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Rod Laver Arena,Melbourne,Victoria,Australia
,Rocket Man Tour,2012-11-20,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Launceston Silverdome,Launceston,Tasmania,Australia
,Rocket Man Tour,2012-11-23,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Mercedes-Benz Arena,Shanghai,Shanghai,China
,Rocket Man Tour,2012-11-25,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,MasterCard Center,Beijing,Beijing,China
,Rocket Man Tour,2012-11-27,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Olympic Gymnastics Arena,Seoul,Seoul,South Korea
,Rocket Man Tour,2012-11-29,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Genting Arena of Stars,Kuala Lumpur,Kuala Lumpur,Malaysia
,Rocket Man Tour,2012-12-01,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,CotaiArena,Macau,Macau,Macau
,Rocket Man Tour,2012-12-04,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Hong Kong Convention and Exhibition Centre,Hong Kong,Hong Kong,Hong Kong
,Rocket Man Tour,2012-12-06,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Guangzhou International Sports Arena,Guangzhou,Guangdong,China
,Rocket Man Tour,2012-12-08,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Smart Araneta Coliseum,Quezon City,Metro Manila,Philippines
,Rocket Man Tour,2012-12-10,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,Nangang Exhibition Hall,Taipei,Taipei,Taiwan
,Rocket Man Tour,2012-12-13,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,,IMPACT Arena,Bangkok,Bangkok,Thailand
