Date North America[a][6],City North America[a][6],Country North America[a][6],Venue North America[a][6],Attendance North America[a][6],Box Office North America[a][6],Unnamed: 6_level_0 Unnamed: 6_level_1,Unnamed: 7_level_0 Unnamed: 7_level_1,Unnamed: 8_level_0 Unnamed: 8_level_1,Unnamed: 9_level_0 Unnamed: 9_level_1,Unnamed: 10_level_0 Unnamed: 10_level_1
13 January 2016,Los Angeles,United States,Wiltern Theatre,—,—,,,,,
Europe[a][7],Europe[a][7],Europe[a][7],Europe[a][7],Europe[a][7],Europe[a][7],,,,,
5 February 2016,Paris,France,L'Olympia,—,—,,,,,
6 February 2016,Paris,France,L'Olympia,—,—,,,,,
7 February 2016,Paris,France,L'Olympia,—,—,,,,,
North America[8],North America[8],North America[8],North America[8],North America[8],North America[8],,,,,
9 March 2016,Estero,United States,Germain Arena,"7,296 / 7,476","$845,293",,,,,
11 March 2016,Johnson City,United States,Freedom Hall Civic Center,"5,657 / 5,918","$625,494",,,,,
12 March 2016,Chattanooga,United States,McKenzie Arena,"10,094 / 10,715","$787,275",,,,,
15 March 2016,Mobile,United States,Mobile Civic Center,"9,227 / 9,459","$747,986",,,,,
16 March 2016,Columbus,United States,Columbus Civic Center,"9,064 / 9,415","$836,790",,,,,
18 March 2016,Roanoke,United States,Berglund Center,"8,482 / 9,174","$664,918",,,,,
19 March 2016,Charlottesville,United States,John Paul Jones Arena,"12,818 / 13,166","$1,102,888",,,,,
22 March 2016,Youngstown,United States,Covelli Centre,"6,979 / 7,231","$712,200",,,,,
23 March 2016,Grand Rapids,United States,Van Andel Arena,"11,270 / 11,508","$1,044,749",,,,,
Middle East[9],Middle East[9],Middle East[9],Middle East[9],Middle East[9],Middle East[9],,,,,
26 May 2016,Tel Aviv,Israel,Yarkon Park,—,—,,,,,
Europe[10],Europe[10],Europe[10],Europe[10],Europe[10],Europe[10],,,,,
28 May 2016,Saint Petersburg,Russia,Ice Palace,—,—,,,,,
30 May 2016,Moscow,Russia,Crocus City Hall,—,—,,,,,
3 June 2016,Uelzen,Germany,Almased Arena,"8,976 / 9,229","$714,341",,,,,
4 June 2016,Erfurt,Germany,Domplatz Erfurt,"9,266 / 9,311","$712,200",,,,,
5 June 2016,Rastatt,Germany,Ehrenhof der Barockresidenz,—,—,,,,,
7 June 2016,Frankfurt,Germany,Festhalle Frankfurt,"6,258 / 6,656","$615,983",,,,,
8 June 2016,Krefeld,Germany,König Palast,"5,416 / 5,775","$490,661",,,,,
10 June 2016,Lincoln,England,Lincolnshire Showground,—,—,,,,,
11 June 2016,Leicester,England,Grace Road Cricket Ground,—,—,,,,,
12 June 2016,Warminster,England,Longleat,—,—,,,,,
14 June 2016,Liverpool,England,Echo Arena Liverpool,"9,449 / 9,986","$1,099,602",,,,,
18 June 2016[b],Oświęcim,Poland,Stadion Sportowy MOSIR,—,—,,,,,
19 June 2016,Exeter,England,Westpoint Outdoor,—,—,,,,,
25 June 2016,Edinburgh,Scotland,Meadowbank Stadium,—,—,,,,,
26 June 2016[c],Woodstock,England,Blenheim Palace,—,—,,,,,
30 June 2016,Ålesund,Norway,Color Line Stadion,—,—,,,,,
1 July 2016,Trondheim,Norway,Sverresborg Arena,—,—,,,,,
2 July 2016,Trondheim,Norway,Sverresborg Arena,—,—,,,,,
4 July 2016,Aarhus,Denmark,Mindeparken,—,—,,,,,
6 July 2016[d],Henley-on-Thames,England,River Thames Floating Stage,—,—,,,,,
8 July 2016[e],Argelès-sur-Mer,France,Parc de Valmy,—,—,,,,,
9 July 2016[f],Aix-les-Bains,France,Lac du Bourget,—,—,,,,,
10 July 2016[g],Albi,France,Cathédrale Sainte-Cécile d'Albi,—,—,,,,,
12 July 2016,Pompeii,Italy,Amphitheatre of Pompeii,"1,723 / 2,100","$300,713",,,,,
14 July 2016[h],Vila Nova de Gaia,Portugal,Praia do Cabedelo,—,—,,,,,
15 July 2016,Barolo,Italy,Piazza Colbert,"6,476 / 8,100","$374,165",,,,,
16 July 2016,Piazzola sul Brenta,Italy,Anfiteatro Camerini,"7,664 / 7,664","$576,943",,,,,
9 September 2016[i],Antalya,Turkey,Antalya Kır Aktivite Alanı,—,—,,,,,
11 September 2016[j],London,England,Hyde Park,—,—,,,,,
18 September 2016[k],London,England,The Roundhouse,—,—,,,,,
North America[11],North America[11],North America[11],North America[11],North America[11],North America[11],,,,,
21 September 2016,Savannah,United States,"Martin Luther King, Jr. Arena","6,931 / 7,165","$869,645",,,,,
23 September 2016,Hershey,United States,Giant Center,"10,921 / 11,322","$1,176,609",,,,,
24 September 2016,Wilkes-Barre,United States,Mohegan Sun Arena at Casey Plaza,"9,071 / 9,375","$934,208",,,,,
27 September 2016,Allentown,United States,PPL Center,"9,270 / 9,550","$1,036,850",,,,,
28 September 2016,Toledo,United States,Huntington Center,"8,242 / 8,477","$1,017,789",,,,,
29 September 2016,London,Canada,Budweiser Gardens,"9,766 / 9,766","$1,126,439",,,,,
5 October 2016,Baton Rouge,United States,River Center Arena,"10,152 / 10,414","$870,543",,,,,
7 October 2016,Hidalgo,United States,State Farm Arena,"6,742 / 6,899","$670,866",,,,,
8 October 2016,Corpus Christi,United States,American Bank Center Arena,"8,510 / 8,728","$747,778",,,,,
Europe[12],Europe[12],Europe[12],Europe[12],Europe[12],Europe[12],,,,,
9 November 2016,Merksem,Belgium,Lotto Arena,"5,517 / 5,842","$537,470",,,,,
10 November 2016,Malmö,Sweden,Malmö Arena,—,—,,,,,
12 November 2016,Linköping,Sweden,Saab Arena,—,—,,,,,
14 November 2016,Vilnius,Lithuania,Siemens Arena,—,—,,,,,
15 November 2016,Riga,Latvia,Arena Riga,—,—,,,,,
18 November 2016,Bremen,Germany,ÖVB Arena,"7,836 / 8,314","$749,994",,,,,
19 November 2016,Antwerp,Belgium,Lotto Arena,"5,517 / 5,842","$537,470",,,,,
22 November 2016,Amsterdam,Netherlands,Ziggo Dome,"11,952 / 11,952","$681,588",,,,,
24 November 2016,Vienna,Austria,Wiener Stadthalle,—,—,,,,,
25 November 2016,Munich,Germany,Olympiahalle,"11,196 / 11,665","$967,443",,,,,
26 November 2016,Prague,Czech Republic,O2 Arena,—,—,,,,,
29 November 2016,Clermont-Ferrand,France,Zénith d'Auvergne,—,—,,,,,
2 December 2016,Belfast,Northern Ireland,SSE Arena Belfast,—,—,,,,,
3 December 2016,Newcastle,England,Metro Radio Arena,"8,861 / 9,172","$665,656",,,,,
5 December 2016,Rouen,France,Zénith de Rouen,—,—,,,,,
8 December 2016,Zürich,Switzerland,Hallenstadion,"9,500 / 9,500","$1,067,597",,,,,
9 December 2016,Toulon,France,Zénith Oméga de Toulon,—,—,,,,,
11 December 2016,Lisbon,Portugal,MEO Arena,—,—,,,,,
North America[13],North America[13],North America[13],North America[13],North America[13],North America[13],,,,,
4 March 2017,Eugene,United States,Matthew Knight Arena,"11,885 / 12,210","$1,152,210",,,,,
5 March 2017,Spokane,United States,Spokane Veterans Memorial Arena,"10,962 / 10,962","$952,863",,,,,
7 March 2017,Bozeman,United States,Brick Breeden Fieldhouse,"7,345 / 7,345","$756,658",,,,,
8 March 2017,Missoula,United States,Adams Center,"6,385 / 6,755","$816,605",,,,,
11 March 2017,Victoria,Canada,Save-On-Foods Memorial Centre,—,—,,,,,
12 March 2017,Victoria,Canada,Save-On-Foods Memorial Centre,—,—,,,,,
