event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
Wonderful Night Tour,2016-01-13,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Wiltern Theatre,Los Angeles,California,United States
Wonderful Night Tour,2016-02-05,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,L'Olympia,Paris,Île-de-France,France
Wonderful Night Tour,2016-02-06,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,L'Olympia,Paris,Île-de-France,France
Wonderful Night Tour,2016-02-07,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,L'Olympia,Paris,Île-de-France,France
Wonderful Night Tour,2016-03-09,Elton John,,,,,845293.0,"glam rock, mellow gold, piano rock, rock",,Germain Arena,Estero,Florida,United States
Wonderful Night Tour,2016-03-11,Elton John,,,,,625494.0,"glam rock, mellow gold, piano rock, rock",,Freedom Hall Civic Center,Johnson City,Tennessee,United States
Wonderful Night Tour,2016-03-12,Elton John,,,,,787275.0,"glam rock, mellow gold, piano rock, rock",,McKenzie Arena,Chattanooga,Tennessee,United States
Wonderful Night Tour,2016-03-15,Elton John,,,,,747986.0,"glam rock, mellow gold, piano rock, rock",,Mobile Civic Center,Mobile,Alabama,United States
Wonderful Night Tour,2016-03-16,Elton John,,,,,836790.0,"glam rock, mellow gold, piano rock, rock",,Columbus Civic Center,Columbus,Ohio,United States
Wonderful Night Tour,2016-03-18,Elton John,,,,,664918.0,"glam rock, mellow gold, piano rock, rock",,Berglund Center,Roanoke,North Carolina,United States
Wonderful Night Tour,2016-03-19,Elton John,,,,,1102888.0,"glam rock, mellow gold, piano rock, rock",,John Paul Jones Arena,Charlottesville,Virginia,United States
Wonderful Night Tour,2016-03-22,Elton John,,,,,712200.0,"glam rock, mellow gold, piano rock, rock",,Covelli Centre,Youngstown,Ohio,United States
Wonderful Night Tour,2016-03-23,Elton John,,,,,1044749.0,"glam rock, mellow gold, piano rock, rock",,Van Andel Arena,Grand Rapids,Michigan,United States
Wonderful Night Tour,2016-05-26,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Yarkon Park,Tel Aviv,Tel Aviv,Israel
Wonderful Night Tour,2016-05-28,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Ice Palace,Saint Petersburg,Northwestern,Russia
Wonderful Night Tour,2016-05-30,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Crocus City Hall,Moscow,Moscow capital region,Russia
Wonderful Night Tour,2016-06-03,Elton John,,,,,714341.0,"glam rock, mellow gold, piano rock, rock",,Almased Arena,Uelzen,Lower Saxony,Germany
Wonderful Night Tour,2016-06-04,Elton John,,,,,712200.0,"glam rock, mellow gold, piano rock, rock",,Domplatz Erfurt,Erfurt,Thuringia,Germany
Wonderful Night Tour,2016-06-05,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Ehrenhof der Barockresidenz,Rastatt,Baden-Württemberg,Germany
Wonderful Night Tour,2016-06-07,Elton John,,,,,615983.0,"glam rock, mellow gold, piano rock, rock",,Festhalle Frankfurt,Frankfurt,Hesse,Germany
Wonderful Night Tour,2016-06-08,Elton John,,,,,490661.0,"glam rock, mellow gold, piano rock, rock",,König Palast,Krefeld,North Rhine-Westphalia,Germany
Wonderful Night Tour,2016-06-10,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Lincolnshire Showground,Lincoln,Nebraska,England
Wonderful Night Tour,2016-06-11,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Grace Road Cricket Ground,Leicester,England,England
Wonderful Night Tour,2016-06-12,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Longleat,Warminster,England,England
Wonderful Night Tour,2016-06-14,Elton John,,,,,1099602.0,"glam rock, mellow gold, piano rock, rock",,Echo Arena Liverpool,Liverpool,England,England
Wonderful Night Tour,2016-06-18,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Stadion Sportowy MOSIR,Oświęcim,Lesser Poland,Poland
