Genre,genre_id
acoustic,g0
afrobeat,g1
alt-rock,g2
alternative,g3
ambient,g4
anime,g5
black-metal,g6
bluegrass,g7
blues,g8
bossanova,g9
brazil,g10
breakbeat,g11
british,g12
cantopop,g13
chicago-house,g14
children,g15
chill,g16
classical,g17
club,g18
comedy,g19
country,g20
dance,g21
dancehall,g22
death-metal,g23
deep-house,g24
detroit-techno,g25
disco,g26
disney,g27
drum-and-bass,g28
dub,g29
dubstep,g30
edm,g31
electro,g32
electronic,g33
emo,g34
folk,g35
forro,g36
french,g37
funk,g38
garage,g39
german,g40
gospel,g41
goth,g42
grindcore,g43
groove,g44
grunge,g45
guitar,g46
happy,g47
hard-rock,g48
hardcore,g49
hardstyle,g50
heavy-metal,g51
hip-hop,g52
holidays,g53
honky-tonk,g54
house,g55
idm,g56
indian,g57
indie,g58
indie-pop,g59
industrial,g60
iranian,g61
j-dance,g62
j-idol,g63
j-pop,g64
j-rock,g65
jazz,g66
k-pop,g67
kids,g68
latin,g69
latino,g70
malay,g71
mandopop,g72
metal,g73
metal-misc,g74
metalcore,g75
minimal-techno,g76
movies,g77
mpb,g78
new-age,g79
new-release,g80
opera,g81
pagode,g82
party,g83
philippines-opm,g84
piano,g85
pop,g86
pop-film,g87
post-dubstep,g88
power-pop,g89
progressive-house,g90
psych-rock,g91
punk,g92
punk-rock,g93
r-n-b,g94
rainy-day,g95
reggae,g96
reggaeton,g97
road-trip,g98
rock,g99
rock-n-roll,g100
rockabilly,g101
romance,g102
sad,g103
salsa,g104
samba,g105
sertanejo,g106
show-tunes,g107
singer-songwriter,g108
ska,g109
sleep,g110
songwriter,g111
soul,g112
soundtracks,g113
spanish,g114
study,g115
summer,g116
swedish,g117
synth-pop,g118
tango,g119
techno,g120
trance,g121
trip-hop,g122
turkish,g123
work-out,g124
world-music,g125
