Date,City,Country,Venue,Opening act,Attendance,Revenue
North America[26],North America[26],North America[26],North America[26],North America[26],North America[26],North America[26]
"September 29, 2012",Glendale,United States,Jobing.com Arena,Cody Simpson Carly Rae Jepsen,"13,428 / 13,428","$1,013,460"
"September 30, 2012",Las Vegas,United States,MGM Grand Garden Arena,Cody Simpson Carly Rae Jepsen,"13,504 / 13,504","$1,076,868"
"October 2, 2012",Los Angeles,United States,Staples Center,Cody Simpson Carly Rae Jepsen,"27,546 / 27,546","$2,238,937"
"October 3, 2012",Los Angeles,United States,Staples Center,Cody Simpson Carly Rae Jepsen,"27,546 / 27,546","$2,238,937"
"October 5, 2012",Fresno,United States,Save Mart Center,Cody Simpson Carly Rae Jepsen,"11,965 / 11,965","$1,323,632"
"October 6, 2012",Oakland,United States,Oracle Arena,Cody Simpson Carly Rae Jepsen,"14,126 / 14,126","$1,063,978"
"October 8, 2012",Portland,United States,Rose Garden,Carly Rae Jepsen,"14,550 / 14,550","$1,002,495"
"October 9, 2012",Tacoma,United States,Tacoma Dome,Carly Rae Jepsen,"20,259 / 20,259","$1,338,701"
"October 10, 2012",Vancouver,Canada,Rogers Arena,Carly Rae Jepsen,"14,423 / 14,423","$1,215,360"
"October 12, 2012",Calgary,Canada,Scotiabank Saddledome,Carly Rae Jepsen,"13,631 / 13,631","$1,117,440"
"October 15, 2012",Edmonton,Canada,Rexall Place,Carly Rae Jepsen,"13,663 / 13,663","$1,137,620"
"October 16, 2012",Saskatoon,Canada,Credit Union Centre,Carly Rae Jepsen,"13,113 / 13,113","$1,052,590"
"October 18, 2012",Winnipeg,Canada,MTS Centre,Carly Rae Jepsen,"13,326 / 13,326","$1,048,840"
"October 20, 2012",Minneapolis,United States,Target Center,Carly Rae Jepsen,"14,532 / 14,532","$1,071,284"
"October 21, 2012",Milwaukee,United States,Bradley Center,Carly Rae Jepsen,"14,957 / 14,957","$1,065,557"
"October 23, 2012",Rosemont,United States,Allstate Arena,Carly Rae Jepsen,"27,132 / 27,132","$2,125,924"
"October 24, 2012",Rosemont,United States,Allstate Arena,Carly Rae Jepsen,"27,132 / 27,132","$2,125,924"
"October 26, 2012",Kansas City,United States,Sprint Center,Carly Rae Jepsen,"13,972 / 13,972","$1,033,314"
"October 27, 2012",St. Louis,United States,Scottrade Center,Carly Rae Jepsen,"15,034 / 15,034","$1,108,442"
"October 29, 2012",Dallas,United States,American Airlines Center,Carly Rae Jepsen,"14,094 / 14,094","$1,066,183"
"October 30, 2012",Houston,United States,Toyota Center,Carly Rae Jepsen,"13,084 / 13,084","$1,021,718"
"November 1, 2012",Memphis,United States,FedExForum,Carly Rae Jepsen,"13,511 / 13,511","$932,669"
"November 2, 2012",Louisville,United States,KFC Yum! Center,Carly Rae Jepsen,"16,334 / 16,334","$1,158,153"
"November 4, 2012",Philadelphia,United States,Wells Fargo Center,Carly Rae Jepsen,"15,393 / 15,393","$1,247,574"
"November 5, 2012","Washington, D.C.",United States,Verizon Center,Cody Simpson Jaden Smith,"14,472 / 14,472","$1,169,569"
"November 9, 2012",East Rutherford,United States,Izod Center,Cody Simpson Jaden Smith,"15,956 / 15,956","$1,233,492"
"November 10, 2012",Boston,United States,TD Garden,Cody Simpson Jaden Smith,"13,561 / 13,561","$1,087,270"
"November 12, 2012",New York City,United States,Barclays Center,Cody Simpson Jaden Smith,"14,261 / 14,261","$1,107,390"
"November 20, 2012",Pittsburgh,United States,Consol Energy Center,—,"14,263 / 14,263","$1,029,318"
"November 21, 2012",Auburn Hills,United States,The Palace of Auburn Hills,Carly Rae Jepsen,"15,469 / 15,469","$1,178,456"
"November 23, 2012",Ottawa,Canada,Scotiabank Place,Carly Rae Jepsen The Wanted,"13,696 / 13,696","$1,104,550"
"November 26, 2012",Montreal,Canada,Bell Centre,Carly Rae Jepsen The Wanted,"15,870 / 15,870","$1,255,360"
"November 28, 2012",New York City,United States,Madison Square Garden,Carly Rae Jepsen The Wanted,"29,680 / 29,680","$2,390,196"
"November 29, 2012",New York City,United States,Madison Square Garden,Carly Rae Jepsen The Wanted,"29,680 / 29,680","$2,390,196"
"December 1, 2012",Toronto,Canada,Rogers Centre,Carly Rae Jepsen The Wanted,"43,817 / 43,817","$2,671,520"
"January 5, 2013",Salt Lake City,United States,EnergySolutions Arena,Carly Rae Jepsen,"14,693 / 14,693","$1,007,579"
"January 7, 2013",Denver,United States,Pepsi Center,Carly Rae Jepsen,"13,629 / 13,629","$1,015,154"
"January 9, 2013",Tulsa,United States,BOK Center,Carly Rae Jepsen,"12,985 / 12,985","$888,101"
"January 10, 2013",North Little Rock,United States,Verizon Arena,Carly Rae Jepsen,"14,849 / 14,849","$974,452"
"January 12, 2013",San Antonio,United States,AT&T Center,Carly Rae Jepsen,"14,653 / 14,653","$985,153"
"January 15, 2013",New Orleans,United States,New Orleans Arena,Carly Rae Jepsen Cody Simpson,"13,986 / 13,986","$1,002,620"
"January 16, 2013",Birmingham,United States,Legacy Arena,Carly Rae Jepsen Cody Simpson,"13,530 / 13,530","$920,078"
"January 18, 2013",Nashville,United States,Bridgestone Arena,Carly Rae Jepsen Cody Simpson,"14,287 / 14,287","$1,046,887"
"January 19, 2013",Greensboro,United States,Greensboro Coliseum,Carly Rae Jepsen Cody Simpson,"15,395 / 15,395","$998,126"
"January 22, 2013",Charlotte,United States,Time Warner Cable Arena,Carly Rae Jepsen Cody Simpson,"15,272 / 15,272","$1,089,601"
"January 23, 2013",Atlanta,United States,Philips Arena,Carly Rae Jepsen Cody Simpson,"12,686 / 12,686","$995,137"
"January 25, 2013",Orlando,United States,Amway Center,Carly Rae Jepsen Cody Simpson,"13,355 / 13,355","$1,009,923"
"January 26, 2013",Miami,United States,American Airlines Arena,Carly Rae Jepsen Cody Simpson,"27,580 / 27,580","$2,178,830"
"January 27, 2013",Miami,United States,American Airlines Arena,Carly Rae Jepsen Cody Simpson,"27,580 / 27,580","$2,178,830"
Europe[27][28][29],Europe[27][28][29],Europe[27][28][29],Europe[27][28][29],Europe[27][28][29],Europe[27][28][29],Europe[27][28][29]
"February 17, 2013",Dublin,Ireland,The O2,—,"14,000 / 14,000",—
"February 18, 2013",Dublin,Ireland,The O2,—,"14,000 / 14,000",—
"February 21, 2013",Manchester,England,Manchester Arena,Carly Rae Jepsen Cody Simpson,"28,678 / 28,678","$2,398,540"
"February 22, 2013",Manchester,England,Manchester Arena,Carly Rae Jepsen Cody Simpson,"28,678 / 28,678","$2,398,540"
"February 24, 2013",Liverpool,England,Echo Arena Liverpool,—,—,—
"February 27, 2013",Birmingham,England,National Indoor Arena,Cody Simpson,"20,619 / 21,690","$1,923,850"
"February 28, 2013",Birmingham,England,National Indoor Arena,Cody Simpson,"20,619 / 21,690","$1,923,850"
"March 2, 2013",Nottingham,England,National Ice Centre,—,—,—
"March 4, 2013",London,England,The O2 Arena,Carly Rae Jepsen Cody Simpson,"58,479 / 60,281","$5,053,170"
"March 5, 2013",London,England,The O2 Arena,Carly Rae Jepsen Cody Simpson,"58,479 / 60,281","$5,053,170"
"March 7, 2013",London,England,The O2 Arena,Carly Rae Jepsen Cody Simpson,"58,479 / 60,281","$5,053,170"
"March 8, 2013",London,England,The O2 Arena,Carly Rae Jepsen Cody Simpson,"58,479 / 60,281","$5,053,170"
"March 11, 2013",Lisbon,Portugal,Pavilhão Atlântico,Carly Rae Jepsen,—,—
"March 14, 2013",Madrid,Spain,Palacio de los Deportes,Carly Rae Jepsen,—,—
"March 16, 2013",Barcelona,Spain,Palau Sant Jordi,Carly Rae Jepsen,—,—
"March 19, 2013",Paris,France,Palais Omnisports de Paris-Bercy,Carly Rae Jepsen,—,—
"March 22, 2013",Zürich,Switzerland,Hallenstadion,Carly Rae Jepsen Cody Simpson,"13,000 / 13,000","$1,364,500"
"March 23, 2013",Bologna,Italy,Unipol Arena,Carly Rae Jepsen,—,—
"March 25, 2013",Łódź,Poland,Atlas Arena,Honorata Skarbek,—,—
"March 28, 2013",Munich,Germany,Olympiahalle,—,—,—
