Date,City,Country,Venue,Gross revenue,Tickets sold,Tickets available,Capacity
2010-06-23,Hartford,United States,XL Center,385790,13132,13132,13132
2010-06-24,Trenton,United States,Sun National Bank Center,266285,7523,7523,7523
2010-06-26,Cincinnati,United States,U.S. Bank Arena,405545,10758,12780,12780
2010-06-29,Minneapolis,United States,Target Center,339226,14717,14717,14717
2010-06-30,Des Moines,United States,Wells Fargo Arena,232560,9399,9650,9650
2010-07-02,Moline,United States,iWireless Center,393090,10610,22000,22000
2010-07-03,Omaha,United States,Qwest Center Omaha,224563,11682,12093,12093
2010-07-05,Grand Prairie,United States,Verizon Theatre at Grand Prairie,103550,6000,6000,6000
2010-07-06,Tulsa,United States,BOK Center,384810,12993,12993,12993
2010-07-08,Broomfield,United States,1stBank Center,315185,6207,6207,6207
2010-07-10,West Valley City,United States,Maverik Center,187135,10362,10362,10362
2010-07-13,Everett,United States,Comcast Arena at Everett,110172,8588,8588,8588
2010-07-14,Portland,United States,Rose Garden,345598,13244,13244,13244
2010-07-17,Oakland,United States,Oracle Arena,293921,14555,14555,14555
2010-07-18,Reno,United States,Reno Events Center,116022,6583,6583,6583
2010-07-20,Los Angeles,United States,Nokia Theatre L.A. Live,245602,6673,6673,6673
2010-07-24,Las Vegas,United States,Planet Hollywood Theatre,238836,6808,6808,6808
2010-07-25,Glendale,United States,Jobingcom Arena,256446,13818,13818,13818
2010-07-28,Kansas City,United States,Sprint Center,307701,14481,14481,14481
2010-07-29,North Little Rock,United States,Verizon Arena,214854,13676,15800,15800
2010-07-31,Memphis,United States,FedExForum,407795,13750,14750,14750
2010-08-01,Lafayette,United States,Cajundome,346195,10438,10438,10438
2010-08-04,Orlando,United States,Amway Arena,235713,12225,12225,12225
2010-08-05,Sunrise,United States,BankAtlantic Center,141848,14104,14104,14104
2010-08-08,Charlotte,United States,Time Warner Cable Arena,256795,15263,15263,15263
2010-08-09,Duluth,United States,The Arena at Gwinnett Center,313420,10588,10588,10588
2010-08-11,Nashville,United States,Bridgestone Arena,394350,14345,14345,14345
2010-08-12,Indianapolis,United States,Conseco Fieldhouse,239505,14490,14490,14490
2010-08-14,Columbus,United States,Schottenstein Center,348820,14056,14056,14056
2010-08-15,Auburn Hills,United States,The Palace of Auburn Hills,502008,15667,15667,15667
2010-08-21,Toronto,Canada,Air Canada Centre,448791,15859,15859,15859
