event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
My World Tour,2010-06-23,Justin Bieber,,29.377855619859883,13132,13132,385790,"canadian pop, pop",13132,XL Center,Hartford,Connecticut,United States
My World Tour,2010-06-24,Justin Bieber,,35.396118569719526,7523,7523,266285,"canadian pop, pop",7523,Sun National Bank Center,Trenton,New Jersey,United States
My World Tour,2010-06-26,Justin Bieber,,37.69706265105038,10758,12780,405545,"canadian pop, pop",12780,U.S. Bank Arena,Cincinnati,Ohio,United States
My World Tour,2010-06-29,Justin Bieber,,23.04994224366379,14717,14717,339226,"canadian pop, pop",14717,Target Center,Minneapolis,Minnesota,United States
My World Tour,2010-06-30,Justin Bieber,,24.743057772103416,9399,9650,232560,"canadian pop, pop",9650,Wells Fargo Arena,Des Moines,Iowa,United States
My World Tour,2010-07-02,Justin Bieber,,37.04901036757776,10610,22000,393090,"canadian pop, pop",22000,iWireless Center,Moline,Illinois,United States
My World Tour,2010-07-03,Justin Bieber,,19.222992638246875,11682,12093,224563,"canadian pop, pop",12093,Qwest Center Omaha,Omaha,Nebraska,United States
My World Tour,2010-07-05,Justin Bieber,,17.258333333333333,6000,6000,103550,"canadian pop, pop",6000,Verizon Theatre at Grand Prairie,Grand Prairie,Texas,United States
My World Tour,2010-07-06,Justin Bieber,,29.61671669360425,12993,12993,384810,"canadian pop, pop",12993,BOK Center,Tulsa,Oklahoma,United States
My World Tour,2010-07-08,Justin Bieber,,50.77895923956823,6207,6207,315185,"canadian pop, pop",6207,1stBank Center,Broomfield,Colorado,United States
My World Tour,2010-07-10,Justin Bieber,,18.059737502412663,10362,10362,187135,"canadian pop, pop",10362,Maverik Center,West Valley City,Utah,United States
My World Tour,2010-07-13,Justin Bieber,,12.828598043782021,8588,8588,110172,"canadian pop, pop",8588,Comcast Arena at Everett,Everett,Washington,United States
My World Tour,2010-07-14,Justin Bieber,,26.09468438538206,13244,13244,345598,"canadian pop, pop",13244,Rose Garden,Portland,Oregon,United States
My World Tour,2010-07-17,Justin Bieber,,20.19381655788389,14555,14555,293921,"canadian pop, pop",14555,Oracle Arena,Oakland,California,United States
My World Tour,2010-07-18,Justin Bieber,,17.624487315813457,6583,6583,116022,"canadian pop, pop",6583,Reno Events Center,Reno,Nevada,United States
My World Tour,2010-07-20,Justin Bieber,,36.80533493181478,6673,6673,245602,"canadian pop, pop",6673,Nokia Theatre L.A. Live,Los Angeles,California,United States
My World Tour,2010-07-24,Justin Bieber,,35.08166862514689,6808,6808,238836,"canadian pop, pop",6808,Planet Hollywood Theatre,Las Vegas,Nevada,United States
My World Tour,2010-07-25,Justin Bieber,,18.558836300477637,13818,13818,256446,"canadian pop, pop",13818,Jobingcom Arena,Glendale,Arizona,United States
My World Tour,2010-07-28,Justin Bieber,,21.248601615910502,14481,14481,307701,"canadian pop, pop",14481,Sprint Center,Kansas City,Missouri,United States
My World Tour,2010-07-29,Justin Bieber,,15.710295408014039,13676,15800,214854,"canadian pop, pop",15800,Verizon Arena,North Little Rock,,United States
My World Tour,2010-07-31,Justin Bieber,,29.657818181818183,13750,14750,407795,"canadian pop, pop",14750,FedExForum,Memphis,Tennessee,United States
