event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,Believe Tour,2012-09-29,Justin Bieber,"Cody Simpson, Carly Rae Jepsen",75.47363717605005,13428.0,13428.0,1013460.0,"canadian pop, pop",13428,,Jobingcom Arena,Glendale,Arizona,United States
,Believe Tour,2012-09-30,Justin Bieber,"Cody Simpson, Carly Rae Jepsen",79.74437203791469,13504.0,13504.0,1076868.0,"canadian pop, pop",13504,,MGM Grand Garden Arena,Las Vegas,Nevada,United States
,Believe Tour,2012-02-10,Justin Bieber,"Cody Simpson, Carly Rae Jepsen",81.27993175052639,27546.0,27546.0,2238937.0,"canadian pop, pop",27546,,Staples Center,Los Angeles,California,United States
,Believe Tour,2012-03-10,Justin Bieber,"Cody Simpson, Carly Rae Jepsen",81.27993175052639,27546.0,27546.0,2238937.0,"canadian pop, pop",27546,,Staples Center,Los Angeles,California,United States
,Believe Tour,2012-05-10,Justin Bieber,"Cody Simpson, Carly Rae Jepsen",110.62532386126202,11965.0,11965.0,1323632.0,"canadian pop, pop",11965,,Save Mart Center,Fresno,California,United States
,Believe Tour,2012-06-10,Justin Bieber,"Cody Simpson, Carly Rae Jepsen",75.32054367832366,14126.0,14126.0,1063978.0,"canadian pop, pop",14126,,Oracle Arena,Oakland,California,United States
,Believe Tour,2012-08-10,Justin Bieber,Carly Rae Jepsen,68.9,14550.0,14550.0,1002495.0,"canadian pop, pop",14550,,Rose Garden,Portland,Oregon,United States
,Believe Tour,2012-09-10,Justin Bieber,Carly Rae Jepsen,66.07932277012685,20259.0,20259.0,1338701.0,"canadian pop, pop",20259,,Tacoma Dome,Tacoma,Washington,United States
,Believe Tour,2012-10-10,Justin Bieber,Carly Rae Jepsen,84.26540941551688,14423.0,14423.0,1215360.0,"canadian pop, pop",14423,,Rogers Arena,Vancouver,British Columbia,Canada
,Believe Tour,2012-12-10,Justin Bieber,Carly Rae Jepsen,81.97784461888342,13631.0,13631.0,1117440.0,"canadian pop, pop",13631,,Scotiabank Saddledome,Calgary,Alberta,Canada
,Believe Tour,2012-10-15,Justin Bieber,Carly Rae Jepsen,83.26282661201786,13663.0,13663.0,1137620.0,"canadian pop, pop",13663,,Rexall Place,Edmonton,Alberta,Canada
,Believe Tour,2012-10-19,Justin Bieber,Carly Rae Jepsen,80.27072370929612,13113.0,13113.0,1052590.0,"canadian pop, pop",13113,,Credit Union Centre,Saskatoon,Saskatchewan,Canada
,Believe Tour,2012-10-18,Justin Bieber,Carly Rae Jepsen,78.70628845865225,13326.0,13326.0,1048840.0,"canadian pop, pop",13326,,MTS Centre,Winnipeg,Manitoba,Canada
,Believe Tour,2012-10-20,Justin Bieber,Carly Rae Jepsen,73.71896504266446,14532.0,14532.0,1071284.0,"canadian pop, pop",14532,,Target Center,Minneapolis,Minnesota,United States
,Believe Tour,2012-10-21,Justin Bieber,Carly Rae Jepsen,71.2413585612088,14957.0,14957.0,1065557.0,"canadian pop, pop",14957,,Bradley Center,Milwaukee,Wisconsin,United States
,Believe Tour,2012-10-23,Justin Bieber,Carly Rae Jepsen,78.35485773256671,27132.0,27132.0,2125924.0,"canadian pop, pop",27132,,Allstate Arena,Rosemont,Illinois,United States
,Believe Tour,2012-10-24,Justin Bieber,Carly Rae Jepsen,78.35485773256671,27132.0,27132.0,2125924.0,"canadian pop, pop",27132,,Allstate Arena,Rosemont,Illinois,United States
,Believe Tour,2012-10-26,Justin Bieber,Carly Rae Jepsen,73.95605496707701,13972.0,13972.0,1033314.0,"canadian pop, pop",13972,,Sprint Center,Kansas City,Missouri,United States
,Believe Tour,2012-10-27,Justin Bieber,Carly Rae Jepsen,73.72901423440202,15034.0,15034.0,1108442.0,"canadian pop, pop",15034,,Scottrade Center,St. Louis,Missouri,United States
,Believe Tour,2012-10-29,Justin Bieber,Carly Rae Jepsen,75.64800624379168,14094.0,14094.0,1066183.0,"canadian pop, pop",14094,,American Airlines Center,Dallas,Texas,United States
,Believe Tour,2012-10-30,Justin Bieber,Carly Rae Jepsen,78.08911647814124,13084.0,13084.0,1021718.0,"canadian pop, pop",13084,,Toyota Center,Houston,Texas,United States
,Believe Tour,2012-01-11,Justin Bieber,Carly Rae Jepsen,69.03034564428984,13511.0,13511.0,932669.0,"canadian pop, pop",13511,,FedExForum,Memphis,Tennessee,United States
,Believe Tour,2012-02-11,Justin Bieber,Carly Rae Jepsen,70.904432472144,16334.0,16334.0,1158153.0,"canadian pop, pop",16334,,KFC Yum Center,Louisville,Kentucky,United States
,Believe Tour,2012-04-11,Justin Bieber,Carly Rae Jepsen,81.04813876437342,15393.0,15393.0,1247574.0,"canadian pop, pop",15393,,Wells Fargo Center,Philadelphia,Pennsylvania,United States
,Believe Tour,2012-05-11,Justin Bieber,"Cody Simpson, Jaden Smith",80.81598949695965,14472.0,14472.0,1169569.0,"canadian pop, pop",14472,,Verizon Center,"Washington, D.C.",District of Columbia,United States
,Believe Tour,2012-09-11,Justin Bieber,"Cody Simpson, Jaden Smith",77.30584106292304,15956.0,15956.0,1233492.0,"canadian pop, pop",15956,,Izod Center,East Rutherford,New Jersey,United States
,Believe Tour,2012-10-11,Justin Bieber,"Cody Simpson, Jaden Smith",80.17624069021458,13561.0,13561.0,1087270.0,"canadian pop, pop",13561,,TD Garden,Boston,Massachusetts,United States
,Believe Tour,2012-12-11,Justin Bieber,"Cody Simpson, Jaden Smith",77.65163733258537,14261.0,14261.0,1107390.0,"canadian pop, pop",14261,,Barclays Center,New York City,New York,United States
,Believe Tour,2012-11-21,Justin Bieber,Carly Rae Jepsen,76.18178292068006,15469.0,15469.0,1178456.0,"canadian pop, pop",15469,,The Palace of Auburn Hills,Auburn Hills,Michigan,United States
,Believe Tour,2012-11-23,Justin Bieber,"Carly Rae Jepsen, The Wanted",80.64763434579439,13696.0,13696.0,1104550.0,"canadian pop, pop",13696,,Scotiabank Place,Ottawa,Ontario,Canada
,Believe Tour,2012-11-26,Justin Bieber,"Carly Rae Jepsen, The Wanted",79.10270951480781,15870.0,15870.0,1255360.0,"canadian pop, pop",15870,,Bell Centre,Montreal,Quebec,Canada
,Believe Tour,2012-11-28,Justin Bieber,"Carly Rae Jepsen, The Wanted",80.5322102425876,29680.0,29680.0,2390196.0,"canadian pop, pop",29680,,Madison Square Garden,New York City,New York,United States
,Believe Tour,2012-11-29,Justin Bieber,"Carly Rae Jepsen, The Wanted",80.5322102425876,29680.0,29680.0,2390196.0,"canadian pop, pop",29680,,Madison Square Garden,New York City,New York,United States
,Believe Tour,2012-01-12,Justin Bieber,"Carly Rae Jepsen, The Wanted",60.969943172741175,43817.0,43817.0,2671520.0,"canadian pop, pop",43817,,Rogers Centre,Toronto,Ontario,Canada
,Believe Tour,2013-05-01,Justin Bieber,Carly Rae Jepsen,68.57544408902199,14693.0,14693.0,1007579.0,"canadian pop, pop",14693,,EnergySolutions Arena,Salt Lake City,Utah,United States
,Believe Tour,2013-07-01,Justin Bieber,Carly Rae Jepsen,74.48484848484848,13629.0,13629.0,1015154.0,"canadian pop, pop",13629,,Pepsi Center,Denver,Colorado,United States
,Believe Tour,2013-09-01,Justin Bieber,Carly Rae Jepsen,68.39437812860993,12985.0,12985.0,888101.0,"canadian pop, pop",12985,,BOK Center,Tulsa,Oklahoma,United States
,Believe Tour,2013-10-01,Justin Bieber,Carly Rae Jepsen,65.62408242979325,14849.0,14849.0,974452.0,"canadian pop, pop",14849,,Verizon Arena,North Little Rock,Arkansas,United States
,Believe Tour,2013-12-01,Justin Bieber,Carly Rae Jepsen,67.23217088650789,14653.0,14653.0,985153.0,"canadian pop, pop",14653,,ATT Center,San Antonio,Texas,United States
,Believe Tour,2013-01-15,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",71.68740168740169,13986.0,13986.0,1002620.0,"canadian pop, pop",13986,,New Orleans Arena,New Orleans,Louisiana,United States
,Believe Tour,2013-01-16,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",68.00280857354028,13530.0,13530.0,920078.0,"canadian pop, pop",13530,,Legacy Arena,Birmingham,England,United States
,Believe Tour,2013-01-18,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",73.27549520543151,14287.0,14287.0,1046887.0,"canadian pop, pop",14287,,Bridgestone Arena,Nashville,Tennessee,United States
,Believe Tour,2013-01-19,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",64.83442676193569,15395.0,15395.0,998126.0,"canadian pop, pop",15395,,Greensboro Coliseum,Greensboro,North Carolina,United States
,Believe Tour,2013-01-22,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",71.34632006286013,15272.0,15272.0,1089601.0,"canadian pop, pop",15272,,Time Warner Cable Arena,Charlotte,North Carolina,United States
,Believe Tour,2013-01-23,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",78.44371748384046,12686.0,12686.0,995137.0,"canadian pop, pop",12686,,Philips Arena,Atlanta,Georgia,United States
,Believe Tour,2013-01-25,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",75.62134032197679,13355.0,13355.0,1009923.0,"canadian pop, pop",13355,,Amway Center,Orlando,Florida,United States
,Believe Tour,2013-01-26,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",79.00036258158086,27580.0,27580.0,2178830.0,"canadian pop, pop",27580,,American Airlines Arena,Miami,Florida,United States
,Believe Tour,2013-01-27,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",79.00036258158086,27580.0,27580.0,2178830.0,"canadian pop, pop",27580,,American Airlines Arena,Miami,Florida,United States
,Believe Tour,2013-02-21,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",83.63693423530232,28678.0,28678.0,2398540.0,"canadian pop, pop",28678,,Manchester Arena,Manchester,England,England
,Believe Tour,2013-02-22,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",83.63693423530232,28678.0,28678.0,2398540.0,"canadian pop, pop",28678,,Manchester Arena,Manchester,England,England
,Believe Tour,2013-02-27,Justin Bieber,Cody Simpson,93.3047189485426,20619.0,21690.0,1923850.0,"canadian pop, pop",21690,,National Indoor Arena,Birmingham,England,England
,Believe Tour,2013-02-28,Justin Bieber,Cody Simpson,93.3047189485426,20619.0,21690.0,1923850.0,"canadian pop, pop",21690,,National Indoor Arena,Birmingham,England,England
,Believe Tour,2013-04-03,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",86.40999333093932,58479.0,60281.0,5053170.0,"canadian pop, pop",60281,,The O2 Arena,London,England,England
,Believe Tour,2013-05-03,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",86.40999333093932,58479.0,60281.0,5053170.0,"canadian pop, pop",60281,,The O2 Arena,London,England,England
,Believe Tour,2013-07-03,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",86.40999333093932,58479.0,60281.0,5053170.0,"canadian pop, pop",60281,,The O2 Arena,London,England,England
,Believe Tour,2013-08-03,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",86.40999333093932,58479.0,60281.0,5053170.0,"canadian pop, pop",60281,,The O2 Arena,London,England,England
