Date,City,Country,Venue,Tickets sold / Available,Gross revenue
North America[2],North America[2],North America[2],North America[2],North America[2],North America[2]
"June 23, 2010",Hartford,United States,XL Center,"13,132 / 13,132 (100%)","$385,790[7]"
"June 24, 2010",Trenton,United States,Sun National Bank Center,"7,523 / 7,523 (100%)","$266,285[7]"
"June 26, 2010",Cincinnati,United States,U.S. Bank Arena,"10,758 / 12,780 (90%)","$405,545[7]"
"June 27, 2010[A]",Milwaukee,United States,Marcus Amphitheater,"21,772 / 28,572 (86%)","$723,549[7]"
"June 29, 2010",Minneapolis,United States,Target Center,"14,717 / 14,717 (100%)","$339,226[7]"
"June 30, 2010",Des Moines,United States,Wells Fargo Arena,"9,399 / 9,650 (97%)","$232,560[7]"
"July 2, 2010",Moline,United States,iWireless Center,"10,610 / 22,000 (58%)","$393,090[7]"
"July 3, 2010",Omaha,United States,Qwest Center Omaha,"11,682 / 12,093 (94%)","$224,563[7]"
"July 5, 2010",Grand Prairie,United States,Verizon Theatre at Grand Prairie,"6,000 / 6,000 (100%)","$103,550[7]"
"July 6, 2010",Tulsa,United States,BOK Center,"12,993 / 12,993 (100%)","$384,810[7]"
"July 8, 2010",Broomfield,United States,1stBank Center,"6,207 / 6,207 (100%)","$315,185[7]"
"July 10, 2010",West Valley City,United States,Maverik Center,"10,362 / 10,362 (100%)","$187,135[7]"
"July 13, 2010",Everett,United States,Comcast Arena at Everett,"8,588 / 8,588 (100%)","$110,172[7]"
"July 14, 2010",Portland,United States,Rose Garden,"13,244 / 13,244 (100%)","$345,598[7]"
"July 17, 2010",Oakland,United States,Oracle Arena,"14,555 / 14,555 (100%)","$293,921[7]"
"July 18, 2010",Reno,United States,Reno Events Center,"6,583 / 6,583 (100%)","$116,022[7]"
"July 20, 2010",Los Angeles,United States,Nokia Theatre L.A. Live,"6,673 / 6,673 (100%)","$245,602[7]"
"July 21, 2010[B]",Paso Robles,United States,Chumash Grandstand Arena,"14,162 / 14,162 (100%)","$312,960[7]"
"July 24, 2010",Las Vegas,United States,Planet Hollywood Theatre,"6,808 / 6,808 (100%)","$238,836[7]"
"July 25, 2010",Glendale,United States,Jobing.com Arena,"13,818 / 13,818 (100%)","$256,446[7]"
"July 28, 2010",Kansas City,United States,Sprint Center,"14,481 / 14,481 (100%)","$307,701[7]"
"July 29, 2010",North Little Rock,United States,Verizon Arena,"13,676 / 15,800 (83%)","$214,854[7]"
"July 31, 2010",Memphis,United States,FedExForum,"13,750 / 14,750 (90%)","$407,795[7]"
"August 1, 2010",Lafayette,United States,Cajundome,"10,438 / 10,438 (100%)","$346,195[7]"
"August 4, 2010",Orlando,United States,Amway Arena,"12,225 / 12,225 (100%)","$235,713[7]"
"August 5, 2010",Sunrise,United States,BankAtlantic Center,"14,104 / 14,104 (100%)","$141,848[7]"
"August 8, 2010",Charlotte,United States,Time Warner Cable Arena,"15,263 / 15,263 (100%)","$256,795[7]"
"August 9, 2010",Duluth,United States,The Arena at Gwinnett Center,"10,588 / 10,588 (100%)","$313,420[7]"
"August 11, 2010",Nashville,United States,Bridgestone Arena,"14,345 / 14,345 (100%)","$394,350[7]"
"August 12, 2010",Indianapolis,United States,Conseco Fieldhouse,"14,490 / 14,490 (100%)","$239,505[7]"
"August 14, 2010",Columbus,United States,Schottenstein Center,"14,056 / 14,056 (100%)","$348,820[7]"
"August 15, 2010",Auburn Hills,United States,The Palace of Auburn Hills,"15,667 / 15,667 (100%)","$502,008[7]"
"August 21, 2010",Toronto,Canada,Air Canada Centre,"15,859 / 15,859 (100%)","$448,791[7]"
"August 22, 2010",London,Canada,John Labatt Centre,"9,154 / 9,154 (100%)","$237,765[7]"
"August 24, 2010",Ottawa,Canada,Scotiabank Place,"14,284 / 14,284 (100%)","$351,081[7]"
"August 25, 2010",Albany,United States,Times Union Center,"12,536 / 12,536 (100%)","$361,464[7]"
"August 27, 2010",Providence,United States,Dunkin' Donuts Center,"9,679 / 9,679 (100%)","$241,009[7]"
"August 28, 2010",Newark,United States,Prudential Center,"13,942 / 13,942 (100%)","$239,255[7]"
"August 31, 2010",New York City,United States,Madison Square Garden,"14,529 / 14,529 (100%)","$378,946[7]"
"September 1, 2010[C]",Syracuse,United States,New York State Fair Grandstand,"16,787 / 16,787 (100%)","$537,275[7]"
"September 3, 2010",Essex Junction,United States,Champlain Valley Expo,"8,048 / 9,422 (85%)","$370,660[7]"
"September 4, 2010[D]",Allentown,United States,Allentown Fairgrounds,"10,242 / 10,242 (100%)","$489,858[7]"
"September 5, 2010[E]",Timonium,United States,Timonium Race Track,"12,540 / 12,540 (100%)","$295,650[7]"
"September 14, 2010",Winnipeg,Canada,MTS Centre,"12,422 / 12,422 (100%)","$436,175[7]"
"September 16, 2010",Regina,Canada,Brandt Centre,"6,747 / 6,747 (100%)","$348,641[7]"
