Date,City,Country,Venue,Opening act,Attendance,Revenue
North America[32],North America[32],North America[32],North America[32],North America[32],North America[32],North America[32]
"March 9, 2016",Seattle,United States,KeyArena,Corey Harper Moxie Raia,"12,227 / 12,227","$1,316,780"
"March 11, 2016",Vancouver,Canada,Rogers Arena,Corey Harper Moxie Raia,"14,648 / 14,648","$1,312,442"
"March 13, 2016",Portland,United States,Moda Center,Corey Harper Post Malone Moxie Raia,"14,146 / 14,146","$1,336,071"
"March 15, 2016",Sacramento,United States,Sleep Train Arena,Post Malone Moxie Raia,"13,786 / 13,786","$1,311,567"
"March 17, 2016",San Jose,United States,SAP Center,Post Malone Moxie Raia,"13,508 / 13,508","$1,427,847"
"March 18, 2016",Oakland,United States,Oracle Arena,Post Malone Moxie Raia,"14,828 / 14,828","$1,548,782"
"March 20, 2016",Los Angeles,United States,Staples Center,Post Malone Moxie Raia,"41,445 / 41,445","$4,365,483"
"March 21, 2016",Los Angeles,United States,Staples Center,Post Malone Moxie Raia,"41,445 / 41,445","$4,365,483"
"March 23, 2016",Los Angeles,United States,Staples Center,Post Malone Moxie Raia,"41,445 / 41,445","$4,365,483"
"March 25, 2016",Las Vegas,United States,MGM Grand Garden Arena,Post Malone Moxie Raia,"11,843 / 11,843","$1,411,304"
"March 26, 2016",Fresno,United States,Save Mart Center,Post Malone Moxie Raia,"11,874 / 11,874","$1,154,574"
"March 29, 2016",San Diego,United States,Valley View Casino Center,Post Malone Moxie Raia,"11,571 / 11,571","$1,120,203"
"March 30, 2016",Glendale,United States,Gila River Arena,Post Malone Moxie Raia,"13,550 / 13,550","$1,319,237"
"April 2, 2016",Salt Lake City,United States,Vivint Smart Home Arena,Post Malone Moxie Raia,"15,115 / 15,115","$1,400,611"
"April 4, 2016",Denver,United States,Pepsi Center,Post Malone Moxie Raia,"13,910 / 13,910","$1,457,492"
"April 6, 2016",Kansas City,United States,Sprint Center,Post Malone Moxie Raia,"13,701 / 13,701","$1,277,251"
"April 7, 2016",Tulsa,United States,BOK Center,Post Malone Moxie Raia,"13,231 / 13,231","$1,222,176"
"April 9, 2016",Houston,United States,Toyota Center,Post Malone Moxie Raia,"12,868 / 12,868","$1,407,652"
"April 10, 2016",Dallas,United States,American Airlines Center,Post Malone Moxie Raia,"14,764 / 14,764","$1,563,919"
"April 12, 2016",Atlanta,United States,Philips Arena,Post Malone Moxie Raia,"25,717 / 25,717","$2,726,349"
"April 13, 2016",Atlanta,United States,Philips Arena,Post Malone Moxie Raia,"25,717 / 25,717","$2,726,349"
"April 19, 2016",St. Louis,United States,Scottrade Center,Post Malone Moxie Raia,"15,450 / 15,450","$1,433,791"
"April 20, 2016",Louisville,United States,KFC Yum! Center,Post Malone Moxie Raia,"16,496 / 16,496","$1,513,138"
"April 22, 2016",Rosemont,United States,Allstate Arena,Post Malone Moxie Raia,"28,519 / 28,519","$2,952,529"
"April 23, 2016",Rosemont,United States,Allstate Arena,Post Malone Moxie Raia,"28,519 / 28,519","$2,952,529"
"April 25, 2016",Auburn Hills,United States,The Palace of Auburn Hills,Post Malone Moxie Raia,"14,795 / 14,795","$1,538,259"
"April 26, 2016",Cleveland,United States,Quicken Loans Arena,Post Malone Moxie Raia,"16,028 / 16,028","$1,480,206"
"April 28, 2016",Columbus,United States,Schottenstein Center,Post Malone Moxie Raia,"13,919 / 13,919","$1,331,983"
"April 29, 2016","Washington, D.C.",United States,Verizon Center,Post Malone Moxie Raia,"14,917 / 14,917","$1,551,880"
"May 4, 2016",Brooklyn,United States,Barclays Center,Post Malone Moxie Raia,"29,470 / 29,470","$3,075,262"
"May 5, 2016",Brooklyn,United States,Barclays Center,Post Malone Moxie Raia,"29,470 / 29,470","$3,075,262"
"May 7, 2016",Philadelphia,United States,Wells Fargo Center,Post Malone Moxie Raia,"30,535 / 30,535","$3,131,498"
"May 8, 2016",Philadelphia,United States,Wells Fargo Center,Post Malone Moxie Raia,"30,535 / 30,535","$3,131,498"
"May 10, 2016",Boston,United States,TD Garden,Post Malone Moxie Raia,"28,406 / 28,406","$2,962,651"
"May 11, 2016",Boston,United States,TD Garden,Post Malone Moxie Raia,"28,406 / 28,406","$2,962,651"
"May 13, 2016",Ottawa,Canada,Canadian Tire Centre,The Knocks Moxie Raia,"13,697 / 13,697","$1,327,205"
"May 14, 2016",Quebec City,Canada,Videotron Centre,The Knocks Moxie Raia,"14,014 / 14,014","$1,318,420"
"May 16, 2016",Montreal,Canada,Bell Centre,Post Malone Moxie Raia,"15,956 / 15,956","$1,518,543"
"May 18, 2016",Toronto,Canada,Air Canada Centre,Post Malone Moxie Raia,"31,482 / 31,482","$2,984,876"
"May 19, 2016",Toronto,Canada,Air Canada Centre,Post Malone Moxie Raia,"31,482 / 31,482","$2,984,876"
"June 11, 2016",Winnipeg,Canada,MTS Centre,Moxie Raia,"12,228 / 12,228","$1,180,804"
"June 13, 2016",Calgary,Canada,Scotiabank Saddledome,Post Malone Moxie Raia,"12,944 / 12,944","$1,242,290"
"June 14, 2016",Edmonton,Canada,Rexall Place,Post Malone Moxie Raia,"13,802 / 13,802","$1,292,176"
"June 16, 2016",Saskatoon,Canada,SaskTel Centre,Post Malone Moxie Raia,"12,741 / 12,741","$1,162,416"
"June 18, 2016",Fargo,United States,Fargodome,Post Malone Moxie Raia,"12,451 / 12,451","$1,177,819"
"June 19, 2016",Minneapolis,United States,Target Center,Post Malone Moxie Raia,"14,498 / 14,498","$1,514,540"
