Date,City,Country,Venue,Attendance[17],Revenue[17]
Europe[18],Europe[18],Europe[18],Europe[18],Europe[18],Europe[18]
13 March 2016,Cardiff,Wales,Motorpoint Arena Cardiff,"9,634 / 9,866","$520,647"
14 March 2016,Brighton,England,Brighton Centre,"4,270 / 4,270","$189,063"
15 March 2016,Bournemouth,England,Windsor Hall,—,—
17 March 2016,Newcastle,England,Metro Radio Arena,"28,289 / 29,944","$1,456,597"
18 March 2016,Birmingham,England,Genting Arena,"12,229 / 13,819","$627,503"
19 March 2016[a],Glasgow,Scotland,SSE Hydro,"21,700 / 21,700","$1,053,430"
22 March 2016,Liverpool,England,Echo Arena,"29,482 / 31,997","$1,512,194"
23 March 2016,Nottingham,England,Motorpoint Arena Nottingham,"15,685 / 18,479","$811,104"
24 March 2016,Manchester,England,Manchester Arena,"28,047 / 28,403","$1,394,470"
26 March 2016,Leeds,England,First Direct Arena,"22,325 /24,378","$1,139,993"
27 March 2016[b],London,England,The O2 Arena,"30,860 / 31,847","$1,621,100"
28 March 2016,Cardiff,Wales,Motorpoint Arena,[c],[c]
30 March 2016,Dublin,Ireland,3Arena,"17,709 / 18,265","$864,134"
2 April 2016,Sheffield,England,Sheffield Arena,"24,380 / 25,577","$1,234,548"
3 April 2016[d],Birmingham,England,Genting Arena,"25,099 / 27,758","$1,265,772"
5 April 2016,Glasgow,Scotland,SSE Hydro,"11,068 / 11,068","$527,738"
7 April 2016,Manchester,England,Manchester Arena,[e],[e]
8 April 2016,Nottingham,England,Motorpoint Arena Nottingham,[f],[f]
9 April 2016,Newcastle,England,Metro Radio Arena,[g],[g]
11 April 2016,Aberdeen,Scotland,Oil & Gas Arena,"9,849/	9,560","$493,502"
12 April 2016,Aberdeen,Scotland,Oil & Gas Arena,"9,849/	9,560","$493,502"
14 April 2016,Liverpool,England,Echo Arena,[h],[h]
15 April 2016,Leeds,England,First Direct Arena,[i],[i]
16 April 2016,Newcastle,England,Metro Radio Arena,[j],[j]
18 April 2016,Dublin,Ireland,3Arena,[k],[k]
19 April 2016,Belfast,Northern Ireland,SSE Arena,"17,952 / 17,952","$899,511"
21 April 2016,Liverpool,England,Echo Arena,[l],[l]
22 April 2016,London,England,"SSE Arena, Wembley","12,554 / 12,434","$578,370"
23 April 2016,Sheffield,England,Sheffield Arena,[m],[m]
Oceania[19],Oceania[19],Oceania[19],Oceania[19],Oceania[19],Oceania[19]
12 May 2016,Brisbane,Australia,BCE Great Hall,"3,252 / 3,372","$184,536"
13 May 2016,Sydney,Australia,Qudos Bank Arena,"5,867 / 7,096","$313,929"
14 May 2016,Melbourne,Australia,Margaret Court Arena,"6,355 / 6,355","$410,717"
Asia[20],Asia[20],Asia[20],Asia[20],Asia[20],Asia[20]
16 May 2016,Tokyo,Japan,Akasaka Blitz,"1,400 / 1,400","$102,545"
17 May 2016,Osaka,Japan,Big Cat,800 / 800,"$58,597"
18 May 2016,Nagoya,Japan,Diamond Hall,800 / 800,"$55,887"
20 May 2016,Quezon City,Philippines,Kia Theatre,"2,301 / 2,301","$202,649"
21 May 2016,Kuala Lumpur,Malaysia,KL Live at Life Centre,"3,000 / 3,000","$148,620"
23 May 2016,Singapore,Singapore,Star Performing Arts Centre,"3,715 / 3,715","$241,475"
Europe[21],Europe[21],Europe[21],Europe[21],Europe[21],Europe[21]
12 June 2016,Stockholm,Sweden,Gröna Lund Tivoli,"5,500 / 5,500","$88,000"
13 June 2016,Oslo,Norway,Sentrum Scene,"1,400 / 1,750","$58,689"
14 June 2016,Copenhagen,Denmark,Falkoner Theater,"2,400 / 3,000","$71,306"
16 June 2016,Amsterdam,Netherlands,Heineken Music Hall,"3,385 / 3,500","$135,767"
17 June 2016,Antwerp,Belgium,Trix,"1,100 / 1,100","$39,645"
19 June 2016,Cologne,Germany,Palladium,"4,240 / 4,240","$149,770"
20 June 2016[n],Milan,Italy,Assago Summer Arena,"5,000 / 5,000","$141,209"
21 June 2016,Zürich,Switzerland,Volkshaus,"1,850 / 1,850","$103,337"
23 June 2016,Paris,France,Le Grand Rex,"2,702 / 2,702","$106,134"
24 June 2016,Barcelona,Spain,Razzmatazz,"2,000 / 2,000","$69,022"
25 June 2016,Madrid,Spain,La Riviera,"1,800 / 1,800","$58,821"
2 July 2016[o],Belfast,Northern Ireland,SSE Arena,"17,952 / 17,952","$1,799,511"
3 July 2016[p],Cork,Ireland,The Marquee,—,—
4 July 2016[q],Cork,Ireland,The Marquee,—,—
20 August 2016[r],Chelmsford,England,Hylands Park,—,—
21 August 2016[s],Staffordshire,England,Weston Park,—,—
27 August 2016,Newmarket,England,Newmarket Racecourse,—,—
