event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,The Get Weird Tour,2016-03-13,Little Mix,,54.04266140751505,9634.0,9866.0,520647.0,"girl group, pop, talent show, uk pop",9866.0,,Motorpoint Arena Cardiff,Cardiff,Wales,Wales
,The Get Weird Tour,2016-03-14,Little Mix,,44.27704918032787,4270.0,4270.0,189063.0,"girl group, pop, talent show, uk pop",4270.0,,Brighton Centre,Brighton,East Sussex,England
,The Get Weird Tour,2016-03-15,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Windsor Hall,Bournemouth,Dorset,England
,The Get Weird Tour,2016-03-17,Little Mix,,51.489872388560926,28289.0,29944.0,1456597.0,"girl group, pop, talent show, uk pop",29944.0,,Metro Radio Arena,Newcastle,England,England
,The Get Weird Tour,2016-03-18,Little Mix,,51.31269932128547,12229.0,13819.0,627503.0,"girl group, pop, talent show, uk pop",13819.0,,Genting Arena,Birmingham,England,England
,The Get Weird Tour,,Little Mix,,48.54516129032258,21700.0,21700.0,1053430.0,"girl group, pop, talent show, uk pop",21700.0,,SSE Hydro,Glasgow,Scotland,Scotland
,The Get Weird Tour,2016-03-22,Little Mix,,51.29211044026864,29482.0,31997.0,1512194.0,"girl group, pop, talent show, uk pop",31997.0,,Echo Arena,Liverpool,England,England
,The Get Weird Tour,2016-03-23,Little Mix,,51.71208160663054,15685.0,18479.0,811104.0,"girl group, pop, talent show, uk pop",18479.0,,Motorpoint Arena Nottingham,Nottingham,England,England
,The Get Weird Tour,2016-03-24,Little Mix,,49.719043034905695,28047.0,28403.0,1394470.0,"girl group, pop, talent show, uk pop",28403.0,,Manchester Arena,Manchester,England,England
,The Get Weird Tour,2016-03-26,Little Mix,,51.06351623740201,22325.0,,1139993.0,"girl group, pop, talent show, uk pop",,,First Direct Arena,Leeds,West Yorkshire,England
,The Get Weird Tour,,Little Mix,,52.530784186649385,30860.0,31847.0,1621100.0,"girl group, pop, talent show, uk pop",31847.0,,The O2 Arena,London,England,England
,The Get Weird Tour,2016-03-28,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Motorpoint Arena,Cardiff,Wales,Wales
,The Get Weird Tour,2016-03-30,Little Mix,,48.79631825625388,17709.0,18265.0,864134.0,"girl group, pop, talent show, uk pop",18265.0,,3Arena,Dublin,Leinster,Ireland
,The Get Weird Tour,2016-04-02,Little Mix,,50.637735849056604,24380.0,25577.0,1234548.0,"girl group, pop, talent show, uk pop",25577.0,,Sheffield Arena,Sheffield,South Yorkshire,England
,The Get Weird Tour,,Little Mix,,50.43117255667556,25099.0,27758.0,1265772.0,"girl group, pop, talent show, uk pop",27758.0,,Genting Arena,Birmingham,England,England
,The Get Weird Tour,2016-04-05,Little Mix,,47.68142392482834,11068.0,11068.0,527738.0,"girl group, pop, talent show, uk pop",11068.0,,SSE Hydro,Glasgow,Scotland,Scotland
,The Get Weird Tour,2016-04-07,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Manchester Arena,Manchester,England,England
,The Get Weird Tour,2016-04-08,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Motorpoint Arena Nottingham,Nottingham,England,England
,The Get Weird Tour,2016-04-09,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Metro Radio Arena,Newcastle,England,England
,The Get Weird Tour,2016-04-11,Little Mix,,50.106812874403495,9849.0,,493502.0,"girl group, pop, talent show, uk pop",,,Oil & Gas Arena,Aberdeen,Aberdeen City,Scotland
,The Get Weird Tour,2016-04-12,Little Mix,,50.106812874403495,9849.0,,493502.0,"girl group, pop, talent show, uk pop",,,Oil & Gas Arena,Aberdeen,Aberdeen City,Scotland
,The Get Weird Tour,2016-04-14,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Echo Arena,Liverpool,England,England
,The Get Weird Tour,2016-04-15,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,First Direct Arena,Leeds,West Yorkshire,England
,The Get Weird Tour,2016-04-16,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Metro Radio Arena,Newcastle,England,England
,The Get Weird Tour,2016-04-18,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,3Arena,Dublin,Leinster,Ireland
,The Get Weird Tour,2016-04-19,Little Mix,,50.10645053475936,17952.0,17952.0,899511.0,"girl group, pop, talent show, uk pop",17952.0,,SSE Arena,Belfast,Northern Ireland,Northern Ireland
,The Get Weird Tour,2016-04-21,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Echo Arena,Liverpool,England,England
,The Get Weird Tour,2016-04-22,Little Mix,,46.070575115501036,12554.0,12434.0,578370.0,"girl group, pop, talent show, uk pop",12434.0,,"SSE Arena, Wembley",London,England,England
,The Get Weird Tour,2016-04-23,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Sheffield Arena,Sheffield,South Yorkshire,England
,The Get Weird Tour,2016-05-12,Little Mix,,56.745387453874535,3252.0,3372.0,184536.0,"girl group, pop, talent show, uk pop",3372.0,,BCE Great Hall,Brisbane,Queensland,Australia
,The Get Weird Tour,2016-05-13,Little Mix,,53.50758479631839,5867.0,7096.0,313929.0,"girl group, pop, talent show, uk pop",7096.0,,Qudos Bank Arena,Sydney,New South Wales,Australia
,The Get Weird Tour,2016-05-14,Little Mix,,64.62895357985838,6355.0,6355.0,410717.0,"girl group, pop, talent show, uk pop",6355.0,,Margaret Court Arena,Melbourne,Victoria,Australia
,The Get Weird Tour,2016-05-16,Little Mix,,73.24642857142857,1400.0,1400.0,102545.0,"girl group, pop, talent show, uk pop",1400.0,,Akasaka Blitz,Tokyo,Tokyo,Japan
,The Get Weird Tour,2016-05-17,Little Mix,,73.24625,800.0,800.0,58597.0,"girl group, pop, talent show, uk pop",800.0,,Big Cat,Osaka,Osaka,Japan
,The Get Weird Tour,2016-05-18,Little Mix,,69.85875,800.0,800.0,55887.0,"girl group, pop, talent show, uk pop",800.0,,Diamond Hall,Nagoya,Aichi,Japan
,The Get Weird Tour,2016-05-20,Little Mix,,88.06996957844416,2301.0,2301.0,202649.0,"girl group, pop, talent show, uk pop",2301.0,,Kia Theatre,Quezon City,Metro Manila,Philippines
,The Get Weird Tour,2016-05-21,Little Mix,,49.54,3000.0,3000.0,148620.0,"girl group, pop, talent show, uk pop",3000.0,,KL Live at Life Centre,Kuala Lumpur,Kuala Lumpur,Malaysia
