Date,City,Country,Venue,Opening acts,Attendance,Revenue
Europe — Glory Days and Summer Shout Out Tour[7][8][9][10],Europe — Glory Days and Summer Shout Out Tour[7][8][9][10],Europe — Glory Days and Summer Shout Out Tour[7][8][9][10],Europe — Glory Days and Summer Shout Out Tour[7][8][9][10],Europe — Glory Days and Summer Shout Out Tour[7][8][9][10],Europe — Glory Days and Summer Shout Out Tour[7][8][9][10],Europe — Glory Days and Summer Shout Out Tour[7][8][9][10]
21 May 2017[a],Birkenhead,England,Prenton Park,—,"14,690 / 14,690","$745,287"
24 May 2017,Berlin,Germany,Mercedez Benz Arena,The Vamps,"3,964 / 6,194","$166,371[11]"
25 May 2017,Düsseldorf,Germany,Mitsubishi Electric Halle,The Vamps,"5,644 / 7,124","$258,174[12]"
27 May 2017,Vienna,Austria,Gasometer,The Vamps,—,—
28 May 2017[b],Hull,England,Burton Constable Hall,—,—,—
29 May 2017,Zurich,Switzerland,Samsung Hall,The Vamps,—,—
30 May 2017,Milan,Italy,Mediolanum Forum,The Vamps,—,—
31 May 2017,Munich,Germany,Olympiahalle,The Vamps,"3,596 / 4,764","$163,852[12]"
2 June 2017,Antwerp,Belgium,Lotto Arena,The Vamps,"7,321 / 7,348","$292,413[12]"
3 June 2017,Amsterdam,Netherlands,AFAS Live,The Vamps,"3,511 / 3,511","$178,067[12]"
5 June 2017,Copenhagen,Denmark,Valby-Hallen,The Vamps,—,—
6 June 2017,Stockholm,Sweden,Annexet,The Vamps,"2,348 / 3,000","$99,673[12]"
8 June 2017,Paris,France,Zénith de Paris,The Vamps,—,—
10 June 2017[c],London,England,Wembley Stadium,—,—,—
23 June 2017,Newmarket,England,Newmarket Racecourse,Ella Eyre Sheppard,"18,732 / 19,610","$897,983"
24 June 2017,Gloucester,England,Kingsholm Stadium,Ella Eyre Sheppard,"19,810 / 20,050","$634,132"
25 June 2017,Twickenham,England,Twickenham Stoop,Ella Eyre Sheppard,"16,492 / 20,000","$680,907"
