event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,The Glory Days Tour,2017-05-21,Little Mix,,50.734309053778084,14690.0,14690.0,745287.0,"girl group, pop, talent show, uk pop",14690.0,,Prenton Park,Birkenhead,Merseyside,England
,The Glory Days Tour,2017-05-24,Little Mix,,,3964.0,6194.0,,"girl group, pop, talent show, uk pop",6194.0,,Mercedez Benz Arena,Berlin,Berlin,Germany
,The Glory Days Tour,2017-05-25,Little Mix,,,5644.0,7124.0,,"girl group, pop, talent show, uk pop",7124.0,,Mitsubishi Electric Halle,Düsseldorf,North Rhine-Westphalia,Germany
,The Glory Days Tour,2017-05-27,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Gasometer,Vienna,Vienna,Austria
,The Glory Days Tour,2017-05-28,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Burton Constable Hall,Hull,East Riding of Yorkshire,England
,The Glory Days Tour,2017-05-29,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Samsung Hall,Zurich,Zurich,Switzerland
,The Glory Days Tour,2017-05-30,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Mediolanum Forum,Milan,Lombardy,Italy
,The Glory Days Tour,2017-05-31,Little Mix,,,3596.0,4764.0,,"girl group, pop, talent show, uk pop",4764.0,,Olympiahalle,Munich,Bavaria,Germany
,The Glory Days Tour,2017-06-02,Little Mix,,,7321.0,7348.0,,"girl group, pop, talent show, uk pop",7348.0,,Lotto Arena,Antwerp,Flanders,Belgium
,The Glory Days Tour,2017-06-03,Little Mix,,,3511.0,3511.0,,"girl group, pop, talent show, uk pop",3511.0,,AFAS Live,Amsterdam,North Holland,Netherlands
,The Glory Days Tour,2017-06-05,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Valby-Hallen,Copenhagen,Capital Region of Denmark,Denmark
,The Glory Days Tour,2017-06-06,Little Mix,,,2348.0,3000.0,,"girl group, pop, talent show, uk pop",3000.0,,Annexet,Stockholm,Stockholm County,Sweden
,The Glory Days Tour,2017-06-08,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Zénith de Paris,Paris,Île-de-France,France
,The Glory Days Tour,2017-06-10,Little Mix,,,,,,"girl group, pop, talent show, uk pop",,,Wembley Stadium,London,England,England
,The Glory Days Tour,2017-06-23,Little Mix,,47.938447576339954,18732.0,19610.0,897983.0,"girl group, pop, talent show, uk pop",19610.0,,Newmarket Racecourse,Newmarket,Suffolk,England
,The Glory Days Tour,2017-06-24,Little Mix,,32.010701665825344,19810.0,20050.0,634132.0,"girl group, pop, talent show, uk pop",20050.0,,Kingsholm Stadium,Gloucester,Gloucestershire,England
,The Glory Days Tour,2017-06-25,Little Mix,,41.28710890128547,16492.0,20000.0,680907.0,"girl group, pop, talent show, uk pop",20000.0,,Twickenham Stoop,Twickenham,London,England
,The Glory Days Tour,2017-06-29,Little Mix,,51.25427081460169,11122.0,11148.0,570050.0,"girl group, pop, talent show, uk pop",11148.0,,Slessor Gardens,Dundee,Dundee City,Scotland
,The Glory Days Tour,2017-06-30,Little Mix,,43.10293333333333,15000.0,15000.0,646544.0,"girl group, pop, talent show, uk pop",15000.0,,Royal Highland Centre,Edinburgh,Scotland,Scotland
,The Glory Days Tour,2017-07-01,Little Mix,,38.140042023965016,17609.0,20050.0,671608.0,"girl group, pop, talent show, uk pop",20050.0,,Donington Park,Derby,England,England
,The Glory Days Tour,2017-07-06,Little Mix,,45.458982772764564,7314.0,7384.0,332487.0,"girl group, pop, talent show, uk pop",7384.0,,Scarborough Open Air Theatre,Scarborough,North Yorkshire,England
