D a t e,C i t y,C o u n t r y,V e n u e,S u p p o r t i n g   a c t s,A t t e n d a n c e,R e v e n u e
16 September 2019,Madrid,Spain,WiZink Center,Keelie Walker,"4,684 / 4,684","$506,824"
18 September 2019,Milan,Italy,Mediolanum Forum,Keelie Walker,"6,743 / 6,743","$290,640"
21 September 2019,Stuttgart,Germany,Porsche-Arena,Keelie Walker,"7,757 / 7,757","$450,844"
22 September 2019,Stuttgart,Germany,Porsche-Arena,Keelie Walker,"7,757 / 7,757","$450,844"
23 September 2019,Cologne,Germany,Lanxess Arena,Keelie Walker,"6,291 / 6,291","$369,941"
25 September 2019,Amsterdam,Netherlands,Ziggo Dome,Keelie Walker,"11,179 / 11,179","$543,762"
27 September 2019,Antwerp,Belgium,Sportpaleis,Keelie Walker,"13,397 / 13,397","$717,803"
28 September 2019,Paris,France,Dôme de Paris,Keelie Walker,"4,252 / 4,252","$250,204"
6 October 2019,Belfast,Northern Ireland,SSE Arena,Mae Muller New Rules,"30,371 / 30,371[a]","$2,020,260[a]"
7 October 2019,Belfast,Northern Ireland,SSE Arena,Mae Muller New Rules,"30,371 / 30,371[a]","$2,020,260[a]"
8 October 2019,Dublin,Ireland,3Arena,Mae Muller New Rules,"36,975 / 36,975","$2,318,348"
10 October 2019,Dublin,Ireland,3Arena,Mae Muller New Rules,"36,975 / 36,975","$2,318,348"
11 October 2019,Dublin,Ireland,3Arena,Mae Muller New Rules,"36,975 / 36,975","$2,318,348"
13 October 2019,Belfast,Northern Ireland,SSE Arena,Mae Muller New Rules,—[a],—[a]
14 October 2019,Belfast,Northern Ireland,SSE Arena,Mae Muller New Rules,—[a],—[a]
17 October 2019,Glasgow,Scotland,SSE Hydro,Mae Muller New Rules,"35,099 / 35,099","$2,585,000"
18 October 2019,Glasgow,Scotland,SSE Hydro,Mae Muller New Rules,"35,099 / 35,099","$2,585,000"
19 October 2019,Glasgow,Scotland,SSE Hydro,Mae Muller New Rules,"35,099 / 35,099","$2,585,000"
21 October 2019,Liverpool,England,M&S Bank Arena,Mae Muller New Rules,"19,099 / 19,099","$1,298,181"
22 October 2019,Liverpool,England,M&S Bank Arena,Mae Muller New Rules,"19,099 / 19,099","$1,298,181"
24 October 2019,Newcastle,England,Utilita Arena Newcastle,Mae Muller New Rules,"27,275 / 28,199","$1,891,490"
25 October 2019,Newcastle,England,Utilita Arena Newcastle,Mae Muller New Rules,"27,275 / 28,199","$1,891,490"
26 October 2019,Newcastle,England,Utilita Arena Newcastle,Mae Muller New Rules,"27,275 / 28,199","$1,891,490"
28 October 2019,Sheffield,England,FlyDSA Arena,Mae Muller New Rules,"22,626 / 22,626","$1,451,282"
29 October 2019,Sheffield,England,FlyDSA Arena,Mae Muller New Rules,"22,626 / 22,626","$1,451,282"
31 October 2019,London,England,The O2 Arena,Mae Muller New Rules,"45,997 / 47,206","$3,399,130"
1 November 2019,London,England,The O2 Arena,Mae Muller New Rules,"45,997 / 47,206","$3,399,130"
2 November 2019,London,England,The O2 Arena,Mae Muller New Rules,"45,997 / 47,206","$3,399,130"
7 November 2019,Birmingham,England,Resorts World Arena,Mae Muller New Rules,"36,041 / 36,041","$2,245,175"
8 November 2019,Birmingham,England,Resorts World Arena,Mae Muller New Rules,"36,041 / 36,041","$2,245,175"
9 November 2019,Birmingham,England,Resorts World Arena,Mae Muller New Rules,"36,041 / 36,041","$2,245,175"
11 November 2019,Nottingham,England,Motorpoint Arena,Mae Muller New Rules,"14,273 / 14,273","$952,546"
12 November 2019,Nottingham,England,Motorpoint Arena,Mae Muller New Rules,"14,273 / 14,273","$952,546"
14 November 2019,Manchester,England,Manchester Arena,Mae Muller New Rules,"40,714 / 40,714","$2,837,170"
15 November 2019,Manchester,England,Manchester Arena,Mae Muller New Rules,"40,714 / 40,714","$2,837,170"
16 November 2019,Manchester,England,Manchester Arena,Mae Muller New Rules,"40,714 / 40,714","$2,837,170"
18 November 2019,Leeds,England,First Direct Arena,Mae Muller New Rules,"19,858 / 21,603","$1,378,170"
19 November 2019,Leeds,England,First Direct Arena,Mae Muller New Rules,"19,858 / 21,603","$1,378,170"
21 November 2019,London,England,The O2 Arena,Mae Muller New Rules,"29,547 / 31,776","$2,123,700"
22 November 2019,London,England,The O2 Arena,Mae Muller New Rules,"29,547 / 31,776","$2,123,700"
Total,Total,Total,Total,Total,"412,178 / 418,285 (98%)","$27,630,470"
