Date,Town/City,Country,Venue,Opening acts,Attendance[2],Revenue[2]
United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
6 July 2018,Hove,England,The 1st Central County Ground,Rak-Su[21] Germein[22],—,—
7 July 2018,Swansea,Wales,Liberty Stadium,Rak-Su[21] Germein[22],"25,596 / 25,596","$1,783,054"
8 July 2018,Colchester,England,JobServe Community Stadium,Rak-Su[21] Germein[22],"10,000[23]",—
12 July 2018,Northampton,England,County Ground,Rak-Su[21] Germein[22],—,—
13 July 2018,Hull,England,KCOM Craven Park,Rak-Su[21] Germein[22],"21,142 / 21,142","$1,356,751"
14 July 2018,Bolton,England,Macron Stadium,Rak-Su[21] Germein[22],"29,414 / 29,414","$1,996,133"
15 July 2018,Huddersfield,England,John Smith's Stadium,Rak-Su[21] Germein[22],"28,163 / 28,163","$1,967,899"
19 July 2018,Derby,England,The 3AAA County Ground,Rak-Su[21] Germein[22],—,—
20 July 2018,Lincoln,England,Lincolnshire Showground,Rak-Su[21] Germein[22],—,—
21 July 2018,Norwich,England,Earlham Park,Rak-Su[21] Germein[22],"14,104 / 14,104","$901,774"
22 July 2018,Maidstone,England,Kent Event Centre,Rak-Su[21] Germein[22],"30,000[17]",—
26 July 2018,Gateshead,England,Gateshead International Stadium,Rak-Su[21] Germein[22],"20,675 / 20,675","$1,434,495"
27 July 2018,Falkirk,Scotland,Falkirk Stadium,Rak-Su[21] Germein[22],"21,000[24]",—
28 July 2018,Aberdeen,Scotland,AECC Outdoors,Rak-Su[21] Germein[22],"15,488 / 15,488","$1,000,117"
29 July 2018,Inverness,Scotland,Bught Park,Rak-Su[21] Germein[22],—,—
Total,Total,Total,Total,Total,"154,582[1]","$10,440,223[2]"
