id_event,short_title,type_event,popularity,performer_id,performer_name,listing_count,average_price,venue_id,venue_name,venue_city,venue_state,venue_country,venue_address,id_performer,name_merged,type_performer,taxonomy_id,taxonomy_name,genre_id,genre_name,id,name_venue,city,address,postal_code,country,capacity
6065301.0,GOOSEMAS - 2 Day Pass,concert,0.803,33660.0,Goose,1.0,162.0,251.0,Hampton Coliseum,Hampton,VA,US,1000 Coliseum Drive,,,,,,,,251.0,Hampton Coliseum,Hampton,1000 Coliseum Drive,23666,US,13800.0
6065311.0,GOOSEMAS - Saturday,concert,0.786,33660.0,Goose,16.0,126.0,251.0,Hampton Coliseum,Hampton,VA,US,1000 Coliseum Drive,,,,,,,,251.0,Hampton Coliseum,Hampton,1000 Coliseum Drive,23666,US,13800.0
6271867.0,Chris Ruggiero,concert,0.665,801425.0,Chris Ruggiero,2.0,226.0,2246.0,Sellersville Theater 1894,Sellersville,PA,US,24 West Temple Avenue,,,,,,,,,,,,,,
6230898.0,Mary Fahl,concert,0.63,34644.0,Mary Fahl,1.0,301.0,2246.0,Sellersville Theater 1894,Sellersville,PA,US,24 West Temple Avenue,,,,,,,,,,,,,,
6233518.0,"Better Lovers & Friends with The Callous Daoboys, Bad Blood, and more",concert,0.709,803113.0,Better Lovers,2.0,52.0,55589.0,Buffalo Iron Works,Buffalo,NY,US,49 Illinois Street,,,,,,,,,,,,,,
6111665.0,Brujeria,concert,0.688,11116.0,Brujeria,2.0,56.0,285732.0,The Usual Place,Dumfries,,UK,,,,,,,,,,,,,,,
6111599.0,Brujeria,concert,0.63,11116.0,Brujeria,3.0,73.0,720.0,The Glass House,Pomona,CA,US,200 W. Second St,,,,,,,,,,,,,,
6157285.0,Trans-Siberian Orchestra,concert,0.821,1938.0,Trans-Siberian Orchestra,17.0,92.0,112.0,Spectrum Center,Charlotte,NC,US,333 East Trade Street,1938.0,Trans-Siberian Orchestra,band,2000000.0,concerts,456.0,Rock,,,,,,,
6157290.0,Trans-Siberian Orchestra,concert,0.806,1938.0,Trans-Siberian Orchestra,330.0,178.0,112.0,Spectrum Center,Charlotte,NC,US,333 East Trade Street,1938.0,Trans-Siberian Orchestra,band,2000000.0,concerts,456.0,Rock,,,,,,,
6157287.0,Trans-Siberian Orchestra,concert,0.842,1938.0,Trans-Siberian Orchestra,35.0,108.0,185.0,Frost Bank Center,San Antonio,TX,US,1 AT&T Center Parkway,1938.0,Trans-Siberian Orchestra,band,2000000.0,concerts,456.0,Rock,185.0,Frost Bank Center,San Antonio,1 AT&T Center Parkway,78219,US,18797.0
6157293.0,Trans-Siberian Orchestra,concert,0.829,1938.0,Trans-Siberian Orchestra,297.0,155.0,185.0,Frost Bank Center,San Antonio,TX,US,1 AT&T Center Parkway,1938.0,Trans-Siberian Orchestra,band,2000000.0,concerts,456.0,Rock,185.0,Frost Bank Center,San Antonio,1 AT&T Center Parkway,78219,US,18797.0
6157295.0,Trans-Siberian Orchestra,concert,0.819,1938.0,Trans-Siberian Orchestra,447.0,201.0,110.0,Gas South Arena,Duluth,GA,US,6400 Sugarloaf Parkway,1938.0,Trans-Siberian Orchestra,band,2000000.0,concerts,456.0,Rock,,,,,,,
6157299.0,Trans-Siberian Orchestra,concert,0.81,1938.0,Trans-Siberian Orchestra,516.0,189.0,110.0,Gas South Arena,Duluth,GA,US,6400 Sugarloaf Parkway,1938.0,Trans-Siberian Orchestra,band,2000000.0,concerts,456.0,Rock,,,,,,,
6156741.0,Trans-Siberian Orchestra,concert,0.852,1938.0,Trans-Siberian Orchestra,71.0,195.0,129.0,Toyota Center,Houston,TX,US,1510 Polk Street,1938.0,Trans-Siberian Orchestra,band,2000000.0,concerts,456.0,Rock,129.0,Toyota Center,Houston,1510 Polk Street,77002,US,19300.0
6156743.0,Trans-Siberian Orchestra,concert,0.81,1938.0,Trans-Siberian Orchestra,69.0,1138.0,129.0,Toyota Center,Houston,TX,US,1510 Polk Street,1938.0,Trans-Siberian Orchestra,band,2000000.0,concerts,456.0,Rock,129.0,Toyota Center,Houston,1510 Polk Street,77002,US,19300.0
6245001.0,Carbon Leaf (21+),concert,0.674,407.0,Carbon Leaf,16.0,93.0,995.0,Rams Head On Stage - Annapolis,Annapolis,MD,US,33 West Street,,,,,,,,,,,,,,
6244996.0,Carbon Leaf,concert,0.655,407.0,Carbon Leaf,29.0,100.0,995.0,Rams Head On Stage - Annapolis,Annapolis,MD,US,33 West Street,,,,,,,,,,,,,,
6299760.0,Emily King (21+),concert,0.655,28435.0,Emily King,4.0,118.0,995.0,Rams Head On Stage - Annapolis,Annapolis,MD,US,33 West Street,,,,,,,,,,,,,,
6205249.0,grandson,concert,0.696,646539.0,grandson,16.0,151.0,97.0,Commonwealth Stadium - Edmonton,Edmonton,AB,Canada,11000 Stadium Road,,,,,,,,,,,,,,
6108095.0,Christmas Burns Red,concert,0.713,235.0,August Burns Red,1.0,165.0,66482.0,Freedom Hall,Lancaster,PA,US,,,,,,,,,,,,,,,
5998870.0,Daniel O'Donnell,concert,0.7,538.0,Daniel O'Donnell,22.0,63.0,3356.0,NYCB Theatre at Westbury,Westbury,NY,US,960 Brush Hollow Rd.,,,,,,,,3356.0,NYCB Theatre at Westbury,Westbury,960 Brush Hollow Rd.,11590,US,2870.0
6054969.0,Daniel O'Donnell,concert,0.642,538.0,Daniel O'Donnell,124.0,104.0,519124.0,Lillian S. Wells Hall at The Parker,Ft Lauderdale,FL,US,707 NE 8th Street,,,,,,,,,,,,,,
6236073.0,"Rachel Bloom: Death, Let Me Do My Show",concert,0.708,162726.0,Rachel Bloom,1.0,123.0,2964.0,Orpheum Theatre - NY,New York,NY,US,126 Second Ave,,,,,,,,2964.0,Orpheum Theatre - NY,New York,126 Second Ave,10003,US,347.0
6236072.0,"Rachel Bloom: Death, Let Me Do My Show",concert,0.677,162726.0,Rachel Bloom,14.0,223.0,2964.0,Orpheum Theatre - NY,New York,NY,US,126 Second Ave,,,,,,,,2964.0,Orpheum Theatre - NY,New York,126 Second Ave,10003,US,347.0
6236071.0,"Rachel Bloom: Death, Let Me Do My Show",concert,0.674,162726.0,Rachel Bloom,11.0,209.0,2964.0,Orpheum Theatre - NY,New York,NY,US,126 Second Ave,,,,,,,,2964.0,Orpheum Theatre - NY,New York,126 Second Ave,10003,US,347.0
6036335.0,Darlingside,concert,0.653,56321.0,Darlingside,1.0,64.0,11280.0,The Sinclair,Cambridge,MA,US,52 Church Street,,,,,,,,11280.0,The Sinclair,Cambridge,52 Church Street,02138,US,525.0
6285365.0,Odie Leigh,concert,0.647,802221.0,Odie Leigh,2.0,133.0,11280.0,The Sinclair,Cambridge,MA,US,52 Church Street,,,,,,,,11280.0,The Sinclair,Cambridge,52 Church Street,02138,US,525.0
6253321.0,Exmortus,concert,0.672,32490.0,Exmortus,1.0,49.0,3809.0,Dingbatz,Clifton,NJ,US,620 Van Houten Avenue,,,,,,,,,,,,,,
6165593.0,Boys Of Fall,concert,0.627,78232.0,Boys Of Fall,2.0,95.0,429077.0,The Shelter - Detroit,Detroit,MI,US,431 E Congress St,,,,,,,,,,,,,,
