id_event,short_title,performer_id,performer_name,average_price,venue_state,id_performer,name_merged,type_performer,taxonomy_id,genre_id,genre_name,postal_code,capacity,combined_venue,combined_address,combined_city,combined_venueid,combined_country
6288459,Bobby McFerrin,4414,Bobby McFerrin,108.0,CA,,,,,,,,,Freight & Salvage,2020 Addison Street,Berkeley,2239.0,US
6307926,Lauren Fox,797799,Lauren Fox,151.0,GA,,,,,,,,,Falany Performing Arts Center,7300 Reinhardt Circle,Waleska,14060.0,US
6270066,Merry Country Christmas,773028,Merry Country Christmas,118.0,VA,,,,,,,,,Wayne Theatre,521 West Main Street,Waynesboro,232314.0,US
6220195,Debbii Dawson,806930,Debbii Dawson,35.0,NY,,,,,,,10002,250.0,Mercury Lounge,217 East Houston Street,New York,327.0,US
5923504,Stephen Sanchez with Stephen Day,797186,Stephen Sanchez,182.0,FL,,,,,,,,,House of Blues - Orlando,1490 E Buena Vista Dr,Orlando,617.0,US
6154662,One Step Closer (16+),730425,One Step Closer,87.0,NY,,,,,,,,,Empire Underground - NY,93 North Pearl Street,Albany,519050.0,US
6177110,From Ashes To New with The Word Alive,278397,From Ashes To New,90.0,MN,,,,,,,55414,300.0,Varsity Theater - Minneapolis,1308 SE 4th Street,Minneapolis,920.0,US
6309161,Hed PE,5052,Hed PE,85.0,KY,,,,,,,,,Madison Live,734 Madison Ave,Covington,80735.0,US
6144118,Pentatonix,20599,Pentatonix,231.0,SC,20599.0,Pentatonix,band,2000000.0,452.0,Pop,,,Bon Secours Wellness Arena,650 North Academy Street,Greenville,111.0,US
6229753,Ella Vos,625559,Ella Vos,45.0,GA,,,,,,,,,The Masquerade - Purgatory,50 Lower Alabama Street,Atlanta,6490.0,US
6054969,Daniel O'Donnell,538,Daniel O'Donnell,102.0,FL,,,,,,,,,Lillian S. Wells Hall at The Parker,707 NE 8th Street,Ft Lauderdale,519124.0,US
6026446,MacCabeats,20182,MacCabeats,99.0,NJ,,,,,,,07631,1367.0,Bergen Performing Arts Center,30 North Van Brunt Street,Englewood,438.0,US
6307925,Lauren Fox,797799,Lauren Fox,87.0,GA,,,,,,,,,Falany Performing Arts Center,7300 Reinhardt Circle,Waleska,14060.0,US
5926209,The Carolina Opry,58455,The Carolina Opry,123.0,SC,,,,,,,,,The Carolina Opry,8901 N Kings Hwy,Myrtle Beach,9730.0,US
6287255,Madeline The Person,806608,Madeline The Person,56.0,NY,,,,,,,,,Baby's All Right,146 Broadway,Brooklyn,56718.0,US
6168237,Craig Owens,10555,Craig Owens,99.0,PA,,,,,,,19108,650.0,Underground Arts,1200 Callowhill Street,Philadelphia,8679.0,US
6298891,Rematch,779719,Rematch,33.0,OH,,,,,,,,,Rumba Cafe,2507 Summit Street,Columbus,8607.0,US
6270065,Merry Country Christmas,773028,Merry Country Christmas,149.0,VA,,,,,,,,,Wayne Theatre,521 West Main Street,Waynesboro,232314.0,US
6206240,Mariah Carey ,2494,Mariah Carey,658.0,MA,2494.0,Mariah Carey,band,2000000.0,452.0,Pop,02114,19580.0,TD Garden,100 Legends Way,Boston,1544.0,US
6205289,"Jingle Ball with OneRepublic, Jelly Roll, Big Time Rush, Doechii, & more!",79338,	iHeartRadio Jingle Ball,292.0,DC,79338.0,	iHeartRadio Jingle Ball,band,2000000.0,,,20004,20173.0,Capital One Arena,601 F Street Northwest,Washington,181.0,US
6287186,Woodz,806748,Woodz,199.0,NY,,,,,,,,,Kings Theatre,1027 Flatbush Avenue,Brooklyn,77210.0,US
