Name,Genres,Popularity,Followers
Donald Glover,deep comedy,43,85973
ENHYPEN,"anime, k-pop boy group",77,7219576
Mumford & Sons,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana",70,6535524
Megadriver,brazilian heavy metal,24,17570
Philharmonia Orchestra,"british orchestra, orchestra",63,66079
KC & The Sunshine Band,"disco, mellow gold, new wave pop, soft rock, soul",62,961234
TIAGO IORC,"folk brasileiro, nova mpb",61,2827311
Maurice Joshua,"acid house, chicago house, classic house",21,2664
Toby Keith,"classic oklahoma country, contemporary country, country, country road",66,2154535
Kenny Larkin,"acid house, detroit techno, minimal techno, techno",20,21932
Idil Biret,"classical piano, turkish classical performance",55,11610
Webb Pierce,"classic country pop, honky tonk, western swing",37,69829
Critical Mass,"gabber, happy hardcore",29,5565
Derrick May,"acid house, detroit techno, minimal techno, techno",31,48023
Andy Montañez,"salsa, salsa puertorriquena",52,792114
Dan Gibson's Solitudes,,52,44385
Lucy Dacus,indie pop,69,437948
Claude Debussy,"classical, impressionism, post-romantic era",67,1488892
Big Gigantic,"electronic trap, glitch hop",50,255272
The Cars,"album rock, classic rock, hard rock, mellow gold, new romantic, new wave, new wave pop, permanent wave, power pop, rock, singer-songwriter, soft rock, synthpop",63,1731992
Marconi Union,ambient,57,305378
Kenny Chesney,"contemporary country, country, country road",67,4430864
Senses Fail,"emo, metalcore, neon pop punk, pop punk, post-hardcore, screamo",50,437641
The Lumineers,"folk-pop, modern rock, stomp and holler",76,5315113
HOMESHAKE,"indie garage rock, montreal indie, quebec indie",47,359807
Dabzee,malayalam hip hop,61,185329
Clairo,"bedroom pop, indie pop, pov: indie",75,4343084
Mütze Katze,partyschlager,42,5160
Eric Prydz,"edm, electro house, house, pop dance, progressive electro house, progressive house",61,597546
David Pabon,salsa,54,182253
ZHU,"edm, electro house",61,870491
Sarah Gayle Meech,neo honky tonk,3,1142
Chronixx,"dancehall, modern reggae",58,517618
Reza Solatipour,iranian experimental,0,32
OFFICIAL HIGE DANDISM,"anime, anime rock, j-pop",70,6162257
Chase Atlantic,alternative r&b,77,6163234
Ariana Grande,pop,88,95604966
Rick Astley,"new romantic, new wave pop, soft rock, sophisti-pop, synthpop",62,1154356
Mariano Mores,"latin classical, orquesta tipica, tango",28,13706
Radiokijada,"musica afroperuana, world",2,510
Lojay,"afrobeats, alte, nigerian pop",65,333152
Kelsea Ballerini,"contemporary country, country",68,1115610
Rels B,"r&b en espanol, spanish hip hop, trap latino, urbano espanol, urbano latino",80,6212611
Murilo Huff,"arrocha, sertanejo, sertanejo universitario",71,868478
Guaco,"classic venezuelan pop, gaita zuliana, pop reggaeton, salsa venezolana, venezuelan rock",53,307260
Luke Combs,"contemporary country, country",81,9707139
Alphaville,"new romantic, new wave pop, synthpop",62,767772
Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",73,6933307
Seu Jorge,"mpb, samba-rock",63,1425577
A Tribe Called Quest,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",65,2015473
Devon Rea,"lo-fi sleep, lo-fi study",49,2904
