Year,1th Artist by Popularity,2th Artist by Popularity,3th Artist by Popularity,4th Artist by Popularity,5th Artist by Popularity,6th Artist by Popularity,7th Artist by Popularity,8th Artist by Popularity,9th Artist by Popularity,10th Artist by Popularity,11th Artist by Popularity,12th Artist by Popularity,13th Artist by Popularity,14th Artist by Popularity,15th Artist by Popularity,16th Artist by Popularity,17th Artist by Popularity,18th Artist by Popularity,19th Artist by Popularity,20th Artist by Popularity,21th Artist by Popularity,22th Artist by Popularity,23th Artist by Popularity,24th Artist by Popularity,25th Artist by Popularity,26th Artist by Popularity,27th Artist by Popularity,28th Artist by Popularity,29th Artist by Popularity,30th Artist by Popularity,31th Artist by Popularity,32th Artist by Popularity,33th Artist by Popularity,34th Artist by Popularity,35th Artist by Popularity,36th Artist by Popularity,37th Artist by Popularity,38th Artist by Popularity,39th Artist by Popularity,40th Artist by Popularity,41th Artist by Popularity,42th Artist by Popularity,43th Artist by Popularity,44th Artist by Popularity,45th Artist by Popularity,46th Artist by Popularity,47th Artist by Popularity,48th Artist by Popularity,49th Artist by Popularity,50th Artist by Popularity
2003,Kanye West,Eminem,Arijit Singh,Coldplay,Chris Brown,David Guetta,Lil Wayne,Sia,Shakira,Gunna,Beyoncé,Michael Bublé,Linkin Park,Daddy Yankee,Mariah Carey,Queen,Frank Sinatra,JAY-Z,50 Cent,Red Hot Chili Peppers,Elton John,Tiësto,Snoop Dogg,Pitbull,Michael Jackson,Disney,Fleetwood Mac,Radiohead,Justin Timberlake,Metallica,Britney Spears,Kelly Clarkson,USHER,Elvis Presley,blink-182,Green Day,Bing Crosby,Pentatonix,Nat King Cole,Fall Out Boy,Dean Martin,2Pac,Dr. Dre,Deftones,Jelly Roll,Jhené Aiko,2 Chainz,Rick Ross,Andy Williams,T-Pain
2004,Kanye West,Eminem,David Guetta,Lil Wayne,Sia,Shakira,Beyoncé,Michael Bublé,Linkin Park,Maroon 5,Daddy Yankee,Young Thug,Mariah Carey,Queen,Frank Sinatra,JAY-Z,50 Cent,Red Hot Chili Peppers,Elton John,Tiësto,Snoop Dogg,Pitbull,Michael Jackson,Disney,Fleetwood Mac,Radiohead,Nirvana,Justin Timberlake,Metallica,Britney Spears,Akon,Kelly Clarkson,USHER,Elvis Presley,blink-182,Green Day,P!nk,Bing Crosby,Nat King Cole,Dean Martin,2Pac,Dr. Dre,System Of A Down,Creedence Clearwater Revival,The Rolling Stones,Jelly Roll,2 Chainz,Gucci Mane,Andy Williams,Brenda Lee
2005,Kanye West,Eminem,Rihanna,Coldplay,Chris Brown,David Guetta,Lil Wayne,Arctic Monkeys,Sia,Shakira,Beyoncé,Michael Bublé,Linkin Park,Maroon 5,Daddy Yankee,Mariah Carey,Queen,Arcángel,Frank Sinatra,JAY-Z,50 Cent,Red Hot Chili Peppers,Elton John,Snoop Dogg,Pitbull,Michael Jackson,Romeo Santos,Disney,Fleetwood Mac,Radiohead,Nirvana,Justin Timberlake,Britney Spears,Kelly Clarkson,USHER,Elvis Presley,blink-182,Green Day,Bing Crosby,Nat King Cole,Fall Out Boy,Dean Martin,2Pac,Deftones,Paramore,Jelly Roll,2 Chainz,Gucci Mane,Rick Ross,Jason Aldean
2006,Taylor Swift,Kanye West,Eminem,Future,Rihanna,Ed Sheeran,Coldplay,Chris Brown,David Guetta,Lil Wayne,Arctic Monkeys,Sia,Shakira,Beyoncé,Michael Bublé,The Beatles,Maroon 5,Daddy Yankee,Calvin Harris,Young Thug,Mariah Carey,Miley Cyrus,Queen,Frank Sinatra,JAY-Z,50 Cent,Red Hot Chili Peppers,Elton John,Snoop Dogg,Pitbull,Michael Jackson,Disney,Fleetwood Mac,Wiz Khalifa,Radiohead,Justin Timberlake,Kelly Clarkson,USHER,Elvis Presley,blink-182,Bing Crosby,Nat King Cole,Miguel,Fall Out Boy,Dean Martin,Deftones,Jelly Roll,Gucci Mane,Rick Ross,Luke Bryan
2007,Taylor Swift,Kanye West,Eminem,Future,Rihanna,Coldplay,J. Cole,Chris Brown,David Guetta,Lil Wayne,Arctic Monkeys,Sia,Shakira,Gunna,Beyoncé,Michael Bublé,Linkin Park,Maroon 5,J Balvin,Daddy Yankee,Calvin Harris,Mariah Carey,Miley Cyrus,Katy Perry,Queen,Frank Sinatra,JAY-Z,50 Cent,Red Hot Chili Peppers,Elton John,Snoop Dogg,Pitbull,Chris Stapleton,Disney,Fleetwood Mac,Wiz Khalifa,Radiohead,Nirvana,Justin Timberlake,Kelly Clarkson,USHER,Elvis Presley,Bing Crosby,Nat King Cole,Miguel,Fall Out Boy,Deftones,Jelly Roll,Kacey Musgraves,2 Chainz
2008,Taylor Swift,Drake,Kanye West,Eminem,Future,Rihanna,Ariana Grande,Coldplay,J. Cole,Chris Brown,David Guetta,Lil Wayne,Nicki Minaj,Arctic Monkeys,Sia,Shakira,"Tyler, The Creator",Beyoncé,Michael Bublé,Linkin Park,Adele,Maroon 5,J Balvin,Daddy Yankee,Calvin Harris,Frank Ocean,Mariah Carey,Miley Cyrus,Lady Gaga,Katy Perry,Queen,Sam Smith,Frank Sinatra,JAY-Z,50 Cent,Red Hot Chili Peppers,Elton John,Snoop Dogg,Disney,Fleetwood Mac,Wiz Khalifa,Radiohead,Kid Cudi,Kelly Clarkson,USHER,Bing Crosby,Nat King Cole,Deftones,Jelly Roll,Kacey Musgraves
2009,Taylor Swift,Drake,Kanye West,Eminem,Lana Del Rey,21 Savage,Future,Rihanna,Ariana Grande,Justin Bieber,Ed Sheeran,Bruno Mars,Coldplay,J. Cole,Chris Brown,Carin Leon,Imagine Dragons,David Guetta,Lil Wayne,Nicki Minaj,Arctic Monkeys,Sia,Shakira,"Tyler, The Creator",Playboi Carti,Beyoncé,Michael Bublé,Linkin Park,Adele,Maroon 5,J Balvin,Daddy Yankee,Calvin Harris,Mariah Carey,Miley Cyrus,Lady Gaga,Katy Perry,Frank Sinatra,JAY-Z,50 Cent,Red Hot Chili Peppers,Steve Lacy,Snoop Dogg,Disney,Fleetwood Mac,Kid Cudi,Kelly Clarkson,Bing Crosby,Nat King Cole,Jelly Roll
2010,Taylor Swift,Drake,Kanye West,Eminem,Lana Del Rey,Future,Rihanna,Ariana Grande,Justin Bieber,Ed Sheeran,Kendrick Lamar,Bruno Mars,Coldplay,J. Cole,Chris Brown,Imagine Dragons,BTS,David Guetta,Lil Wayne,Nicki Minaj,Arctic Monkeys,Sia,Shakira,"Tyler, The Creator",Beyoncé,Michael Bublé,Linkin Park,Adele,Maroon 5,J Balvin,Daddy Yankee,Young Thug,Mariah Carey,Miley Cyrus,Lady Gaga,Katy Perry,Frank Sinatra,JAY-Z,50 Cent,Red Hot Chili Peppers,Mac Miller,Snoop Dogg,Offset,Disney,Fleetwood Mac,Kid Cudi,Bing Crosby,Nat King Cole,Miguel,Jelly Roll
2011,Taylor Swift,Drake,The Weeknd,Kanye West,Eminem,Lana Del Rey,Feid,Future,Rihanna,Ariana Grande,Justin Bieber,Ed Sheeran,Kendrick Lamar,Bruno Mars,Coldplay,J. Cole,Chris Brown,Imagine Dragons,Anuel AA,BTS,David Guetta,Lil Wayne,Nicki Minaj,Arctic Monkeys,"Tyler, The Creator",Beyoncé,Michael Bublé,The Beatles,Linkin Park,Adele,Frank Ocean,Young Thug,Mariah Carey,Miley Cyrus,Lady Gaga,Katy Perry,Frank Sinatra,JAY-Z,Mac Miller,A$AP Rocky,TV Girl,Tory Lanez,Offset,Disney,Fleetwood Mac,Kid Cudi,Bing Crosby,Pentatonix,Tyler Childers,Jelly Roll
2012,Taylor Swift,Drake,The Weeknd,Travis Scott,Kanye West,Eminem,Lana Del Rey,Feid,Future,Rihanna,Ariana Grande,Justin Bieber,KAROL G,Ed Sheeran,Zach Bryan,Kendrick Lamar,Metro Boomin,Bruno Mars,Coldplay,J. Cole,Chris Brown,Imagine Dragons,David Guetta,Lil Wayne,Nicki Minaj,Arctic Monkeys,"Tyler, The Creator",Beyoncé,Michael Bublé,The Beatles,Linkin Park,Adele,Frank Ocean,Young Thug,Mitski,Mariah Carey,The Neighbourhood,Miley Cyrus,Lady Gaga,Frank Sinatra,JAY-Z,Lil Durk,Mac Miller,A$AP Rocky,Tory Lanez,Disney,Fleetwood Mac,Kid Cudi,Bing Crosby,Jelly Roll
