city,country,venue_name,support_act,revenue,event_name,tix_sold,tix_available,event_date
Evansville,United States,Roberts Municipal Stadium,Gloriana Kellie Pickler,360617.0,Fearless Tour,7463,7463,23/04/2009
Jonesboro,United States,Convocation Center,Gloriana Kellie Pickler,340328.0,Fearless Tour,7822,7822,24/04/2009
St. Louis,United States,Scottrade Center,Gloriana Kellie Pickler,650420.0,Fearless Tour,13764,13764,25/04/2009
North Charleston,United States,North Charleston Coliseum,Gloriana Kellie Pickler,398154.0,Fearless Tour,8751,8751,30/04/2009
Jacksonville,United States,Jacksonville Veterans Memorial Arena,Gloriana Kellie Pickler,507012.0,Fearless Tour,11072,11072,01/05/2009
Biloxi,United States,Mississippi Coast Coliseum,Gloriana Kellie Pickler,437313.0,Fearless Tour,9436,9436,02/05/2009
London,England,Shepherd's Bush Empire,,401328.0,Fearless Tour,6789,6789,06/05/2009
London,England,Shepherd's Bush Empire,,401328.0,Fearless Tour,6789,6789,07/05/2009
Spokane,United States,Spokane Arena,Gloriana Kellie Pickler,482146.0,Fearless Tour,10798,10798,14/05/2009
Seattle,United States,KeyArena,Gloriana Kellie Pickler,528637.0,Fearless Tour,12061,12061,15/05/2009
Portland,United States,Rose Garden Arena,Gloriana Kellie Pickler,613284.0,Fearless Tour,13226,13226,16/05/2009
Nampa,United States,Ford Arena,Gloriana Kellie Pickler,413622.0,Fearless Tour,8970,8970,17/05/2009
Glendale,United States,Jobing.com Arena,Gloriana Kellie Pickler,647923.0,Fearless Tour,13052,13052,21/05/2009
Los Angeles,United States,Staples Center,Gloriana Kellie Pickler,720940.0,Fearless Tour,13648,13648,22/05/2009
Paradise,United States,Mandalay Bay Events Center,Gloriana Kellie Pickler,551051.0,Fearless Tour,8311,8311,23/05/2009
San Diego,United States,Valley View Casino Center,Gloriana Kellie Pickler,502689.0,Fearless Tour,10174,10174,24/05/2009
Salt Lake City,United States,EnergySolutions Arena,Gloriana Kellie Pickler,555207.0,Fearless Tour,13042,13042,26/05/2009
Columbia,United States,Merriweather Post Pavilion,Gloriana Kellie Pickler,608438.0,Fearless Tour,17619,17619,11/06/2009
Greensboro,United States,Greensboro Coliseum,Gloriana Kellie Pickler,690959.0,Fearless Tour,14641,14641,12/06/2009
Edmonton,Canada,Commonwealth Stadium,,2540906.0,Fearless Tour,33910,44500,09/06/2009
Winnipeg,Canada,MTS Centre,Gloriana Kellie Pickler,512487.0,Fearless Tour,11369,11369,11/07/2009
